True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.644319824,California,Los Angeles County,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.640693723,California,San Diego County,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.644621999,California,Orange County,Conventional,6059,Orange County,CA,"Orange County, CA"
0.661140907,California,Alameda County,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.664918096,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.66320577,California,Contra Costa County,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.660989819,California,San Francisco County,Conventional,6075,San Francisco County,CA,"San Francisco County, CA"
0.647643751,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.664767008,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.662097794,California,San Mateo County,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.66839311,California,Stanislaus County,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.662651782,California,Sonoma County,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
0.66360867,California,Solano County,Conventional,6095,Solano County,CA,"Solano County, CA"
0.649053901,California,Santa Barbara County,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.658924956,California,Monterey County,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.653334716,California,San Luis Obispo County,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.661241632,California,Marin County,Conventional,6041,Marin County,CA,"Marin County, CA"
0.666378609,California,Yolo County,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.670860873,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
0.662853232,California,Napa County,Conventional,6055,Napa County,CA,"Napa County, CA"
0.672673924,California,Humboldt County,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
0.675242413,California,Del Norte County,Conventional,6015,Del Norte County,CA,"Del Norte County, CA"
0.668745647,California,Colusa County,Conventional,6011,Colusa County,CA,"Colusa County, CA"
0.260379003,Michigan,Wayne County,Conventional,26163,Wayne County,MI,"Wayne County, MI"
0.266112648,Michigan,Oakland County,Conventional,26125,Oakland County,MI,"Oakland County, MI"
0.262033284,Michigan,Macomb County,Conventional,26099,Macomb County,MI,"Macomb County, MI"
0.267321349,Michigan,Ottawa County,Conventional,26139,Ottawa County,MI,"Ottawa County, MI"
0.25835682,Michigan,Saginaw County,Conventional,26145,Saginaw County,MI,"Saginaw County, MI"
0.266666636,Michigan,Muskegon County,Conventional,26121,Muskegon County,MI,"Muskegon County, MI"
0.25911994,Michigan,Monroe County,Conventional,26115,Monroe County,MI,"Monroe County, MI"
0.269285487,Michigan,Berrien County,Conventional,26021,Berrien County,MI,"Berrien County, MI"
0.268630774,Michigan,Allegan County,Conventional,26005,Allegan County,MI,"Allegan County, MI"
0.257702107,Michigan,Bay County,Conventional,26017,Bay County,MI,"Bay County, MI"
0.260270596,Michigan,Grand Traverse County,Conventional,26055,Grand Traverse County,MI,"Grand Traverse County, MI"
0.268076787,Michigan,Van Buren County,Conventional,26159,Van Buren County,MI,"Van Buren County, MI"
0.264501048,Michigan,Marquette County,Conventional,26103,Marquette County,MI,"Marquette County, MI"
0.25795392,Michigan,Sanilac County,Conventional,26151,Sanilac County,MI,"Sanilac County, MI"
0.267623524,Michigan,Houghton County,Conventional,26061,Houghton County,MI,"Houghton County, MI"
0.261882197,Michigan,Delta County,Conventional,26041,Delta County,MI,"Delta County, MI"
0.256493407,Michigan,Chippewa County,Conventional,26033,Chippewa County,MI,"Chippewa County, MI"
0.255385431,Michigan,Emmet County,Conventional,26047,Emmet County,MI,"Emmet County, MI"
0.256543769,Michigan,Huron County,Conventional,26063,Huron County,MI,"Huron County, MI"
0.264098148,Michigan,Mason County,Conventional,26105,Mason County,MI,"Mason County, MI"
0.25276658,Michigan,Alpena County,Conventional,26007,Alpena County,MI,"Alpena County, MI"
0.264652135,Michigan,Oceana County,Conventional,26127,Oceana County,MI,"Oceana County, MI"
0.258205732,Michigan,Charlevoix County,Conventional,26029,Charlevoix County,MI,"Charlevoix County, MI"
0.254680356,Michigan,Cheboygan County,Conventional,26031,Cheboygan County,MI,"Cheboygan County, MI"
0.254327818,Michigan,Iosco County,Conventional,26069,Iosco County,MI,"Iosco County, MI"
0.262939809,Michigan,Manistee County,Conventional,26101,Manistee County,MI,"Manistee County, MI"
0.263191622,Michigan,Menominee County,Conventional,26109,Menominee County,MI,"Menominee County, MI"
0.261529659,Michigan,Benzie County,Conventional,26019,Benzie County,MI,"Benzie County, MI"
0.25276658,Michigan,Presque Isle County,Conventional,26141,Presque Isle County,MI,"Presque Isle County, MI"
0.255032894,Michigan,Mackinac County,Conventional,26097,Mackinac County,MI,"Mackinac County, MI"
0.261126759,Michigan,Alger County,Conventional,26003,Alger County,MI,"Alger County, MI"
0.266767361,Michigan,Baraga County,Conventional,26013,Baraga County,MI,"Baraga County, MI"
0.25835682,Michigan,Schoolcraft County,Conventional,26153,Schoolcraft County,MI,"Schoolcraft County, MI"
0.270292738,Michigan,Ontonagon County,Conventional,26131,Ontonagon County,MI,"Ontonagon County, MI"
0.266011923,Michigan,Keweenaw County,Conventional,26083,Keweenaw County,MI,"Keweenaw County, MI"
0.182625571,New York,Queens County,Conventional,36081,Queens County,NY,"Queens County, NY"
0.181970858,New York,New York County,Conventional,36061,New York County,NY,"New York County, NY"
0.187258923,New York,Suffolk County,Conventional,36103,Suffolk County,NY,"Suffolk County, NY"
0.183733547,New York,Nassau County,Conventional,36059,Nassau County,NY,"Nassau County, NY"
0.181165058,New York,Westchester County,Conventional,36119,Westchester County,NY,"Westchester County, NY"
0.190892707,New York,Erie County,Conventional,36029,Erie County,NY,"Erie County, NY"
0.187115518,New York,Monroe County,Conventional,36055,Monroe County,NY,"Monroe County, NY"
0.183890301,New York,Onondaga County,Conventional,36067,Onondaga County,NY,"Onondaga County, NY"
0.179704545,New York,Orange County,Conventional,36071,Orange County,NY,"Orange County, NY"
0.18081252,New York,Rockland County,Conventional,36087,Rockland County,NY,"Rockland County, NY"
0.176179168,New York,Albany County,Conventional,36001,Albany County,NY,"Albany County, NY"
0.178646932,New York,Dutchess County,Conventional,36027,Dutchess County,NY,"Dutchess County, NY"
0.176678072,New York,Saratoga County,Conventional,36091,Saratoga County,NY,"Saratoga County, NY"
0.181312629,New York,Oneida County,Conventional,36065,Oneida County,NY,"Oneida County, NY"
0.189835094,New York,Niagara County,Conventional,36063,Niagara County,NY,"Niagara County, NY"
0.178092944,New York,Ulster County,Conventional,36111,Ulster County,NY,"Ulster County, NY"
0.176682793,New York,Rensselaer County,Conventional,36083,Rensselaer County,NY,"Rensselaer County, NY"
0.17722074,New York,Schenectady County,Conventional,36093,Schenectady County,NY,"Schenectady County, NY"
0.192605033,New York,Chautauqua County,Conventional,36013,Chautauqua County,NY,"Chautauqua County, NY"
0.184144129,New York,Oswego County,Conventional,36075,Oswego County,NY,"Oswego County, NY"
0.186611893,New York,Jefferson County,Conventional,36045,Jefferson County,NY,"Jefferson County, NY"
0.186936242,New York,Tompkins County,Conventional,36109,Tompkins County,NY,"Tompkins County, NY"
0.186956748,New York,Steuben County,Conventional,36101,Steuben County,NY,"Steuben County, NY"
0.185604642,New York,Wayne County,Conventional,36117,Wayne County,NY,"Wayne County, NY"
