True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.528196047,California,Los Angeles County,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.534890365,California,San Diego County,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.531749922,California,Orange County,Conventional,6059,Orange County,CA,"Orange County, CA"
0.525514436,California,Riverside County,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.520005473,California,San Bernardino County,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
0.539827487,California,Santa Clara County,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.537878617,California,Alameda County,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.533740717,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.536587256,California,Contra Costa County,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.534237088,California,Fresno County,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.52824659,California,Kern County,Conventional,6029,Kern County,CA,"Kern County, CA"
0.541351717,California,San Francisco County,Conventional,6075,San Francisco County,CA,"San Francisco County, CA"
0.533501869,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.535438135,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.540171437,California,San Mateo County,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.538575607,California,Stanislaus County,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.531706875,California,Tulare County,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.534935991,California,Solano County,Conventional,6095,Solano County,CA,"Solano County, CA"
0.535472483,California,Santa Barbara County,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.544400863,California,Monterey County,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.527016094,California,Placer County,Conventional,6061,Placer County,CA,"Placer County, CA"
0.537019266,California,Merced County,Conventional,6047,Merced County,CA,"Merced County, CA"
0.540940954,California,San Luis Obispo County,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.539533811,California,Santa Cruz County,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
0.533902872,California,Yolo County,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.529311074,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
0.558740005,California,Shasta County,Conventional,6089,Shasta County,CA,"Shasta County, CA"
0.522477647,California,Imperial County,Conventional,6025,Imperial County,CA,"Imperial County, CA"
0.535619009,California,Madera County,Conventional,6039,Madera County,CA,"Madera County, CA"
0.532438007,California,Kings County,Conventional,6031,Kings County,CA,"Kings County, CA"
0.52661096,California,Nevada County,Conventional,6057,Nevada County,CA,"Nevada County, CA"
0.531737554,California,Sutter County,Conventional,6101,Sutter County,CA,"Sutter County, CA"
0.530755505,California,Yuba County,Conventional,6115,Yuba County,CA,"Yuba County, CA"
0.534970603,California,Tehama County,Conventional,6103,Tehama County,CA,"Tehama County, CA"
0.545001736,California,San Benito County,Conventional,6069,San Benito County,CA,"San Benito County, CA"
0.555229103,California,Siskiyou County,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
0.535571893,California,Amador County,Conventional,6005,Amador County,CA,"Amador County, CA"
0.529202133,California,Lassen County,Conventional,6035,Lassen County,CA,"Lassen County, CA"
0.526363524,California,Plumas County,Conventional,6063,Plumas County,CA,"Plumas County, CA"
0.554039802,California,Modoc County,Conventional,6049,Modoc County,CA,"Modoc County, CA"
0.525264208,California,Sierra County,Conventional,6091,Sierra County,CA,"Sierra County, CA"
0.248907573,Michigan,Wayne County,Conventional,26163,Wayne County,MI,"Wayne County, MI"
0.250523991,Michigan,Oakland County,Conventional,26125,Oakland County,MI,"Oakland County, MI"
0.246450937,Michigan,Macomb County,Conventional,26099,Macomb County,MI,"Macomb County, MI"
0.253714887,Michigan,Kent County,Conventional,26081,Kent County,MI,"Kent County, MI"
0.247940921,Michigan,Genesee County,Conventional,26049,Genesee County,MI,"Genesee County, MI"
0.25006273,Michigan,Washtenaw County,Conventional,26161,Washtenaw County,MI,"Washtenaw County, MI"
0.255133919,Michigan,Ottawa County,Conventional,26139,Ottawa County,MI,"Ottawa County, MI"
0.25132749,Michigan,Ingham County,Conventional,26065,Ingham County,MI,"Ingham County, MI"
0.253650834,Michigan,Kalamazoo County,Conventional,26077,Kalamazoo County,MI,"Kalamazoo County, MI"
0.250897771,Michigan,Livingston County,Conventional,26093,Livingston County,MI,"Livingston County, MI"
0.251847944,Michigan,Jackson County,Conventional,26075,Jackson County,MI,"Jackson County, MI"
0.250299815,Michigan,Monroe County,Conventional,26115,Monroe County,MI,"Monroe County, MI"
0.25995075,Michigan,Berrien County,Conventional,26021,Berrien County,MI,"Berrien County, MI"
0.253352471,Michigan,Calhoun County,Conventional,26025,Calhoun County,MI,"Calhoun County, MI"
0.25514963,Michigan,Allegan County,Conventional,26005,Allegan County,MI,"Allegan County, MI"
0.251151256,Michigan,Eaton County,Conventional,26045,Eaton County,MI,"Eaton County, MI"
0.251194315,Michigan,Lenawee County,Conventional,26091,Lenawee County,MI,"Lenawee County, MI"
0.247068757,Michigan,Lapeer County,Conventional,26087,Lapeer County,MI,"Lapeer County, MI"
0.250806672,Michigan,Clinton County,Conventional,26037,Clinton County,MI,"Clinton County, MI"
0.256394749,Michigan,Van Buren County,Conventional,26159,Van Buren County,MI,"Van Buren County, MI"
0.248911971,Michigan,Shiawassee County,Conventional,26155,Shiawassee County,MI,"Shiawassee County, MI"
0.252128243,Michigan,Ionia County,Conventional,26067,Ionia County,MI,"Ionia County, MI"
0.283971989,Michigan,Marquette County,Conventional,26103,Marquette County,MI,"Marquette County, MI"
0.252044087,Michigan,Barry County,Conventional,26015,Barry County,MI,"Barry County, MI"
0.254950528,Michigan,Cass County,Conventional,26027,Cass County,MI,"Cass County, MI"
0.280817605,Michigan,Delta County,Conventional,26041,Delta County,MI,"Delta County, MI"
0.274796653,Michigan,Chippewa County,Conventional,26033,Chippewa County,MI,"Chippewa County, MI"
0.283562498,Michigan,Dickinson County,Conventional,26043,Dickinson County,MI,"Dickinson County, MI"
0.282804241,Michigan,Menominee County,Conventional,26109,Menominee County,MI,"Menominee County, MI"
0.295463756,Michigan,Gogebic County,Conventional,26053,Gogebic County,MI,"Gogebic County, MI"
0.276262724,Michigan,Mackinac County,Conventional,26097,Mackinac County,MI,"Mackinac County, MI"
0.280319429,Michigan,Alger County,Conventional,26003,Alger County,MI,"Alger County, MI"
0.286097187,Michigan,Baraga County,Conventional,26013,Baraga County,MI,"Baraga County, MI"
0.279072459,Michigan,Schoolcraft County,Conventional,26153,Schoolcraft County,MI,"Schoolcraft County, MI"
0.295875351,Michigan,Ontonagon County,Conventional,26131,Ontonagon County,MI,"Ontonagon County, MI"
0.277318995,Michigan,Luce County,Conventional,26095,Luce County,MI,"Luce County, MI"
0.18378347,New York,Kings County,Conventional,36047,Kings County,NY,"Kings County, NY"
0.183520101,New York,Queens County,Conventional,36081,Queens County,NY,"Queens County, NY"
0.18321719,New York,New York County,Conventional,36061,New York County,NY,"New York County, NY"
0.183235047,New York,Bronx County,Conventional,36005,Bronx County,NY,"Bronx County, NY"
0.181869201,New York,Westchester County,Conventional,36119,Westchester County,NY,"Westchester County, NY"
0.178600412,New York,Erie County,Conventional,36029,Erie County,NY,"Erie County, NY"
0.176059492,New York,Monroe County,Conventional,36055,Monroe County,NY,"Monroe County, NY"
0.171575638,New York,Onondaga County,Conventional,36067,Onondaga County,NY,"Onondaga County, NY"
0.188007887,New York,Orange County,Conventional,36071,Orange County,NY,"Orange County, NY"
0.184406562,New York,Rockland County,Conventional,36087,Rockland County,NY,"Rockland County, NY"
0.176444684,New York,Albany County,Conventional,36001,Albany County,NY,"Albany County, NY"
0.179807532,New York,Dutchess County,Conventional,36027,Dutchess County,NY,"Dutchess County, NY"
0.176433019,New York,Saratoga County,Conventional,36091,Saratoga County,NY,"Saratoga County, NY"
0.17118435,New York,Oneida County,Conventional,36065,Oneida County,NY,"Oneida County, NY"
