True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.797887434,California,Los Angeles County,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.79747557,California,San Diego County,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.798339185,California,Orange County,Conventional,6059,Orange County,CA,"Orange County, CA"
0.783234741,California,Riverside County,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.780414775,California,San Bernardino County,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
0.822306115,California,Santa Clara County,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.816508487,California,Alameda County,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.804659991,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.814066062,California,Contra Costa County,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.81783684,California,Fresno County,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.799289068,California,Kern County,Conventional,6029,Kern County,CA,"Kern County, CA"
0.816025197,California,San Francisco County,Conventional,6075,San Francisco County,CA,"San Francisco County, CA"
0.804529196,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.809902902,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.820282975,California,San Mateo County,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.814419486,California,Stanislaus County,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.819177251,California,Sonoma County,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
0.812085593,California,Tulare County,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.808503122,California,Solano County,Conventional,6095,Solano County,CA,"Solano County, CA"
0.817680072,California,Santa Barbara County,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.826315291,California,Monterey County,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.801366938,California,Placer County,Conventional,6061,Placer County,CA,"Placer County, CA"
0.821952692,California,Merced County,Conventional,6047,Merced County,CA,"Merced County, CA"
0.817604934,California,San Luis Obispo County,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.823638178,California,Santa Cruz County,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
0.8163007,California,Marin County,Conventional,6041,Marin County,CA,"Marin County, CA"
0.806376089,California,Yolo County,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.80615346,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
0.796717704,California,El Dorado County,Conventional,6017,El Dorado County,CA,"El Dorado County, CA"
0.811690426,California,Shasta County,Conventional,6089,Shasta County,CA,"Shasta County, CA"
0.783231958,California,Imperial County,Conventional,6025,Imperial County,CA,"Imperial County, CA"
0.805269437,California,Madera County,Conventional,6039,Madera County,CA,"Madera County, CA"
