True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
2.392074821,Alabama,Marshall County,Conventional,1095,Marshall County,AL,"Marshall County, AL"
2.387290381,Alabama,Colbert County,Conventional,1033,Colbert County,AL,"Colbert County, AL"
2.385930593,Alabama,Lauderdale County,Conventional,1077,Lauderdale County,AL,"Lauderdale County, AL"
2.054138128,California,Marin County,Conventional,6041,Marin County,CA,"Marin County, CA"
2.055548279,California,Sonoma County,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
2.065570421,California,Humboldt County,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
2.06375737,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
2.057814592,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
2.057663505,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
2.061289606,California,Stanislaus County,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
2.033590219,California,San Diego County,Conventional,6073,San Diego County,CA,"San Diego County, CA"
2.040540247,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
1.888440764,Delaware,Kent County,Conventional,10001,Kent County,DE,"Kent County, DE"
1.889800552,Delaware,New Castle County,Conventional,10003,New Castle County,DE,"New Castle County, DE"
1.888088226,Delaware,Sussex County,Conventional,10005,Sussex County,DE,"Sussex County, DE"
2.367677061,Florida,Clay County,Conventional,12019,Clay County,FL,"Clay County, FL"
2.381073492,Florida,Hillsborough County,Conventional,12057,Hillsborough County,FL,"Hillsborough County, FL"
2.374173826,Florida,Lake County,Conventional,12069,Lake County,FL,"Lake County, FL"
2.372914763,Florida,Marion County,Conventional,12083,Marion County,FL,"Marion County, FL"
2.373148805,Florida,Seminole County,Conventional,12117,Seminole County,FL,"Seminole County, FL"
2.368382136,Florida,Volusia County,Conventional,12127,Volusia County,FL,"Volusia County, FL"
2.364604947,Florida,Nassau County,Conventional,12089,Nassau County,FL,"Nassau County, FL"
2.392455422,Florida,Escambia County,Conventional,12033,Escambia County,FL,"Escambia County, FL"
2.392757597,Florida,Okaloosa County,Conventional,12091,Okaloosa County,FL,"Okaloosa County, FL"
2.381044659,Florida,Broward County,Conventional,12011,Broward County,FL,"Broward County, FL"
2.380144639,Florida,Lee County,Conventional,12071,Lee County,FL,"Lee County, FL"
2.377916317,Florida,Martin County,Conventional,12085,Martin County,FL,"Martin County, FL"
2.379519317,Florida,Palm Beach County,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
2.331625308,Idaho,Nez Perce County,Conventional,16069,Nez Perce County,ID,"Nez Perce County, ID"
2.301404572,Illinois,Tazewell County,Conventional,17179,Tazewell County,IL,"Tazewell County, IL"
2.289418292,Illinois,Cook County,Conventional,17031,Cook County,IL,"Cook County, IL"
2.304023423,Illinois,Will County,Conventional,17197,Will County,IL,"Will County, IL"
2.372348359,Illinois,Jackson County,Conventional,17077,Jackson County,IL,"Jackson County, IL"
2.384687177,Illinois,Adams County,Conventional,17001,Adams County,IL,"Adams County, IL"
2.377888237,Illinois,Madison County,Conventional,17119,Madison County,IL,"Madison County, IL"
2.296217233,Illinois,Pike County,Conventional,17149,Pike County,IL,"Pike County, IL"
2.052714704,Indiana,Lake County,Conventional,18089,Lake County,IN,"Lake County, IN"
2.089630432,Indiana,Perry County,Conventional,18123,Perry County,IN,"Perry County, IN"
2.291655833,Iowa,Clinton County,Conventional,19045,Clinton County,IA,"Clinton County, IA"
2.294727946,Iowa,Dubuque County,Conventional,19061,Dubuque County,IA,"Dubuque County, IA"
2.283849642,Iowa,Lee County,Conventional,19111,Lee County,IA,"Lee County, IA"
2.305656614,Iowa,Pottawattamie County,Conventional,19155,Pottawattamie County,IA,"Pottawattamie County, IA"
2.310295794,Kansas,Leavenworth County,Conventional,20103,Leavenworth County,KS,"Leavenworth County, KS"
3.021307534,Kentucky,Laurel County,Conventional,21125,Laurel County,KY,"Laurel County, KY"
2.993507422,Kentucky,Daviess County,Conventional,21059,Daviess County,KY,"Daviess County, KY"
1.713332487,Maine,Penobscot County,Conventional,23019,Penobscot County,ME,"Penobscot County, ME"
1.712023062,Maine,Waldo County,Conventional,23027,Waldo County,ME,"Waldo County, ME"
1.718016202,Maine,Aroostook County,Conventional,23003,Aroostook County,ME,"Aroostook County, ME"
1.70900131,Maine,Cumberland County,Conventional,23005,Cumberland County,ME,"Cumberland County, ME"
1.711317986,Maine,Kennebec County,Conventional,23011,Kennebec County,ME,"Kennebec County, ME"
1.711116536,Maine,Knox County,Conventional,23013,Knox County,ME,"Knox County, ME"
1.709605661,Maine,Lincoln County,Conventional,23015,Lincoln County,ME,"Lincoln County, ME"
1.709958198,Maine,Sagadahoc County,Conventional,23023,Sagadahoc County,ME,"Sagadahoc County, ME"
1.707238622,Maine,York County,Conventional,23031,York County,ME,"York County, ME"
1.866089454,Maryland,Baltimore County,Conventional,24005,Baltimore County,MD,"Baltimore County, MD"
1.866290905,Maryland,Harford County,Conventional,24025,Harford County,MD,"Harford County, MD"
1.865031842,Maryland,Anne Arundel County,Conventional,24003,Anne Arundel County,MD,"Anne Arundel County, MD"
1.864377129,Maryland,Charles County,Conventional,24017,Charles County,MD,"Charles County, MD"
1.865283654,Maryland,Cecil County,Conventional,24015,Cecil County,MD,"Cecil County, MD"
1.866693805,Maryland,Kent County,Conventional,24029,Kent County,MD,"Kent County, MD"
1.865182929,Maryland,Talbot County,Conventional,24041,Talbot County,MD,"Talbot County, MD"
1.86364572,Massachusetts,Bristol County,Conventional,25005,Bristol County,MA,"Bristol County, MA"
1.868681972,Massachusetts,Essex County,Conventional,25009,Essex County,MA,"Essex County, MA"
1.866516384,Massachusetts,Plymouth County,Conventional,25023,Plymouth County,MA,"Plymouth County, MA"
1.825278317,Michigan,Huron County,Conventional,26063,Huron County,MI,"Huron County, MI"
1.827091368,Michigan,Saginaw County,Conventional,26145,Saginaw County,MI,"Saginaw County, MI"
1.826688468,Michigan,Sanilac County,Conventional,26151,Sanilac County,MI,"Sanilac County, MI"
1.821501128,Michigan,Alpena County,Conventional,26007,Alpena County,MI,"Alpena County, MI"
1.823062366,Michigan,Iosco County,Conventional,26069,Iosco County,MI,"Iosco County, MI"
1.821501128,Michigan,Presque Isle County,Conventional,26141,Presque Isle County,MI,"Presque Isle County, MI"
1.824119979,Michigan,Emmet County,Conventional,26047,Emmet County,MI,"Emmet County, MI"
