True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
2.649735007,Alabama,Baldwin County,Conventional,1003,Baldwin County,AL,"Baldwin County, AL"
2.636302267,Alabama,Escambia County,Conventional,1053,Escambia County,AL,"Escambia County, AL"
2.575513599,Alabama,Calhoun County,Conventional,1015,Calhoun County,AL,"Calhoun County, AL"
2.576744104,Alabama,Cleburne County,Conventional,1029,Cleburne County,AL,"Cleburne County, AL"
2.58187683,Alabama,Cullman County,Conventional,1043,Cullman County,AL,"Cullman County, AL"
2.568610967,Alabama,Marshall County,Conventional,1095,Marshall County,AL,"Marshall County, AL"
2.578492097,Alabama,Colbert County,Conventional,1033,Colbert County,AL,"Colbert County, AL"
2.573662783,Alabama,Lauderdale County,Conventional,1077,Lauderdale County,AL,"Lauderdale County, AL"
2.588634498,Alabama,Chambers County,Conventional,1017,Chambers County,AL,"Chambers County, AL"
2.599053342,Alabama,Chilton County,Conventional,1021,Chilton County,AL,"Chilton County, AL"
2.595739404,Alabama,Tallapoosa County,Conventional,1123,Tallapoosa County,AL,"Tallapoosa County, AL"
2.78904954,Arizona,Apache County,Conventional,4001,Apache County,AZ,"Apache County, AZ"
2.841059477,Arizona,Coconino County,Conventional,4005,Coconino County,AZ,"Coconino County, AZ"
2.8355576,Arizona,Gila County,Conventional,4007,Gila County,AZ,"Gila County, AZ"
2.859820476,Arizona,Mohave County,Conventional,4015,Mohave County,AZ,"Mohave County, AZ"
2.801742291,Arizona,Navajo County,Conventional,4017,Navajo County,AZ,"Navajo County, AZ"
2.848498137,Arizona,Yavapai County,Conventional,4025,Yavapai County,AZ,"Yavapai County, AZ"
2.827168248,Arizona,Graham County,Conventional,4009,Graham County,AZ,"Graham County, AZ"
2.855449652,Arizona,Maricopa County,Conventional,4013,Maricopa County,AZ,"Maricopa County, AZ"
2.859978924,Arizona,Pima County,Conventional,4019,Pima County,AZ,"Pima County, AZ"
2.848929657,Arizona,Santa Cruz County,Conventional,4023,Santa Cruz County,AZ,"Santa Cruz County, AZ"
2.778825053,Arkansas,Faulkner County,Conventional,5045,Faulkner County,AR,"Faulkner County, AR"
2.768072455,Arkansas,Marion County,Conventional,5089,Marion County,AR,"Marion County, AR"
2.741009758,Arkansas,Randolph County,Conventional,5121,Randolph County,AR,"Randolph County, AR"
2.784397727,Arkansas,Benton County,Conventional,5007,Benton County,AR,"Benton County, AR"
2.774467714,Arkansas,Carroll County,Conventional,5015,Carroll County,AR,"Carroll County, AR"
2.781570935,Arkansas,Madison County,Conventional,5087,Madison County,AR,"Madison County, AR"
2.793508526,Arkansas,Washington County,Conventional,5143,Washington County,AR,"Washington County, AR"
