True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
2.691190154,Indiana,Marion County,Conventional,18097,Marion County,IN,"Marion County, IN"
2.550071214,Indiana,Lake County,Conventional,18089,Lake County,IN,"Lake County, IN"
2.514468262,Indiana,Allen County,Conventional,18003,Allen County,IN,"Allen County, IN"
2.582323839,Indiana,Elkhart County,Conventional,18039,Elkhart County,IN,"Elkhart County, IN"
2.419014782,Indiana,Tippecanoe County,Conventional,18157,Tippecanoe County,IN,"Tippecanoe County, IN"
2.331686368,Indiana,Vanderburgh County,Conventional,18163,Vanderburgh County,IN,"Vanderburgh County, IN"
2.460726436,Indiana,Hendricks County,Conventional,18063,Hendricks County,IN,"Hendricks County, IN"
2.470849983,Indiana,Porter County,Conventional,18127,Porter County,IN,"Porter County, IN"
2.500149573,Indiana,Johnson County,Conventional,18081,Johnson County,IN,"Johnson County, IN"
2.622003909,Indiana,Madison County,Conventional,18095,Madison County,IN,"Madison County, IN"
2.828468127,Indiana,Clark County,Conventional,18019,Clark County,IN,"Clark County, IN"
2.510116658,Indiana,LaPorte County,Conventional,18091,LaPorte County,IN,"LaPorte County, IN"
2.594203894,Indiana,Delaware County,Conventional,18035,Delaware County,IN,"Delaware County, IN"
2.514914998,Indiana,Vigo County,Conventional,18167,Vigo County,IN,"Vigo County, IN"
2.489344209,Indiana,Bartholomew County,Conventional,18005,Bartholomew County,IN,"Bartholomew County, IN"
2.538216209,Indiana,Kosciusko County,Conventional,18085,Kosciusko County,IN,"Kosciusko County, IN"
2.952191788,Indiana,Floyd County,Conventional,18043,Floyd County,IN,"Floyd County, IN"
2.781797653,Indiana,Hancock County,Conventional,18059,Hancock County,IN,"Hancock County, IN"
2.514295407,Indiana,Boone County,Conventional,18011,Boone County,IN,"Boone County, IN"
2.454824117,Indiana,Grant County,Conventional,18053,Grant County,IN,"Grant County, IN"
2.490418387,Indiana,Wayne County,Conventional,18177,Wayne County,IN,"Wayne County, IN"
2.455492739,Indiana,Warrick County,Conventional,18173,Warrick County,IN,"Warrick County, IN"
3.208397139,Indiana,Dearborn County,Conventional,18029,Dearborn County,IN,"Dearborn County, IN"
2.605606142,Indiana,Henry County,Conventional,18065,Henry County,IN,"Henry County, IN"
2.432588758,Indiana,Noble County,Conventional,18113,Noble County,IN,"Noble County, IN"
2.480842189,Indiana,Jackson County,Conventional,18071,Jackson County,IN,"Jackson County, IN"
2.478302621,Indiana,Marshall County,Conventional,18099,Marshall County,IN,"Marshall County, IN"
2.507213726,Indiana,Lawrence County,Conventional,18093,Lawrence County,IN,"Lawrence County, IN"
2.455309053,Indiana,Shelby County,Conventional,18145,Shelby County,IN,"Shelby County, IN"
2.541777891,Indiana,Dubois County,Conventional,18037,Dubois County,IN,"Dubois County, IN"
2.479032387,Indiana,DeKalb County,Conventional,18033,DeKalb County,IN,"DeKalb County, IN"
2.781645493,Indiana,Harrison County,Conventional,18061,Harrison County,IN,"Harrison County, IN"
2.364680771,Indiana,Montgomery County,Conventional,18107,Montgomery County,IN,"Montgomery County, IN"
2.451771051,Indiana,Cass County,Conventional,18017,Cass County,IN,"Cass County, IN"
2.32551313,Indiana,Putnam County,Conventional,18133,Putnam County,IN,"Putnam County, IN"
2.470846624,Indiana,Huntington County,Conventional,18069,Huntington County,IN,"Huntington County, IN"
2.564296009,Indiana,Knox County,Conventional,18083,Knox County,IN,"Knox County, IN"
2.551335127,Indiana,Miami County,Conventional,18103,Miami County,IN,"Miami County, IN"
2.435744304,Indiana,Whitley County,Conventional,18183,Whitley County,IN,"Whitley County, IN"
2.534783124,Indiana,Daviess County,Conventional,18027,Daviess County,IN,"Daviess County, IN"
2.446714981,Indiana,Jasper County,Conventional,18073,Jasper County,IN,"Jasper County, IN"
2.484689003,Indiana,Clinton County,Conventional,18023,Clinton County,IN,"Clinton County, IN"
2.440927834,Indiana,Gibson County,Conventional,18051,Gibson County,IN,"Gibson County, IN"
2.465464651,Indiana,Wabash County,Conventional,18169,Wabash County,IN,"Wabash County, IN"
2.826482696,Indiana,Ripley County,Conventional,18137,Ripley County,IN,"Ripley County, IN"
2.507471665,Indiana,Wells County,Conventional,18179,Wells County,IN,"Wells County, IN"
2.746193388,Indiana,Jennings County,Conventional,18079,Jennings County,IN,"Jennings County, IN"
2.632234008,Indiana,Clay County,Conventional,18021,Clay County,IN,"Clay County, IN"
2.480249283,Indiana,White County,Conventional,18181,White County,IN,"White County, IN"
2.513602958,Indiana,Randolph County,Conventional,18135,Randolph County,IN,"Randolph County, IN"
2.64909697,Indiana,Scott County,Conventional,18143,Scott County,IN,"Scott County, IN"
2.451488678,Indiana,Fayette County,Conventional,18041,Fayette County,IN,"Fayette County, IN"
2.49282684,Indiana,Starke County,Conventional,18149,Starke County,IN,"Starke County, IN"
2.559929532,Indiana,Sullivan County,Conventional,18153,Sullivan County,IN,"Sullivan County, IN"
2.53060399,Indiana,Jay County,Conventional,18075,Jay County,IN,"Jay County, IN"
2.352900916,Indiana,Carroll County,Conventional,18015,Carroll County,IN,"Carroll County, IN"
2.455563442,Indiana,Spencer County,Conventional,18147,Spencer County,IN,"Spencer County, IN"
2.3536795,Indiana,Rush County,Conventional,18139,Rush County,IN,"Rush County, IN"
2.448179482,Indiana,Fountain County,Conventional,18045,Fountain County,IN,"Fountain County, IN"
2.478888724,Indiana,Parke County,Conventional,18121,Parke County,IN,"Parke County, IN"
2.476284465,Indiana,Vermillion County,Conventional,18165,Vermillion County,IN,"Vermillion County, IN"
2.414764846,Indiana,Tipton County,Conventional,18159,Tipton County,IN,"Tipton County, IN"
2.457001144,Indiana,Newton County,Conventional,18111,Newton County,IN,"Newton County, IN"
2.722511365,Indiana,Pulaski County,Conventional,18131,Pulaski County,IN,"Pulaski County, IN"
2.471920398,Indiana,Pike County,Conventional,18125,Pike County,IN,"Pike County, IN"
2.43911157,Indiana,Blackford County,Conventional,18009,Blackford County,IN,"Blackford County, IN"
2.530334398,Indiana,Crawford County,Conventional,18025,Crawford County,IN,"Crawford County, IN"
