True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
1.327674419,Alabama,Mobile County,Conventional,1097,Mobile County,AL,"Mobile County, AL"
1.040668434,Alabama,Morgan County,Conventional,1103,Morgan County,AL,"Morgan County, AL"
1.229558437,Alabama,Marshall County,Conventional,1095,Marshall County,AL,"Marshall County, AL"
1.021370217,Alabama,Lauderdale County,Conventional,1077,Lauderdale County,AL,"Lauderdale County, AL"
1.036417138,Alabama,Colbert County,Conventional,1033,Colbert County,AL,"Colbert County, AL"
1.250482872,Alabama,Jackson County,Conventional,1071,Jackson County,AL,"Jackson County, AL"
0.625197756,Arkansas,Phillips County,Conventional,5107,Phillips County,AR,"Phillips County, AR"
0.585782271,Delaware,New Castle County,Conventional,10003,New Castle County,DE,"New Castle County, DE"
0.613980506,Delaware,Sussex County,Conventional,10005,Sussex County,DE,"Sussex County, DE"
0.579052016,Delaware,Kent County,Conventional,10001,Kent County,DE,"Kent County, DE"
1.445210719,Florida,Palm Beach County,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
1.446764893,Florida,Hillsborough County,Conventional,12057,Hillsborough County,FL,"Hillsborough County, FL"
1.127383343,Florida,Pinellas County,Conventional,12103,Pinellas County,FL,"Pinellas County, FL"
1.445836041,Florida,Lee County,Conventional,12071,Lee County,FL,"Lee County, FL"
1.439757906,Florida,Brevard County,Conventional,12009,Brevard County,FL,"Brevard County, FL"
1.434073538,Florida,Volusia County,Conventional,12127,Volusia County,FL,"Volusia County, FL"
1.616870301,Florida,Lake County,Conventional,12069,Lake County,FL,"Lake County, FL"
1.093937491,Florida,Marion County,Conventional,12083,Marion County,FL,"Marion County, FL"
1.004996089,Florida,Escambia County,Conventional,12033,Escambia County,FL,"Escambia County, FL"
1.433368462,Florida,Clay County,Conventional,12019,Clay County,FL,"Clay County, FL"
1.087769041,Florida,Okaloosa County,Conventional,12091,Okaloosa County,FL,"Okaloosa County, FL"
1.328858955,Florida,Indian River County,Conventional,12061,Indian River County,FL,"Indian River County, FL"
1.261398815,Florida,Martin County,Conventional,12085,Martin County,FL,"Martin County, FL"
1.425114058,Florida,Monroe County,Conventional,12087,Monroe County,FL,"Monroe County, FL"
1.435181513,Florida,Putnam County,Conventional,12107,Putnam County,FL,"Putnam County, FL"
1.231951189,Florida,Hendry County,Conventional,12051,Hendry County,FL,"Hendry County, FL"
1.266947328,Florida,Glades County,Conventional,12043,Glades County,FL,"Glades County, FL"
0.541611175,Illinois,Cook County,Conventional,17031,Cook County,IL,"Cook County, IL"
0.608024271,Illinois,Lake County,Conventional,17097,Lake County,IL,"Lake County, IL"
0.623970852,Illinois,Madison County,Conventional,17119,Madison County,IL,"Madison County, IL"
0.559486379,Illinois,Peoria County,Conventional,17143,Peoria County,IL,"Peoria County, IL"
0.52282543,Illinois,Tazewell County,Conventional,17179,Tazewell County,IL,"Tazewell County, IL"
0.561238706,Illinois,LaSalle County,Conventional,17099,LaSalle County,IL,"LaSalle County, IL"
0.679846937,Illinois,Adams County,Conventional,17001,Adams County,IL,"Adams County, IL"
0.740949612,Illinois,Jackson County,Conventional,17077,Jackson County,IL,"Jackson County, IL"
0.526140527,Illinois,Saline County,Conventional,17165,Saline County,IL,"Saline County, IL"
0.542294052,Illinois,Jersey County,Conventional,17083,Jersey County,IL,"Jersey County, IL"
0.54153205,Illinois,Pike County,Conventional,17149,Pike County,IL,"Pike County, IL"
0.545709872,Illinois,Cass County,Conventional,17017,Cass County,IL,"Cass County, IL"
0.585666647,Illinois,Putnam County,Conventional,17155,Putnam County,IL,"Putnam County, IL"
0.562991294,Illinois,Alexander County,Conventional,17003,Alexander County,IL,"Alexander County, IL"
0.551465342,Illinois,Scott County,Conventional,17171,Scott County,IL,"Scott County, IL"
0.625409986,Illinois,Calhoun County,Conventional,17013,Calhoun County,IL,"Calhoun County, IL"
0.774627612,Indiana,Lake County,Conventional,18089,Lake County,IN,"Lake County, IN"
0.743176278,Indiana,Vanderburgh County,Conventional,18163,Vanderburgh County,IN,"Vanderburgh County, IN"
0.762350089,Indiana,LaPorte County,Conventional,18091,LaPorte County,IN,"LaPorte County, IN"
0.779553619,Indiana,Warrick County,Conventional,18173,Warrick County,IN,"Warrick County, IN"
0.841770162,Indiana,Perry County,Conventional,18123,Perry County,IN,"Perry County, IN"
0.533063872,Iowa,Scott County,Conventional,19163,Scott County,IA,"Scott County, IA"
0.563678538,Iowa,Woodbury County,Conventional,19193,Woodbury County,IA,"Woodbury County, IA"
0.537597127,Iowa,Dubuque County,Conventional,19061,Dubuque County,IA,"Dubuque County, IA"
0.550056118,Iowa,Pottawattamie County,Conventional,19155,Pottawattamie County,IA,"Pottawattamie County, IA"
0.53988817,Iowa,Clinton County,Conventional,19045,Clinton County,IA,"Clinton County, IA"
0.545757157,Iowa,Des Moines County,Conventional,19057,Des Moines County,IA,"Des Moines County, IA"
0.537275259,Iowa,Lee County,Conventional,19111,Lee County,IA,"Lee County, IA"
0.709371414,Kansas,Leavenworth County,Conventional,20103,Leavenworth County,KS,"Leavenworth County, KS"
1.725368379,Kentucky,Jefferson County,Conventional,21111,Jefferson County,KY,"Jefferson County, KY"
1.058342194,Kentucky,Daviess County,Conventional,21059,Daviess County,KY,"Daviess County, KY"
