True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
1.450682676,Alabama,Mobile County,Conventional,1097,Mobile County,AL,"Mobile County, AL"
1.035892133,Alabama,Madison County,Conventional,1089,Madison County,AL,"Madison County, AL"
1.271003719,Alabama,Baldwin County,Conventional,1003,Baldwin County,AL,"Baldwin County, AL"
1.225425168,Alabama,Tuscaloosa County,Conventional,1125,Tuscaloosa County,AL,"Tuscaloosa County, AL"
1.115045743,Alabama,Montgomery County,Conventional,1101,Montgomery County,AL,"Montgomery County, AL"
1.121539252,Alabama,Shelby County,Conventional,1117,Shelby County,AL,"Shelby County, AL"
2.183707722,Alabama,Lee County,Conventional,1081,Lee County,AL,"Lee County, AL"
1.103853053,Alabama,Morgan County,Conventional,1103,Morgan County,AL,"Morgan County, AL"
1.137351663,Alabama,Calhoun County,Conventional,1015,Calhoun County,AL,"Calhoun County, AL"
1.063874084,Alabama,Houston County,Conventional,1069,Houston County,AL,"Houston County, AL"
1.3404036,Alabama,Etowah County,Conventional,1055,Etowah County,AL,"Etowah County, AL"
1.286494467,Alabama,Marshall County,Conventional,1095,Marshall County,AL,"Marshall County, AL"
1.087230553,Alabama,Lauderdale County,Conventional,1077,Lauderdale County,AL,"Lauderdale County, AL"
1.091804711,Alabama,Cullman County,Conventional,1043,Cullman County,AL,"Cullman County, AL"
1.136697028,Alabama,Elmore County,Conventional,1051,Elmore County,AL,"Elmore County, AL"
1.085182913,Alabama,Talladega County,Conventional,1121,Talladega County,AL,"Talladega County, AL"
1.309101455,Alabama,DeKalb County,Conventional,1049,DeKalb County,AL,"DeKalb County, AL"
1.251060178,Alabama,Walker County,Conventional,1127,Walker County,AL,"Walker County, AL"
1.265884902,Alabama,Blount County,Conventional,1009,Blount County,AL,"Blount County, AL"
1.178184184,Alabama,Russell County,Conventional,1113,Russell County,AL,"Russell County, AL"
1.144758326,Alabama,Autauga County,Conventional,1001,Autauga County,AL,"Autauga County, AL"
1.103575319,Alabama,Colbert County,Conventional,1033,Colbert County,AL,"Colbert County, AL"
1.218413762,Alabama,Coffee County,Conventional,1031,Coffee County,AL,"Coffee County, AL"
1.300067518,Alabama,Jackson County,Conventional,1071,Jackson County,AL,"Jackson County, AL"
1.19487199,Alabama,Dale County,Conventional,1045,Dale County,AL,"Dale County, AL"
1.219894115,Alabama,Chilton County,Conventional,1021,Chilton County,AL,"Chilton County, AL"
1.248950212,Alabama,Tallapoosa County,Conventional,1123,Tallapoosa County,AL,"Tallapoosa County, AL"
1.436254711,Alabama,Dallas County,Conventional,1047,Dallas County,AL,"Dallas County, AL"
1.188158851,Alabama,Covington County,Conventional,1039,Covington County,AL,"Covington County, AL"
1.649372636,Alabama,Escambia County,Conventional,1053,Escambia County,AL,"Escambia County, AL"
1.435459295,Alabama,Chambers County,Conventional,1017,Chambers County,AL,"Chambers County, AL"
1.075053864,Alabama,Lawrence County,Conventional,1079,Lawrence County,AL,"Lawrence County, AL"
0.933256626,Alabama,Pike County,Conventional,1109,Pike County,AL,"Pike County, AL"
1.131631451,Alabama,Franklin County,Conventional,1059,Franklin County,AL,"Franklin County, AL"
1.10859936,Alabama,Marion County,Conventional,1093,Marion County,AL,"Marion County, AL"
1.171700983,Alabama,Geneva County,Conventional,1061,Geneva County,AL,"Geneva County, AL"
1.398566882,Alabama,Cherokee County,Conventional,1019,Cherokee County,AL,"Cherokee County, AL"
1.146412784,Alabama,Barbour County,Conventional,1005,Barbour County,AL,"Barbour County, AL"
1.270657687,Alabama,Winston County,Conventional,1133,Winston County,AL,"Winston County, AL"
1.157665131,Alabama,Clarke County,Conventional,1025,Clarke County,AL,"Clarke County, AL"
1.200481921,Alabama,Bibb County,Conventional,1007,Bibb County,AL,"Bibb County, AL"
1.39971649,Alabama,Randolph County,Conventional,1111,Randolph County,AL,"Randolph County, AL"
1.197425895,Alabama,Monroe County,Conventional,1099,Monroe County,AL,"Monroe County, AL"
1.210248277,Alabama,Macon County,Conventional,1087,Macon County,AL,"Macon County, AL"
1.105717162,Alabama,Marengo County,Conventional,1091,Marengo County,AL,"Marengo County, AL"
1.157010246,Alabama,Butler County,Conventional,1013,Butler County,AL,"Butler County, AL"
1.148214563,Alabama,Pickens County,Conventional,1107,Pickens County,AL,"Pickens County, AL"
1.170427802,Alabama,Henry County,Conventional,1067,Henry County,AL,"Henry County, AL"
1.64439281,Alabama,Fayette County,Conventional,1057,Fayette County,AL,"Fayette County, AL"
1.254842768,Alabama,Washington County,Conventional,1129,Washington County,AL,"Washington County, AL"
1.21338164,Alabama,Cleburne County,Conventional,1029,Cleburne County,AL,"Cleburne County, AL"
1.149106502,Alabama,Hale County,Conventional,1065,Hale County,AL,"Hale County, AL"
1.244132081,Alabama,Clay County,Conventional,1027,Clay County,AL,"Clay County, AL"
1.116290691,Alabama,Lamar County,Conventional,1075,Lamar County,AL,"Lamar County, AL"
1.166185594,Alabama,Crenshaw County,Conventional,1041,Crenshaw County,AL,"Crenshaw County, AL"
1.102093945,Alabama,Choctaw County,Conventional,1023,Choctaw County,AL,"Choctaw County, AL"
1.1258015,Alabama,Sumter County,Conventional,1119,Sumter County,AL,"Sumter County, AL"
1.184878209,Alabama,Conecuh County,Conventional,1035,Conecuh County,AL,"Conecuh County, AL"
1.130964585,Alabama,Wilcox County,Conventional,1131,Wilcox County,AL,"Wilcox County, AL"
1.224289326,Alabama,Bullock County,Conventional,1011,Bullock County,AL,"Bullock County, AL"
1.11472125,Alabama,Lowndes County,Conventional,1085,Lowndes County,AL,"Lowndes County, AL"
1.081060607,Alabama,Perry County,Conventional,1105,Perry County,AL,"Perry County, AL"
1.060785064,Alabama,Greene County,Conventional,1063,Greene County,AL,"Greene County, AL"
0.723773568,Arkansas,Pulaski County,Conventional,5119,Pulaski County,AR,"Pulaski County, AR"
0.818932158,Arkansas,Benton County,Conventional,5007,Benton County,AR,"Benton County, AR"
0.766898041,Arkansas,Sebastian County,Conventional,5131,Sebastian County,AR,"Sebastian County, AR"
0.740299189,Arkansas,Faulkner County,Conventional,5045,Faulkner County,AR,"Faulkner County, AR"
0.712090703,Arkansas,Craighead County,Conventional,5031,Craighead County,AR,"Craighead County, AR"
0.766048247,Arkansas,White County,Conventional,5145,White County,AR,"White County, AR"
0.717811832,Arkansas,Lonoke County,Conventional,5085,Lonoke County,AR,"Lonoke County, AR"
0.68625961,Arkansas,Jefferson County,Conventional,5069,Jefferson County,AR,"Jefferson County, AR"
0.777249991,Arkansas,Pope County,Conventional,5115,Pope County,AR,"Pope County, AR"
0.766108571,Arkansas,Crawford County,Conventional,5033,Crawford County,AR,"Crawford County, AR"
0.697213729,Arkansas,Crittenden County,Conventional,5035,Crittenden County,AR,"Crittenden County, AR"
0.721962024,Arkansas,Greene County,Conventional,5055,Greene County,AR,"Greene County, AR"
0.758944821,Arkansas,Miller County,Conventional,5091,Miller County,AR,"Miller County, AR"
0.686583581,Arkansas,Mississippi County,Conventional,5093,Mississippi County,AR,"Mississippi County, AR"
0.765570046,Arkansas,Independence County,Conventional,5063,Independence County,AR,"Independence County, AR"
0.874514865,Arkansas,Boone County,Conventional,5009,Boone County,AR,"Boone County, AR"
0.784296071,Arkansas,Johnson County,Conventional,5071,Johnson County,AR,"Johnson County, AR"
0.743445639,Arkansas,Cleburne County,Conventional,5023,Cleburne County,AR,"Cleburne County, AR"
0.67722421,Arkansas,Poinsett County,Conventional,5111,Poinsett County,AR,"Poinsett County, AR"
0.725655261,Arkansas,Columbia County,Conventional,5027,Columbia County,AR,"Columbia County, AR"
0.728234969,Arkansas,Clark County,Conventional,5019,Clark County,AR,"Clark County, AR"
0.786235289,Arkansas,Logan County,Conventional,5083,Logan County,AR,"Logan County, AR"
0.756625778,Arkansas,Conway County,Conventional,5029,Conway County,AR,"Conway County, AR"
0.742855052,Arkansas,Yell County,Conventional,5149,Yell County,AR,"Yell County, AR"
1.173372653,Arkansas,Polk County,Conventional,5113,Polk County,AR,"Polk County, AR"
0.705544172,Arkansas,Ashley County,Conventional,5003,Ashley County,AR,"Ashley County, AR"
0.756386054,Arkansas,Randolph County,Conventional,5121,Randolph County,AR,"Randolph County, AR"
0.677866679,Arkansas,Drew County,Conventional,5043,Drew County,AR,"Drew County, AR"
