True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.876522601,Alabama,Mobile County,Conventional,1097,Mobile County,AL,"Mobile County, AL"
0.864495617,Alabama,Morgan County,Conventional,1103,Morgan County,AL,"Morgan County, AL"
0.889737102,Alabama,Jackson County,Conventional,1071,Jackson County,AL,"Jackson County, AL"
0.732807797,Arkansas,Phillips County,Conventional,5107,Phillips County,AR,"Phillips County, AR"
1.01063915,Florida,Palm Beach County,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
1.012193324,Florida,Hillsborough County,Conventional,12057,Hillsborough County,FL,"Hillsborough County, FL"
0.979179313,Florida,Duval County,Conventional,12031,Duval County,FL,"Duval County, FL"
0.981025985,Florida,Pinellas County,Conventional,12103,Pinellas County,FL,"Pinellas County, FL"
1.022365214,Florida,Lake County,Conventional,12069,Lake County,FL,"Lake County, FL"
0.97079244,Florida,Marion County,Conventional,12083,Marion County,FL,"Marion County, FL"
0.97987036,Florida,Escambia County,Conventional,12033,Escambia County,FL,"Escambia County, FL"
0.988126569,Florida,Okaloosa County,Conventional,12091,Okaloosa County,FL,"Okaloosa County, FL"
0.996261284,Florida,Indian River County,Conventional,12061,Indian River County,FL,"Indian River County, FL"
0.983771953,Florida,Flagler County,Conventional,12035,Flagler County,FL,"Flagler County, FL"
1.000609944,Florida,Putnam County,Conventional,12107,Putnam County,FL,"Putnam County, FL"
0.990898396,Florida,Hendry County,Conventional,12051,Hendry County,FL,"Hendry County, FL"
1.002144623,Florida,Gulf County,Conventional,12045,Gulf County,FL,"Gulf County, FL"
0.639765272,Mississippi,Jackson County,Conventional,28059,Jackson County,MS,"Jackson County, MS"
0.655449521,Mississippi,Warren County,Conventional,28149,Warren County,MS,"Warren County, MS"
0.517478999,North Carolina,Onslow County,Conventional,37133,Onslow County,NC,"Onslow County, NC"
0.521305176,North Carolina,Craven County,Conventional,37049,Craven County,NC,"Craven County, NC"
0.509870202,North Carolina,Beaufort County,Conventional,37013,Beaufort County,NC,"Beaufort County, NC"
0.506579937,North Carolina,Chowan County,Conventional,37041,Chowan County,NC,"Chowan County, NC"
0.504462567,North Carolina,Perquimans County,Conventional,37143,Perquimans County,NC,"Perquimans County, NC"
0.52859781,North Carolina,Washington County,Conventional,37187,Washington County,NC,"Washington County, NC"
1.136124268,Oklahoma,Washita County,Conventional,40149,Washita County,OK,"Washita County, OK"
0.421876875,South Carolina,Charleston County,Conventional,45019,Charleston County,SC,"Charleston County, SC"
0.418099686,South Carolina,Horry County,Conventional,45051,Horry County,SC,"Horry County, SC"
0.42615769,South Carolina,Beaufort County,Conventional,45013,Beaufort County,SC,"Beaufort County, SC"
0.4207689,South Carolina,Georgetown County,Conventional,45043,Georgetown County,SC,"Georgetown County, SC"
