True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.868548727,Alabama,Mobile County,Conventional,1097,Mobile County,AL,"Mobile County, AL"
0.849554764,Alabama,Baldwin County,Conventional,1003,Baldwin County,AL,"Baldwin County, AL"
0.933494549,Alabama,Lee County,Conventional,1081,Lee County,AL,"Lee County, AL"
0.824290513,Alabama,Morgan County,Conventional,1103,Morgan County,AL,"Morgan County, AL"
0.829712307,Alabama,Calhoun County,Conventional,1015,Calhoun County,AL,"Calhoun County, AL"
0.829819772,Alabama,Houston County,Conventional,1069,Houston County,AL,"Houston County, AL"
0.830920037,Alabama,Elmore County,Conventional,1051,Elmore County,AL,"Elmore County, AL"
0.841817176,Alabama,DeKalb County,Conventional,1049,DeKalb County,AL,"DeKalb County, AL"
0.841210169,Alabama,Blount County,Conventional,1009,Blount County,AL,"Blount County, AL"
0.837439161,Alabama,Russell County,Conventional,1113,Russell County,AL,"Russell County, AL"
0.831816134,Alabama,Autauga County,Conventional,1001,Autauga County,AL,"Autauga County, AL"
0.840861923,Alabama,Jackson County,Conventional,1071,Jackson County,AL,"Jackson County, AL"
0.841166958,Alabama,Dale County,Conventional,1045,Dale County,AL,"Dale County, AL"
0.841561702,Alabama,Tallapoosa County,Conventional,1123,Tallapoosa County,AL,"Tallapoosa County, AL"
0.86021281,Alabama,Dallas County,Conventional,1047,Dallas County,AL,"Dallas County, AL"
0.884759472,Alabama,Escambia County,Conventional,1053,Escambia County,AL,"Escambia County, AL"
0.861844004,Alabama,Chambers County,Conventional,1017,Chambers County,AL,"Chambers County, AL"
0.821474761,Alabama,Lawrence County,Conventional,1079,Lawrence County,AL,"Lawrence County, AL"
0.814524073,Alabama,Pike County,Conventional,1109,Pike County,AL,"Pike County, AL"
0.828358703,Alabama,Franklin County,Conventional,1059,Franklin County,AL,"Franklin County, AL"
0.835913008,Alabama,Clarke County,Conventional,1025,Clarke County,AL,"Clarke County, AL"
0.844817605,Alabama,Monroe County,Conventional,1099,Monroe County,AL,"Monroe County, AL"
0.840313183,Alabama,Macon County,Conventional,1087,Macon County,AL,"Macon County, AL"
0.829353287,Alabama,Marengo County,Conventional,1091,Marengo County,AL,"Marengo County, AL"
0.835605664,Alabama,Butler County,Conventional,1013,Butler County,AL,"Butler County, AL"
0.833431124,Alabama,Pickens County,Conventional,1107,Pickens County,AL,"Pickens County, AL"
0.879098562,Alabama,Fayette County,Conventional,1057,Fayette County,AL,"Fayette County, AL"
0.845759311,Alabama,Washington County,Conventional,1129,Washington County,AL,"Washington County, AL"
0.830454951,Alabama,Sumter County,Conventional,1119,Sumter County,AL,"Sumter County, AL"
0.839093088,Alabama,Conecuh County,Conventional,1035,Conecuh County,AL,"Conecuh County, AL"
0.833197618,Alabama,Wilcox County,Conventional,1131,Wilcox County,AL,"Wilcox County, AL"
0.8267895,Alabama,Perry County,Conventional,1105,Perry County,AL,"Perry County, AL"
