True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
18.38718068,Alabama,Marshall County,Conventional,1095,Marshall County,AL,"Marshall County, AL"
18.38229657,Alabama,Colbert County,Conventional,1033,Colbert County,AL,"Colbert County, AL"
18.38090845,Alabama,Lauderdale County,Conventional,1077,Lauderdale County,AL,"Lauderdale County, AL"
18.38486715,Alabama,Morgan County,Conventional,1103,Morgan County,AL,"Morgan County, AL"
13.38491512,California,Alameda County,Conventional,6001,Alameda County,CA,"Alameda County, CA"
13.38501794,California,Marin County,Conventional,6041,Marin County,CA,"Marin County, CA"
13.38589194,California,San Mateo County,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
13.38645747,California,Sonoma County,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
13.3966884,California,Humboldt County,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
13.39483758,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
13.388771,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
13.38861676,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
13.39231841,California,Stanislaus County,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
13.36404195,California,San Diego County,Conventional,6073,San Diego County,CA,"San Diego County, CA"
13.37113677,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
15.82035132,Delaware,Kent County,Conventional,10001,Kent County,DE,"Kent County, DE"
15.82173944,Delaware,New Castle County,Conventional,10003,New Castle County,DE,"New Castle County, DE"
15.81999144,Delaware,Sussex County,Conventional,10005,Sussex County,DE,"Sussex County, DE"
18.32605366,Florida,Clay County,Conventional,12019,Clay County,FL,"Clay County, FL"
18.32909681,Florida,Flagler County,Conventional,12035,Flagler County,FL,"Flagler County, FL"
18.33972919,Florida,Hillsborough County,Conventional,12057,Hillsborough County,FL,"Hillsborough County, FL"
18.33268578,Florida,Lake County,Conventional,12069,Lake County,FL,"Lake County, FL"
18.33140048,Florida,Marion County,Conventional,12083,Marion County,FL,"Marion County, FL"
18.3316394,Florida,Seminole County,Conventional,12117,Seminole County,FL,"Seminole County, FL"
18.32677343,Florida,Volusia County,Conventional,12127,Volusia County,FL,"Volusia County, FL"
18.32291755,Florida,Nassau County,Conventional,12089,Nassau County,FL,"Nassau County, FL"
18.34846918,Florida,Bay County,Conventional,12005,Bay County,FL,"Bay County, FL"
18.35134824,Florida,Escambia County,Conventional,12033,Escambia County,FL,"Escambia County, FL"
18.34785224,Florida,Gulf County,Conventional,12045,Gulf County,FL,"Gulf County, FL"
18.35165671,Florida,Okaloosa County,Conventional,12091,Okaloosa County,FL,"Okaloosa County, FL"
18.33257622,Florida,Brevard County,Conventional,12009,Brevard County,FL,"Brevard County, FL"
18.33907746,Florida,Hendry County,Conventional,12051,Hendry County,FL,"Hendry County, FL"
18.33457685,Florida,Indian River County,Conventional,12061,Indian River County,FL,"Indian River County, FL"
18.33878098,Florida,Lee County,Conventional,12071,Lee County,FL,"Lee County, FL"
18.33650624,Florida,Martin County,Conventional,12085,Martin County,FL,"Martin County, FL"
18.33814263,Florida,Palm Beach County,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
18.33173931,Georgia,Chatham County,Conventional,13051,Chatham County,GA,"Chatham County, GA"
18.33451554,Georgia,Glynn County,Conventional,13127,Glynn County,GA,"Glynn County, GA"
15.61469264,Idaho,Nez Perce County,Conventional,16069,Nez Perce County,ID,"Nez Perce County, ID"
16.04632056,Illinois,Tazewell County,Conventional,17179,Tazewell County,IL,"Tazewell County, IL"
16.03408456,Illinois,Cook County,Conventional,17031,Cook County,IL,"Cook County, IL"
16.04899397,Illinois,Will County,Conventional,17197,Will County,IL,"Will County, IL"
16.05922491,Illinois,Alexander County,Conventional,17003,Alexander County,IL,"Alexander County, IL"
16.11874234,Illinois,Jackson County,Conventional,17077,Jackson County,IL,"Jackson County, IL"
16.13133822,Illinois,Adams County,Conventional,17001,Adams County,IL,"Adams County, IL"
16.04277315,Illinois,Cass County,Conventional,17017,Cass County,IL,"Cass County, IL"
16.12439763,Illinois,Madison County,Conventional,17119,Madison County,IL,"Madison County, IL"
16.04102515,Illinois,Pike County,Conventional,17149,Pike County,IL,"Pike County, IL"
16.19844915,Indiana,Lake County,Conventional,18089,Lake County,IN,"Lake County, IN"
16.23613396,Indiana,Perry County,Conventional,18123,Perry County,IN,"Perry County, IN"
16.18553179,Iowa,Dubuque County,Conventional,19061,Dubuque County,IA,"Dubuque County, IA"
16.17442685,Iowa,Lee County,Conventional,19111,Lee County,IA,"Lee County, IA"
16.19668814,Iowa,Pottawattamie County,Conventional,19155,Pottawattamie County,IA,"Pottawattamie County, IA"
16.18239567,Iowa,Clinton County,Conventional,19045,Clinton County,IA,"Clinton County, IA"
13.63841819,Kansas,Leavenworth County,Conventional,20103,Leavenworth County,KS,"Leavenworth County, KS"
18.61338764,Kentucky,Laurel County,Conventional,21125,Laurel County,KY,"Laurel County, KY"
18.58500836,Kentucky,Daviess County,Conventional,21059,Daviess County,KY,"Daviess County, KY"
18.5764226,Kentucky,Livingston County,Conventional,21139,Livingston County,KY,"Livingston County, KY"
18.36330037,Louisiana,East Baton Rouge County,Conventional,22033,East Baton Rouge County,LA,"East Baton Rouge County, LA"
18.36665102,Louisiana,Red River County,Conventional,22081,Red River County,LA,"Red River County, LA"
18.36240687,Louisiana,Iberville County,Conventional,22047,Iberville County,LA,"Iberville County, LA"
18.36088791,Louisiana,Ascension County,Conventional,22005,Ascension County,LA,"Ascension County, LA"
18.35744791,Louisiana,Jefferson County,Conventional,22053,Jefferson County,LA,"Jefferson County, LA"
18.3598157,Louisiana,Plaquemines County,Conventional,22075,Plaquemines County,LA,"Plaquemines County, LA"
