True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
18.3530026,Alabama,Autauga County,Conventional,1001,Autauga County,AL,"Autauga County, AL"
18.3536147,Alabama,Dallas County,Conventional,1047,Dallas County,AL,"Dallas County, AL"
18.35279618,Alabama,Greene County,Conventional,1063,Greene County,AL,"Greene County, AL"
18.3554534,Alabama,Lowndes County,Conventional,1085,Lowndes County,AL,"Lowndes County, AL"
18.35520084,Alabama,Marengo County,Conventional,1091,Marengo County,AL,"Marengo County, AL"
18.3551449,Alabama,Montgomery County,Conventional,1101,Montgomery County,AL,"Montgomery County, AL"
18.35406406,Alabama,Sumter County,Conventional,1119,Sumter County,AL,"Sumter County, AL"
18.36166504,Alabama,Baldwin County,Conventional,1003,Baldwin County,AL,"Baldwin County, AL"
18.3567617,Alabama,Butler County,Conventional,1013,Butler County,AL,"Butler County, AL"
18.35810607,Alabama,Conecuh County,Conventional,1035,Conecuh County,AL,"Conecuh County, AL"
18.35947256,Alabama,Escambia County,Conventional,1053,Escambia County,AL,"Escambia County, AL"
18.35676534,Alabama,Wilcox County,Conventional,1131,Wilcox County,AL,"Wilcox County, AL"
18.34972936,Alabama,Calhoun County,Conventional,1015,Calhoun County,AL,"Calhoun County, AL"
18.34868243,Alabama,Cleburne County,Conventional,1029,Cleburne County,AL,"Cleburne County, AL"
18.34843009,Alabama,Cullman County,Conventional,1043,Cullman County,AL,"Cullman County, AL"
18.34581631,Alabama,Etowah County,Conventional,1055,Etowah County,AL,"Etowah County, AL"
18.34921615,Alabama,Colbert County,Conventional,1033,Colbert County,AL,"Colbert County, AL"
18.34962413,Alabama,Franklin County,Conventional,1059,Franklin County,AL,"Franklin County, AL"
18.34749467,Alabama,Lawrence County,Conventional,1079,Lawrence County,AL,"Lawrence County, AL"
18.34604823,Alabama,Limestone County,Conventional,1083,Limestone County,AL,"Limestone County, AL"
18.35306556,Alabama,Marion County,Conventional,1093,Marion County,AL,"Marion County, AL"
18.34734776,Alabama,Morgan County,Conventional,1103,Morgan County,AL,"Morgan County, AL"
18.35419678,Alabama,Chambers County,Conventional,1017,Chambers County,AL,"Chambers County, AL"
18.35081906,Alabama,Chilton County,Conventional,1021,Chilton County,AL,"Chilton County, AL"
18.35225432,Alabama,Clay County,Conventional,1027,Clay County,AL,"Clay County, AL"
18.34883404,Alabama,Jefferson County,Conventional,1073,Jefferson County,AL,"Jefferson County, AL"
18.35209598,Alabama,Tallapoosa County,Conventional,1123,Tallapoosa County,AL,"Tallapoosa County, AL"
18.35107726,Alabama,Tuscaloosa County,Conventional,1125,Tuscaloosa County,AL,"Tuscaloosa County, AL"
18.35089043,Alabama,Walker County,Conventional,1127,Walker County,AL,"Walker County, AL"
18.35875551,Alabama,Dale County,Conventional,1045,Dale County,AL,"Dale County, AL"
18.35677418,Alabama,Pike County,Conventional,1109,Pike County,AL,"Pike County, AL"
13.2465221,Arizona,Apache County,Conventional,4001,Apache County,AZ,"Apache County, AZ"
13.25373556,Arizona,Coconino County,Conventional,4005,Coconino County,AZ,"Coconino County, AZ"
13.25947133,Arizona,Mohave County,Conventional,4015,Mohave County,AZ,"Mohave County, AZ"
13.24959857,Arizona,Navajo County,Conventional,4017,Navajo County,AZ,"Navajo County, AZ"
13.25923199,Arizona,Yavapai County,Conventional,4025,Yavapai County,AZ,"Yavapai County, AZ"
13.26485762,Arizona,Maricopa County,Conventional,4013,Maricopa County,AZ,"Maricopa County, AZ"
13.25912326,Arizona,Pima County,Conventional,4019,Pima County,AZ,"Pima County, AZ"
13.26052683,Arizona,Santa Cruz County,Conventional,4023,Santa Cruz County,AZ,"Santa Cruz County, AZ"
13.26741538,Arizona,Yuma County,Conventional,4027,Yuma County,AZ,"Yuma County, AZ"
18.42550929,Arkansas,Faulkner County,Conventional,5045,Faulkner County,AR,"Faulkner County, AR"
18.42648281,Arkansas,Hot Spring County,Conventional,5059,Hot Spring County,AR,"Hot Spring County, AR"
18.42429079,Arkansas,Pulaski County,Conventional,5119,Pulaski County,AR,"Pulaski County, AR"
18.42370715,Arkansas,Arkansas County,Conventional,5001,Arkansas County,AR,"Arkansas County, AR"
18.42181491,Arkansas,Crittenden County,Conventional,5035,Crittenden County,AR,"Crittenden County, AR"
18.42000687,Arkansas,Cross County,Conventional,5037,Cross County,AR,"Cross County, AR"
18.42189663,Arkansas,Lee County,Conventional,5077,Lee County,AR,"Lee County, AR"
18.42349596,Arkansas,Lonoke County,Conventional,5085,Lonoke County,AR,"Lonoke County, AR"
18.42260551,Arkansas,Monroe County,Conventional,5095,Monroe County,AR,"Monroe County, AR"
18.42300098,Arkansas,Prairie County,Conventional,5117,Prairie County,AR,"Prairie County, AR"
18.41671652,Arkansas,Clay County,Conventional,5021,Clay County,AR,"Clay County, AR"
18.41817324,Arkansas,Craighead County,Conventional,5031,Craighead County,AR,"Craighead County, AR"
18.41728931,Arkansas,Greene County,Conventional,5055,Greene County,AR,"Greene County, AR"
18.43135002,Arkansas,Lafayette County,Conventional,5073,Lafayette County,AR,"Lafayette County, AR"
18.44497194,Arkansas,Little River County,Conventional,5081,Little River County,AR,"Little River County, AR"
18.4317612,Arkansas,Miller County,Conventional,5091,Miller County,AR,"Miller County, AR"
18.44379541,Arkansas,Sevier County,Conventional,5133,Sevier County,AR,"Sevier County, AR"
18.42885223,Arkansas,Johnson County,Conventional,5071,Johnson County,AR,"Johnson County, AR"
18.42757791,Arkansas,Pope County,Conventional,5115,Pope County,AR,"Pope County, AR"
18.44074879,Arkansas,Scott County,Conventional,5127,Scott County,AR,"Scott County, AR"
