True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
18.46608834,Alabama,Autauga County,Conventional,1001,Autauga County,AL,"Autauga County, AL"
18.46472569,Alabama,Bullock County,Conventional,1011,Bullock County,AL,"Bullock County, AL"
18.46900683,Alabama,Dallas County,Conventional,1047,Dallas County,AL,"Dallas County, AL"
18.4674652,Alabama,Greene County,Conventional,1063,Greene County,AL,"Greene County, AL"
18.47219141,Alabama,Lowndes County,Conventional,1085,Lowndes County,AL,"Lowndes County, AL"
18.47353323,Alabama,Marengo County,Conventional,1091,Marengo County,AL,"Marengo County, AL"
18.46710631,Alabama,Montgomery County,Conventional,1101,Montgomery County,AL,"Montgomery County, AL"
18.47139597,Alabama,Sumter County,Conventional,1119,Sumter County,AL,"Sumter County, AL"
18.49087655,Alabama,Baldwin County,Conventional,1003,Baldwin County,AL,"Baldwin County, AL"
18.47479267,Alabama,Butler County,Conventional,1013,Butler County,AL,"Butler County, AL"
18.47832099,Alabama,Choctaw County,Conventional,1023,Choctaw County,AL,"Choctaw County, AL"
18.47931339,Alabama,Conecuh County,Conventional,1035,Conecuh County,AL,"Conecuh County, AL"
18.48333033,Alabama,Escambia County,Conventional,1053,Escambia County,AL,"Escambia County, AL"
18.47372736,Alabama,Wilcox County,Conventional,1131,Wilcox County,AL,"Wilcox County, AL"
18.44918062,Alabama,Calhoun County,Conventional,1015,Calhoun County,AL,"Calhoun County, AL"
18.44197342,Alabama,Cherokee County,Conventional,1019,Cherokee County,AL,"Cherokee County, AL"
18.44987189,Alabama,Cleburne County,Conventional,1029,Cleburne County,AL,"Cleburne County, AL"
18.45275534,Alabama,Cullman County,Conventional,1043,Cullman County,AL,"Cullman County, AL"
18.44515326,Alabama,Etowah County,Conventional,1055,Etowah County,AL,"Etowah County, AL"
18.44530288,Alabama,Marshall County,Conventional,1095,Marshall County,AL,"Marshall County, AL"
18.45085388,Alabama,Colbert County,Conventional,1033,Colbert County,AL,"Colbert County, AL"
18.45665203,Alabama,Franklin County,Conventional,1059,Franklin County,AL,"Franklin County, AL"
18.44814088,Alabama,Lauderdale County,Conventional,1077,Lauderdale County,AL,"Lauderdale County, AL"
18.45119099,Alabama,Lawrence County,Conventional,1079,Lawrence County,AL,"Lawrence County, AL"
18.45952222,Alabama,Marion County,Conventional,1093,Marion County,AL,"Marion County, AL"
18.44936812,Alabama,Morgan County,Conventional,1103,Morgan County,AL,"Morgan County, AL"
18.45655165,Alabama,Chambers County,Conventional,1017,Chambers County,AL,"Chambers County, AL"
18.46240472,Alabama,Chilton County,Conventional,1021,Chilton County,AL,"Chilton County, AL"
18.45586796,Alabama,Clay County,Conventional,1027,Clay County,AL,"Clay County, AL"
18.45520604,Alabama,Jefferson County,Conventional,1073,Jefferson County,AL,"Jefferson County, AL"
18.46054303,Alabama,Tallapoosa County,Conventional,1123,Tallapoosa County,AL,"Tallapoosa County, AL"
18.46372761,Alabama,Tuscaloosa County,Conventional,1125,Tuscaloosa County,AL,"Tuscaloosa County, AL"
18.45835842,Alabama,Walker County,Conventional,1127,Walker County,AL,"Walker County, AL"
18.47635986,Alabama,Coffee County,Conventional,1031,Coffee County,AL,"Coffee County, AL"
18.48189287,Alabama,Covington County,Conventional,1039,Covington County,AL,"Covington County, AL"
18.4738372,Alabama,Dale County,Conventional,1045,Dale County,AL,"Dale County, AL"
18.46987234,Alabama,Henry County,Conventional,1067,Henry County,AL,"Henry County, AL"
18.46963465,Alabama,Pike County,Conventional,1109,Pike County,AL,"Pike County, AL"
13.47053013,Arizona,Apache County,Conventional,4001,Apache County,AZ,"Apache County, AZ"
13.49974815,Arizona,Coconino County,Conventional,4005,Coconino County,AZ,"Coconino County, AZ"
13.51028765,Arizona,Mohave County,Conventional,4015,Mohave County,AZ,"Mohave County, AZ"
13.47766063,Arizona,Navajo County,Conventional,4017,Navajo County,AZ,"Navajo County, AZ"
13.50392702,Arizona,Yavapai County,Conventional,4025,Yavapai County,AZ,"Yavapai County, AZ"
13.49194437,Arizona,Graham County,Conventional,4009,Graham County,AZ,"Graham County, AZ"
13.48395214,Arizona,Greenlee County,Conventional,4011,Greenlee County,AZ,"Greenlee County, AZ"
13.50783222,Arizona,Maricopa County,Conventional,4013,Maricopa County,AZ,"Maricopa County, AZ"
13.51037667,Arizona,Pima County,Conventional,4019,Pima County,AZ,"Pima County, AZ"
13.50416944,Arizona,Santa Cruz County,Conventional,4023,Santa Cruz County,AZ,"Santa Cruz County, AZ"
13.52388769,Arizona,Yuma County,Conventional,4027,Yuma County,AZ,"Yuma County, AZ"
18.55434561,Arkansas,Faulkner County,Conventional,5045,Faulkner County,AR,"Faulkner County, AR"
18.55865895,Arkansas,Grant County,Conventional,5053,Grant County,AR,"Grant County, AR"
18.56101021,Arkansas,Hot Spring County,Conventional,5059,Hot Spring County,AR,"Hot Spring County, AR"
18.56070624,Arkansas,Perry County,Conventional,5105,Perry County,AR,"Perry County, AR"
18.55368559,Arkansas,Pulaski County,Conventional,5119,Pulaski County,AR,"Pulaski County, AR"
18.55069134,Arkansas,Arkansas County,Conventional,5001,Arkansas County,AR,"Arkansas County, AR"
18.53565574,Arkansas,Crittenden County,Conventional,5035,Crittenden County,AR,"Crittenden County, AR"
18.53822575,Arkansas,Cross County,Conventional,5037,Cross County,AR,"Cross County, AR"
18.54160256,Arkansas,Lee County,Conventional,5077,Lee County,AR,"Lee County, AR"
18.55072449,Arkansas,Lonoke County,Conventional,5085,Lonoke County,AR,"Lonoke County, AR"
18.54599639,Arkansas,Monroe County,Conventional,5095,Monroe County,AR,"Monroe County, AR"
18.54722173,Arkansas,Prairie County,Conventional,5117,Prairie County,AR,"Prairie County, AR"
18.54523883,Arkansas,Baxter County,Conventional,5005,Baxter County,AR,"Baxter County, AR"
18.54829084,Arkansas,Cleburne County,Conventional,5023,Cleburne County,AR,"Cleburne County, AR"
18.54830504,Arkansas,Marion County,Conventional,5089,Marion County,AR,"Marion County, AR"
18.54760051,Arkansas,Stone County,Conventional,5137,Stone County,AR,"Stone County, AR"
18.55558137,Arkansas,Van Buren County,Conventional,5141,Van Buren County,AR,"Van Buren County, AR"
18.52993145,Arkansas,Clay County,Conventional,5021,Clay County,AR,"Clay County, AR"
18.53314633,Arkansas,Craighead County,Conventional,5031,Craighead County,AR,"Craighead County, AR"
18.53122119,Arkansas,Greene County,Conventional,5055,Greene County,AR,"Greene County, AR"
18.57499187,Arkansas,Lafayette County,Conventional,5073,Lafayette County,AR,"Lafayette County, AR"
18.57822664,Arkansas,Little River County,Conventional,5081,Little River County,AR,"Little River County, AR"
18.57675698,Arkansas,Miller County,Conventional,5091,Miller County,AR,"Miller County, AR"
