True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
3.4600589,Alabama,Colbert County,Conventional,1033,Colbert County,AL,"Colbert County, AL"
3.458670783,Alabama,Lauderdale County,Conventional,1077,Lauderdale County,AL,"Lauderdale County, AL"
3.462629487,Alabama,Morgan County,Conventional,1103,Morgan County,AL,"Morgan County, AL"
3.468284778,Alabama,Jackson County,Conventional,1071,Jackson County,AL,"Jackson County, AL"
3.464943015,Alabama,Marshall County,Conventional,1095,Marshall County,AL,"Marshall County, AL"
3.444943848,Alabama,Mobile County,Conventional,1097,Mobile County,AL,"Mobile County, AL"
3.321656544,Alabama,Colbert County,Conventional,1033,Colbert County,AL,"Colbert County, AL"
3.320323951,Alabama,Lauderdale County,Conventional,1077,Lauderdale County,AL,"Lauderdale County, AL"
3.324124307,Alabama,Morgan County,Conventional,1103,Morgan County,AL,"Morgan County, AL"
3.329553387,Alabama,Jackson County,Conventional,1071,Jackson County,AL,"Jackson County, AL"
3.326345294,Alabama,Marshall County,Conventional,1095,Marshall County,AL,"Marshall County, AL"
3.307146094,Alabama,Mobile County,Conventional,1097,Mobile County,AL,"Mobile County, AL"
3.511328851,California,Humboldt County,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
3.50205006,California,Contra Costa County,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
3.500125205,California,Marin County,Conventional,6041,Marin County,CA,"Marin County, CA"
3.497854862,California,Monterey County,Conventional,6053,Monterey County,CA,"Monterey County, CA"
3.492376427,California,San Luis Obispo County,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
3.509552062,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
3.50372814,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
3.505159443,California,Yolo County,Conventional,6113,Yolo County,CA,"Yolo County, CA"
3.503580074,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
3.507133654,California,Stanislaus County,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
3.483541834,California,Los Angeles County,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
3.479988254,California,San Diego County,Conventional,6073,San Diego County,CA,"San Diego County, CA"
3.488181229,California,Santa Barbara County,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
3.486799282,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
3.252904651,Connecticut,Western Connecticut County,Conventional,#N/A,Western Connecticut County,CT,"Western Connecticut County, CT"
3.256556941,Connecticut,Capitol County,Conventional,#N/A,Capitol County,CT,"Capitol County, CT"
3.253447559,Connecticut,South Central Connecticut County,Conventional,#N/A,South Central Connecticut County,CT,"South Central Connecticut County, CT"
3.255471125,Connecticut,Southeastern Connecticut County,Conventional,#N/A,Southeastern Connecticut County,CT,"Southeastern Connecticut County, CT"
3.256556941,Connecticut,Capitol County,Conventional,#N/A,Capitol County,CT,"Capitol County, CT"
3.256655651,Delaware,New Castle County,Conventional,10003,New Castle County,DE,"New Castle County, DE"
3.255323059,Delaware,Kent County,Conventional,10001,Kent County,DE,"Kent County, DE"
3.254977572,Delaware,Sussex County,Conventional,10005,Sussex County,DE,"Sussex County, DE"
