True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
3.289899344,Alabama,Colbert County,Conventional,1033,Colbert County,AL,"Colbert County, AL"
3.290291007,Alabama,Franklin County,Conventional,1059,Franklin County,AL,"Franklin County, AL"
3.288246725,Alabama,Lawrence County,Conventional,1079,Lawrence County,AL,"Lawrence County, AL"
3.286858138,Alabama,Limestone County,Conventional,1083,Limestone County,AL,"Limestone County, AL"
3.286915358,Alabama,Madison County,Conventional,1089,Madison County,AL,"Madison County, AL"
3.293594775,Alabama,Marion County,Conventional,1093,Marion County,AL,"Marion County, AL"
3.288105692,Alabama,Morgan County,Conventional,1103,Morgan County,AL,"Morgan County, AL"
3.292237058,Alabama,Winston County,Conventional,1133,Winston County,AL,"Winston County, AL"
3.289685019,Alabama,Blount County,Conventional,1009,Blount County,AL,"Blount County, AL"
3.290392026,Alabama,Calhoun County,Conventional,1015,Calhoun County,AL,"Calhoun County, AL"
3.289386974,Alabama,Cleburne County,Conventional,1029,Cleburne County,AL,"Cleburne County, AL"
3.289144722,Alabama,Cullman County,Conventional,1043,Cullman County,AL,"Cullman County, AL"
3.286635498,Alabama,Etowah County,Conventional,1055,Etowah County,AL,"Etowah County, AL"
3.284812618,Alabama,Jackson County,Conventional,1071,Jackson County,AL,"Jackson County, AL"
3.290659609,Alabama,Bibb County,Conventional,1007,Bibb County,AL,"Bibb County, AL"
3.292815986,Alabama,Clay County,Conventional,1027,Clay County,AL,"Clay County, AL"
3.289532515,Alabama,Jefferson County,Conventional,1073,Jefferson County,AL,"Jefferson County, AL"
3.294256472,Alabama,Lamar County,Conventional,1075,Lamar County,AL,"Lamar County, AL"
3.294265535,Alabama,Lee County,Conventional,1081,Lee County,AL,"Lee County, AL"
3.295119674,Alabama,Pickens County,Conventional,1107,Pickens County,AL,"Pickens County, AL"
3.293638136,Alabama,Randolph County,Conventional,1111,Randolph County,AL,"Randolph County, AL"
3.290799971,Alabama,Shelby County,Conventional,1117,Shelby County,AL,"Shelby County, AL"
3.291001326,Alabama,Talladega County,Conventional,1121,Talladega County,AL,"Talladega County, AL"
3.292663983,Alabama,Tallapoosa County,Conventional,1123,Tallapoosa County,AL,"Tallapoosa County, AL"
3.29168601,Alabama,Tuscaloosa County,Conventional,1125,Tuscaloosa County,AL,"Tuscaloosa County, AL"
3.29150665,Alabama,Walker County,Conventional,1127,Walker County,AL,"Walker County, AL"
3.294121947,Alabama,Dallas County,Conventional,1047,Dallas County,AL,"Dallas County, AL"
3.293092744,Alabama,Elmore County,Conventional,1051,Elmore County,AL,"Elmore County, AL"
3.293336172,Alabama,Greene County,Conventional,1063,Greene County,AL,"Greene County, AL"
3.292899589,Alabama,Hale County,Conventional,1065,Hale County,AL,"Hale County, AL"
3.295887104,Alabama,Lowndes County,Conventional,1085,Lowndes County,AL,"Lowndes County, AL"
3.295644642,Alabama,Marengo County,Conventional,1091,Marengo County,AL,"Marengo County, AL"
3.295590939,Alabama,Montgomery County,Conventional,1101,Montgomery County,AL,"Montgomery County, AL"
3.294654661,Alabama,Perry County,Conventional,1105,Perry County,AL,"Perry County, AL"
3.301850279,Alabama,Baldwin County,Conventional,1003,Baldwin County,AL,"Baldwin County, AL"
3.297143072,Alabama,Butler County,Conventional,1013,Butler County,AL,"Butler County, AL"
3.297764586,Alabama,Clarke County,Conventional,1025,Clarke County,AL,"Clarke County, AL"
3.303787864,Alabama,Mobile County,Conventional,1097,Mobile County,AL,"Mobile County, AL"
3.297146568,Alabama,Wilcox County,Conventional,1131,Wilcox County,AL,"Wilcox County, AL"
3.299057125,Alabama,Dale County,Conventional,1045,Dale County,AL,"Dale County, AL"
3.30047269,Alabama,Houston County,Conventional,1069,Houston County,AL,"Houston County, AL"
3.297155052,Alabama,Pike County,Conventional,1109,Pike County,AL,"Pike County, AL"
3.295553339,Alabama,Russell County,Conventional,1113,Russell County,AL,"Russell County, AL"
3.339383293,Arizona,Apache County,Conventional,4001,Apache County,AZ,"Apache County, AZ"
3.346308212,Arizona,Coconino County,Conventional,4005,Coconino County,AZ,"Coconino County, AZ"
3.3423367,Arizona,Navajo County,Conventional,4017,Navajo County,AZ,"Navajo County, AZ"
3.351584786,Arizona,Yavapai County,Conventional,4025,Yavapai County,AZ,"Yavapai County, AZ"
3.346999053,Arizona,Cochise County,Conventional,4003,Cochise County,AZ,"Cochise County, AZ"
3.356985393,Arizona,Maricopa County,Conventional,4013,Maricopa County,AZ,"Maricopa County, AZ"
3.351480404,Arizona,Pima County,Conventional,4019,Pima County,AZ,"Pima County, AZ"
3.353048965,Arizona,Pinal County,Conventional,4021,Pinal County,AZ,"Pinal County, AZ"
3.35282783,Arizona,Santa Cruz County,Conventional,4023,Santa Cruz County,AZ,"Santa Cruz County, AZ"
3.303204222,Arkansas,Benton County,Conventional,5007,Benton County,AR,"Benton County, AR"
3.290780033,Arkansas,Fulton County,Conventional,5049,Fulton County,AR,"Fulton County, AR"
3.289979839,Arkansas,Sharp County,Conventional,5135,Sharp County,AR,"Sharp County, AR"
3.28689321,Arkansas,Clay County,Conventional,5021,Clay County,AR,"Clay County, AR"
3.287443083,Arkansas,Greene County,Conventional,5055,Greene County,AR,"Greene County, AR"
3.29033193,Arkansas,Independence County,Conventional,5063,Independence County,AR,"Independence County, AR"
3.290090202,Arkansas,Jackson County,Conventional,5067,Jackson County,AR,"Jackson County, AR"
3.288862256,Arkansas,Lawrence County,Conventional,5075,Lawrence County,AR,"Lawrence County, AR"
3.289370724,Arkansas,Randolph County,Conventional,5121,Randolph County,AR,"Randolph County, AR"
3.291925462,Arkansas,White County,Conventional,5145,White County,AR,"White County, AR"
3.307968844,Arkansas,Crawford County,Conventional,5033,Crawford County,AR,"Crawford County, AR"
3.309088948,Arkansas,Franklin County,Conventional,5047,Franklin County,AR,"Franklin County, AR"
3.298543494,Arkansas,Johnson County,Conventional,5071,Johnson County,AR,"Johnson County, AR"
3.310518843,Arkansas,Polk County,Conventional,5113,Polk County,AR,"Polk County, AR"
3.297320142,Arkansas,Pope County,Conventional,5115,Pope County,AR,"Pope County, AR"
3.309964183,Arkansas,Scott County,Conventional,5127,Scott County,AR,"Scott County, AR"
3.308549662,Arkansas,Sebastian County,Conventional,5131,Sebastian County,AR,"Sebastian County, AR"
3.296188627,Arkansas,Conway County,Conventional,5029,Conway County,AR,"Conway County, AR"
