True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
2.985961629,Alabama,Colbert County,Conventional,1033,Colbert County,AL,"Colbert County, AL"
2.991527852,Alabama,Franklin County,Conventional,1059,Franklin County,AL,"Franklin County, AL"
2.983357149,Alabama,Lauderdale County,Conventional,1077,Lauderdale County,AL,"Lauderdale County, AL"
2.986285257,Alabama,Lawrence County,Conventional,1079,Lawrence County,AL,"Lawrence County, AL"
2.982386264,Alabama,Madison County,Conventional,1089,Madison County,AL,"Madison County, AL"
2.994283238,Alabama,Marion County,Conventional,1093,Marion County,AL,"Marion County, AL"
2.984535301,Alabama,Morgan County,Conventional,1103,Morgan County,AL,"Morgan County, AL"
2.990434244,Alabama,Winston County,Conventional,1133,Winston County,AL,"Winston County, AL"
2.986658884,Alabama,Blount County,Conventional,1009,Blount County,AL,"Blount County, AL"
2.984355305,Alabama,Calhoun County,Conventional,1015,Calhoun County,AL,"Calhoun County, AL"
2.977436388,Alabama,Cherokee County,Conventional,1019,Cherokee County,AL,"Cherokee County, AL"
2.985018925,Alabama,Cleburne County,Conventional,1029,Cleburne County,AL,"Cleburne County, AL"
2.987787037,Alabama,Cullman County,Conventional,1043,Cullman County,AL,"Cullman County, AL"
2.980489039,Alabama,Etowah County,Conventional,1055,Etowah County,AL,"Etowah County, AL"
2.976636408,Alabama,Jackson County,Conventional,1071,Jackson County,AL,"Jackson County, AL"
2.980632672,Alabama,Marshall County,Conventional,1095,Marshall County,AL,"Marshall County, AL"
2.996418639,Alabama,Bibb County,Conventional,1007,Bibb County,AL,"Bibb County, AL"
2.990775144,Alabama,Clay County,Conventional,1027,Clay County,AL,"Clay County, AL"
2.990139705,Alabama,Jefferson County,Conventional,1073,Jefferson County,AL,"Jefferson County, AL"
2.998443133,Alabama,Lamar County,Conventional,1075,Lamar County,AL,"Lamar County, AL"
2.992659642,Alabama,Lee County,Conventional,1081,Lee County,AL,"Lee County, AL"
3.002875749,Alabama,Pickens County,Conventional,1107,Pickens County,AL,"Pickens County, AL"
2.990442425,Alabama,Randolph County,Conventional,1111,Randolph County,AL,"Randolph County, AL"
2.992487828,Alabama,Shelby County,Conventional,1117,Shelby County,AL,"Shelby County, AL"
2.988105211,Alabama,Talladega County,Conventional,1121,Talladega County,AL,"Talladega County, AL"
2.995263213,Alabama,Tallapoosa County,Conventional,1123,Tallapoosa County,AL,"Tallapoosa County, AL"
2.998320409,Alabama,Tuscaloosa County,Conventional,1125,Tuscaloosa County,AL,"Tuscaloosa County, AL"
2.993165993,Alabama,Walker County,Conventional,1127,Walker County,AL,"Walker County, AL"
3.003388463,Alabama,Dallas County,Conventional,1047,Dallas County,AL,"Dallas County, AL"
2.997526793,Alabama,Elmore County,Conventional,1051,Elmore County,AL,"Elmore County, AL"
3.001908501,Alabama,Greene County,Conventional,1063,Greene County,AL,"Greene County, AL"
3.001964863,Alabama,Hale County,Conventional,1065,Hale County,AL,"Hale County, AL"
3.006445659,Alabama,Lowndes County,Conventional,1085,Lowndes County,AL,"Lowndes County, AL"
3.007733809,Alabama,Marengo County,Conventional,1091,Marengo County,AL,"Marengo County, AL"
3.001563964,Alabama,Montgomery County,Conventional,1101,Montgomery County,AL,"Montgomery County, AL"
3.000059456,Alabama,Perry County,Conventional,1105,Perry County,AL,"Perry County, AL"
3.02438339,Alabama,Baldwin County,Conventional,1003,Baldwin County,AL,"Baldwin County, AL"
3.008942869,Alabama,Butler County,Conventional,1013,Butler County,AL,"Butler County, AL"
3.012330057,Alabama,Choctaw County,Conventional,1023,Choctaw County,AL,"Choctaw County, AL"
3.012464599,Alabama,Clarke County,Conventional,1025,Clarke County,AL,"Clarke County, AL"
3.026184254,Alabama,Mobile County,Conventional,1097,Mobile County,AL,"Mobile County, AL"
3.007920168,Alabama,Wilcox County,Conventional,1131,Wilcox County,AL,"Wilcox County, AL"
3.001542146,Alabama,Barbour County,Conventional,1005,Barbour County,AL,"Barbour County, AL"
3.010447377,Alabama,Coffee County,Conventional,1031,Coffee County,AL,"Coffee County, AL"
3.015759062,Alabama,Covington County,Conventional,1039,Covington County,AL,"Covington County, AL"
3.009090138,Alabama,Crenshaw County,Conventional,1041,Crenshaw County,AL,"Crenshaw County, AL"
3.00802562,Alabama,Dale County,Conventional,1045,Dale County,AL,"Dale County, AL"
3.011541895,Alabama,Geneva County,Conventional,1061,Geneva County,AL,"Geneva County, AL"
3.004219352,Alabama,Henry County,Conventional,1067,Henry County,AL,"Henry County, AL"
3.008619241,Alabama,Houston County,Conventional,1069,Houston County,AL,"Houston County, AL"
3.003991176,Alabama,Pike County,Conventional,1109,Pike County,AL,"Pike County, AL"
2.995708656,Alabama,Russell County,Conventional,1113,Russell County,AL,"Russell County, AL"
3.152921069,Arizona,Apache County,Conventional,4001,Apache County,AZ,"Apache County, AZ"
3.180970364,Arizona,Coconino County,Conventional,4005,Coconino County,AZ,"Coconino County, AZ"
3.387471561,Alabama,Colbert County,Conventional,1033,Colbert County,AL,"Colbert County, AL"
3.393037784,Alabama,Franklin County,Conventional,1059,Franklin County,AL,"Franklin County, AL"
3.384867081,Alabama,Lauderdale County,Conventional,1077,Lauderdale County,AL,"Lauderdale County, AL"
3.387795189,Alabama,Lawrence County,Conventional,1079,Lawrence County,AL,"Lawrence County, AL"
3.383896196,Alabama,Madison County,Conventional,1089,Madison County,AL,"Madison County, AL"
3.39579317,Alabama,Marion County,Conventional,1093,Marion County,AL,"Marion County, AL"
3.386045233,Alabama,Morgan County,Conventional,1103,Morgan County,AL,"Morgan County, AL"
3.391944176,Alabama,Winston County,Conventional,1133,Winston County,AL,"Winston County, AL"
3.388168816,Alabama,Blount County,Conventional,1009,Blount County,AL,"Blount County, AL"
3.385865237,Alabama,Calhoun County,Conventional,1015,Calhoun County,AL,"Calhoun County, AL"
3.37894632,Alabama,Cherokee County,Conventional,1019,Cherokee County,AL,"Cherokee County, AL"
3.386528857,Alabama,Cleburne County,Conventional,1029,Cleburne County,AL,"Cleburne County, AL"
3.389296969,Alabama,Cullman County,Conventional,1043,Cullman County,AL,"Cullman County, AL"
3.381998971,Alabama,Etowah County,Conventional,1055,Etowah County,AL,"Etowah County, AL"
3.37814634,Alabama,Jackson County,Conventional,1071,Jackson County,AL,"Jackson County, AL"
3.382142604,Alabama,Marshall County,Conventional,1095,Marshall County,AL,"Marshall County, AL"
3.397928571,Alabama,Bibb County,Conventional,1007,Bibb County,AL,"Bibb County, AL"
3.392285076,Alabama,Clay County,Conventional,1027,Clay County,AL,"Clay County, AL"
3.391649637,Alabama,Jefferson County,Conventional,1073,Jefferson County,AL,"Jefferson County, AL"
3.399953065,Alabama,Lamar County,Conventional,1075,Lamar County,AL,"Lamar County, AL"
3.394169574,Alabama,Lee County,Conventional,1081,Lee County,AL,"Lee County, AL"
3.404385681,Alabama,Pickens County,Conventional,1107,Pickens County,AL,"Pickens County, AL"
3.391952357,Alabama,Randolph County,Conventional,1111,Randolph County,AL,"Randolph County, AL"
3.39399776,Alabama,Shelby County,Conventional,1117,Shelby County,AL,"Shelby County, AL"
3.389615143,Alabama,Talladega County,Conventional,1121,Talladega County,AL,"Talladega County, AL"
