True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
1.845430774,Alabama,Lauderdale County,Conventional,1077,Lauderdale County,AL,"Lauderdale County, AL"
1.85466021,Alabama,Jackson County,Conventional,1071,Jackson County,AL,"Jackson County, AL"
1.851452117,Alabama,Marshall County,Conventional,1095,Marshall County,AL,"Marshall County, AL"
1.832252917,Alabama,Mobile County,Conventional,1097,Mobile County,AL,"Mobile County, AL"
1.844437266,Arkansas,Phillips County,Conventional,5107,Phillips County,AR,"Phillips County, AR"
2.038952793,California,Del Norte County,Conventional,6015,Del Norte County,CA,"Del Norte County, CA"
2.036435674,California,Humboldt County,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
2.025133317,California,Alameda County,Conventional,6001,Alameda County,CA,"Alameda County, CA"
2.027156883,California,Contra Costa County,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
2.025232028,California,Marin County,Conventional,6041,Marin County,CA,"Marin County, CA"
2.022961685,California,Monterey County,Conventional,6053,Monterey County,CA,"Monterey County, CA"
2.026811397,California,Napa County,Conventional,6055,Napa County,CA,"Napa County, CA"
2.01748325,California,San Luis Obispo County,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
2.026071068,California,San Mateo County,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
2.026613976,California,Sonoma County,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
2.034658885,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
2.032585963,California,Colusa County,Conventional,6011,Colusa County,CA,"Colusa County, CA"
2.028834963,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
2.027551726,California,Solano County,Conventional,6095,Solano County,CA,"Solano County, CA"
2.030266266,California,Yolo County,Conventional,6113,Yolo County,CA,"Yolo County, CA"
2.028686897,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
2.032240477,California,Stanislaus County,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
2.008648657,California,Los Angeles County,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
2.008944788,California,Orange County,Conventional,6059,Orange County,CA,"Orange County, CA"
2.005095077,California,San Diego County,Conventional,6073,San Diego County,CA,"San Diego County, CA"
2.013288052,California,Santa Barbara County,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
2.011906105,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
1.780429882,Delaware,Kent County,Conventional,10001,Kent County,DE,"Kent County, DE"
1.780084395,Delaware,Sussex County,Conventional,10005,Sussex County,DE,"Sussex County, DE"
1.827810942,Florida,Bay County,Conventional,12005,Bay County,FL,"Bay County, FL"
1.830574838,Florida,Escambia County,Conventional,12033,Escambia County,FL,"Escambia County, FL"
1.828551271,Florida,Franklin County,Conventional,12037,Franklin County,FL,"Franklin County, FL"
1.827218679,Florida,Gulf County,Conventional,12045,Gulf County,FL,"Gulf County, FL"
1.830870969,Florida,Okaloosa County,Conventional,12091,Okaloosa County,FL,"Okaloosa County, FL"
