True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
1.81539783,Alabama,Franklin County,Conventional,1059,Franklin County,AL,"Franklin County, AL"
1.813353548,Alabama,Lawrence County,Conventional,1079,Lawrence County,AL,"Lawrence County, AL"
1.811964961,Alabama,Limestone County,Conventional,1083,Limestone County,AL,"Limestone County, AL"
1.812022181,Alabama,Madison County,Conventional,1089,Madison County,AL,"Madison County, AL"
1.818701598,Alabama,Marion County,Conventional,1093,Marion County,AL,"Marion County, AL"
1.817343881,Alabama,Winston County,Conventional,1133,Winston County,AL,"Winston County, AL"
1.814791842,Alabama,Blount County,Conventional,1009,Blount County,AL,"Blount County, AL"
1.815498849,Alabama,Calhoun County,Conventional,1015,Calhoun County,AL,"Calhoun County, AL"
1.814493797,Alabama,Cleburne County,Conventional,1029,Cleburne County,AL,"Cleburne County, AL"
1.814251545,Alabama,Cullman County,Conventional,1043,Cullman County,AL,"Cullman County, AL"
1.811742321,Alabama,Etowah County,Conventional,1055,Etowah County,AL,"Etowah County, AL"
1.809919441,Alabama,Jackson County,Conventional,1071,Jackson County,AL,"Jackson County, AL"
1.815766432,Alabama,Bibb County,Conventional,1007,Bibb County,AL,"Bibb County, AL"
1.819787573,Alabama,Chambers County,Conventional,1017,Chambers County,AL,"Chambers County, AL"
1.816544959,Alabama,Chilton County,Conventional,1021,Chilton County,AL,"Chilton County, AL"
1.817922809,Alabama,Clay County,Conventional,1027,Clay County,AL,"Clay County, AL"
1.816248463,Alabama,Coosa County,Conventional,1037,Coosa County,AL,"Coosa County, AL"
1.817215879,Alabama,Fayette County,Conventional,1057,Fayette County,AL,"Fayette County, AL"
1.814639338,Alabama,Jefferson County,Conventional,1073,Jefferson County,AL,"Jefferson County, AL"
1.819363295,Alabama,Lamar County,Conventional,1075,Lamar County,AL,"Lamar County, AL"
1.819372358,Alabama,Lee County,Conventional,1081,Lee County,AL,"Lee County, AL"
1.820226497,Alabama,Pickens County,Conventional,1107,Pickens County,AL,"Pickens County, AL"
