True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
1.918144607,Alabama,Franklin County,Conventional,1059,Franklin County,AL,"Franklin County, AL"
1.909973904,Alabama,Lauderdale County,Conventional,1077,Lauderdale County,AL,"Lauderdale County, AL"
1.912902012,Alabama,Lawrence County,Conventional,1079,Lawrence County,AL,"Lawrence County, AL"
1.909003019,Alabama,Madison County,Conventional,1089,Madison County,AL,"Madison County, AL"
1.920899993,Alabama,Marion County,Conventional,1093,Marion County,AL,"Marion County, AL"
1.917050999,Alabama,Winston County,Conventional,1133,Winston County,AL,"Winston County, AL"
1.913275639,Alabama,Blount County,Conventional,1009,Blount County,AL,"Blount County, AL"
1.91097206,Alabama,Calhoun County,Conventional,1015,Calhoun County,AL,"Calhoun County, AL"
1.91163568,Alabama,Cleburne County,Conventional,1029,Cleburne County,AL,"Cleburne County, AL"
1.914403792,Alabama,Cullman County,Conventional,1043,Cullman County,AL,"Cullman County, AL"
1.907105794,Alabama,Etowah County,Conventional,1055,Etowah County,AL,"Etowah County, AL"
1.903253163,Alabama,Jackson County,Conventional,1071,Jackson County,AL,"Jackson County, AL"
1.907249427,Alabama,Marshall County,Conventional,1095,Marshall County,AL,"Marshall County, AL"
1.923035394,Alabama,Bibb County,Conventional,1007,Bibb County,AL,"Bibb County, AL"
1.918048246,Alabama,Chambers County,Conventional,1017,Chambers County,AL,"Chambers County, AL"
1.923667196,Alabama,Chilton County,Conventional,1021,Chilton County,AL,"Chilton County, AL"
1.917391899,Alabama,Clay County,Conventional,1027,Clay County,AL,"Clay County, AL"
1.920588182,Alabama,Coosa County,Conventional,1037,Coosa County,AL,"Coosa County, AL"
1.922639949,Alabama,Fayette County,Conventional,1057,Fayette County,AL,"Fayette County, AL"
1.91675646,Alabama,Jefferson County,Conventional,1073,Jefferson County,AL,"Jefferson County, AL"
1.925059888,Alabama,Lamar County,Conventional,1075,Lamar County,AL,"Lamar County, AL"
1.919276397,Alabama,Lee County,Conventional,1081,Lee County,AL,"Lee County, AL"
1.929492504,Alabama,Pickens County,Conventional,1107,Pickens County,AL,"Pickens County, AL"
1.91705918,Alabama,Randolph County,Conventional,1111,Randolph County,AL,"Randolph County, AL"
1.919104583,Alabama,Shelby County,Conventional,1117,Shelby County,AL,"Shelby County, AL"
1.914721966,Alabama,Talladega County,Conventional,1121,Talladega County,AL,"Talladega County, AL"
1.921879968,Alabama,Tallapoosa County,Conventional,1123,Tallapoosa County,AL,"Tallapoosa County, AL"
1.924937164,Alabama,Tuscaloosa County,Conventional,1125,Tuscaloosa County,AL,"Tuscaloosa County, AL"
1.919782748,Alabama,Walker County,Conventional,1127,Walker County,AL,"Walker County, AL"
1.927203471,Alabama,Autauga County,Conventional,1001,Autauga County,AL,"Autauga County, AL"
1.925895322,Alabama,Bullock County,Conventional,1011,Bullock County,AL,"Bullock County, AL"
1.930005218,Alabama,Dallas County,Conventional,1047,Dallas County,AL,"Dallas County, AL"
1.924143548,Alabama,Elmore County,Conventional,1051,Elmore County,AL,"Elmore County, AL"
1.928525256,Alabama,Greene County,Conventional,1063,Greene County,AL,"Greene County, AL"
1.928581618,Alabama,Hale County,Conventional,1065,Hale County,AL,"Hale County, AL"
1.933062414,Alabama,Lowndes County,Conventional,1085,Lowndes County,AL,"Lowndes County, AL"
1.922619949,Alabama,Macon County,Conventional,1087,Macon County,AL,"Macon County, AL"
1.934350564,Alabama,Marengo County,Conventional,1091,Marengo County,AL,"Marengo County, AL"
1.928180719,Alabama,Montgomery County,Conventional,1101,Montgomery County,AL,"Montgomery County, AL"
1.926676211,Alabama,Perry County,Conventional,1105,Perry County,AL,"Perry County, AL"
1.932298797,Alabama,Sumter County,Conventional,1119,Sumter County,AL,"Sumter County, AL"
1.938946812,Alabama,Choctaw County,Conventional,1023,Choctaw County,AL,"Choctaw County, AL"
1.939081354,Alabama,Clarke County,Conventional,1025,Clarke County,AL,"Clarke County, AL"
1.943755782,Alabama,Escambia County,Conventional,1053,Escambia County,AL,"Escambia County, AL"
1.952801009,Alabama,Mobile County,Conventional,1097,Mobile County,AL,"Mobile County, AL"
1.939385892,Alabama,Monroe County,Conventional,1099,Monroe County,AL,"Monroe County, AL"
1.946105723,Alabama,Washington County,Conventional,1129,Washington County,AL,"Washington County, AL"
1.934536923,Alabama,Wilcox County,Conventional,1131,Wilcox County,AL,"Wilcox County, AL"
1.928158901,Alabama,Barbour County,Conventional,1005,Barbour County,AL,"Barbour County, AL"
1.942375817,Alabama,Covington County,Conventional,1039,Covington County,AL,"Covington County, AL"
1.935706893,Alabama,Crenshaw County,Conventional,1041,Crenshaw County,AL,"Crenshaw County, AL"
1.934642375,Alabama,Dale County,Conventional,1045,Dale County,AL,"Dale County, AL"
1.935235996,Alabama,Houston County,Conventional,1069,Houston County,AL,"Houston County, AL"
1.922325411,Alabama,Russell County,Conventional,1113,Russell County,AL,"Russell County, AL"
2.079537824,Arizona,Apache County,Conventional,4001,Apache County,AZ,"Apache County, AZ"
2.107587119,Arizona,Coconino County,Conventional,4005,Coconino County,AZ,"Coconino County, AZ"
2.104619921,Arizona,Gila County,Conventional,4007,Gila County,AZ,"Gila County, AZ"
2.117705046,Arizona,Mohave County,Conventional,4015,Mohave County,AZ,"Mohave County, AZ"
2.086383106,Arizona,Navajo County,Conventional,4017,Navajo County,AZ,"Navajo County, AZ"
2.111598836,Arizona,Yavapai County,Conventional,4025,Yavapai County,AZ,"Yavapai County, AZ"
2.104143569,Arizona,Cochise County,Conventional,4003,Cochise County,AZ,"Cochise County, AZ"
2.100095489,Arizona,Graham County,Conventional,4009,Graham County,AZ,"Graham County, AZ"
2.092422955,Arizona,Greenlee County,Conventional,4011,Greenlee County,AZ,"Greenlee County, AZ"
2.117790499,Arizona,Pima County,Conventional,4019,Pima County,AZ,"Pima County, AZ"
2.107946201,Arizona,Pinal County,Conventional,4021,Pinal County,AZ,"Pinal County, AZ"
2.111831558,Arizona,Santa Cruz County,Conventional,4023,Santa Cruz County,AZ,"Santa Cruz County, AZ"
2.130761082,Arizona,Yuma County,Conventional,4027,Yuma County,AZ,"Yuma County, AZ"
1.947129333,Arkansas,Benton County,Conventional,5007,Benton County,AR,"Benton County, AR"
1.940415866,Arkansas,Boone County,Conventional,5009,Boone County,AR,"Boone County, AR"
1.941774014,Arkansas,Carroll County,Conventional,5015,Carroll County,AR,"Carroll County, AR"
1.945604826,Arkansas,Madison County,Conventional,5087,Madison County,AR,"Madison County, AR"
1.94392305,Arkansas,Newton County,Conventional,5101,Newton County,AR,"Newton County, AR"
1.952042846,Arkansas,Washington County,Conventional,5143,Washington County,AR,"Washington County, AR"
1.935381447,Arkansas,Baxter County,Conventional,5005,Baxter County,AR,"Baxter County, AR"
1.928405259,Arkansas,Fulton County,Conventional,5049,Fulton County,AR,"Fulton County, AR"
1.931838809,Arkansas,Izard County,Conventional,5065,Izard County,AR,"Izard County, AR"
1.938325009,Arkansas,Marion County,Conventional,5089,Marion County,AR,"Marion County, AR"
1.945140293,Arkansas,Searcy County,Conventional,5129,Searcy County,AR,"Searcy County, AR"
1.928747977,Arkansas,Sharp County,Conventional,5135,Sharp County,AR,"Sharp County, AR"
1.937648663,Arkansas,Stone County,Conventional,5137,Stone County,AR,"Stone County, AR"
1.945310288,Arkansas,Van Buren County,Conventional,5141,Van Buren County,AR,"Van Buren County, AR"
1.920686362,Arkansas,Clay County,Conventional,5021,Clay County,AR,"Clay County, AR"
1.923772648,Arkansas,Craighead County,Conventional,5031,Craighead County,AR,"Craighead County, AR"
