True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
11.17304395,Alabama,Lee County,Conventional,1081,Lee County,AL,"Lee County, AL"
11.51523252,Arizona,Coconino County,Conventional,4005,Coconino County,AZ,"Coconino County, AZ"
11.50984068,Arizona,Gila County,Conventional,4007,Gila County,AZ,"Gila County, AZ"
11.5336183,Arizona,Mohave County,Conventional,4015,Mohave County,AZ,"Mohave County, AZ"
11.47670168,Arizona,Navajo County,Conventional,4017,Navajo County,AZ,"Navajo County, AZ"
11.20230922,Arkansas,Baxter County,Conventional,5005,Baxter County,AR,"Baxter County, AR"
11.20763333,Arkansas,Cleburne County,Conventional,5023,Cleburne County,AR,"Cleburne County, AR"
11.18963244,Arkansas,Fulton County,Conventional,5049,Fulton County,AR,"Fulton County, AR"
11.24116053,Arkansas,Montgomery County,Conventional,5097,Montgomery County,AR,"Montgomery County, AR"
11.67781864,California,Humboldt County,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
11.65005165,California,Mendocino County,Conventional,6045,Mendocino County,CA,"Mendocino County, CA"
11.63350115,California,Shasta County,Conventional,6089,Shasta County,CA,"Shasta County, CA"
11.6465562,California,Siskiyou County,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
11.65227677,California,Trinity County,Conventional,6105,Trinity County,CA,"Trinity County, CA"
11.61097402,California,Lassen County,Conventional,6035,Lassen County,CA,"Lassen County, CA"
11.60415824,California,Plumas County,Conventional,6063,Plumas County,CA,"Plumas County, CA"
11.63480781,California,Napa County,Conventional,6055,Napa County,CA,"Napa County, CA"
11.64683373,California,Sonoma County,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
11.62364088,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
11.62098131,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
11.63427259,California,Tehama County,Conventional,6103,Tehama County,CA,"Tehama County, CA"
11.64444671,California,Fresno County,Conventional,6019,Fresno County,CA,"Fresno County, CA"
11.65177625,California,Merced County,Conventional,6047,Merced County,CA,"Merced County, CA"
11.63031791,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
11.61190735,California,Amador County,Conventional,6005,Amador County,CA,"Amador County, CA"
11.59356783,California,Inyo County,Conventional,6027,Inyo County,CA,"Inyo County, CA"
11.58446084,California,Mono County,Conventional,6051,Mono County,CA,"Mono County, CA"
11.61738014,California,Tuolumne County,Conventional,6109,Tuolumne County,CA,"Tuolumne County, CA"
11.57780529,California,San Bernardino County,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
11.62074839,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
11.37471595,Colorado,Chaffee County,Conventional,8015,Chaffee County,CO,"Chaffee County, CO"
11.39740826,Colorado,Gunnison County,Conventional,8051,Gunnison County,CO,"Gunnison County, CO"
11.36873603,Colorado,Lake County,Conventional,8065,Lake County,CO,"Lake County, CO"
11.37817835,Colorado,Routt County,Conventional,8107,Routt County,CO,"Routt County, CO"
11.3441787,Colorado,Boulder County,Conventional,8013,Boulder County,CO,"Boulder County, CO"
11.3438698,Colorado,Larimer County,Conventional,8069,Larimer County,CO,"Larimer County, CO"
11.40655489,Colorado,Delta County,Conventional,8029,Delta County,CO,"Delta County, CO"
11.39280108,Colorado,Garfield County,Conventional,8045,Garfield County,CO,"Garfield County, CO"
11.42179874,Colorado,La Plata County,Conventional,8067,La Plata County,CO,"La Plata County, CO"
11.42366044,Colorado,Montrose County,Conventional,8085,Montrose County,CO,"Montrose County, CO"
11.39001761,Colorado,Conejos County,Conventional,8021,Conejos County,CO,"Conejos County, CO"
11.39200816,Colorado,Rio Grande County,Conventional,8105,Rio Grande County,CO,"Rio Grande County, CO"
11.370008,Colorado,Fremont County,Conventional,8043,Fremont County,CO,"Fremont County, CO"
11.35580486,Colorado,Pueblo County,Conventional,8101,Pueblo County,CO,"Pueblo County, CO"
10.96510294,Delaware,New Castle County,Conventional,10003,New Castle County,DE,"New Castle County, DE"
11.2169848,Florida,Leon County,Conventional,12073,Leon County,FL,"Leon County, FL"
11.1375328,Georgia,Chattooga County,Conventional,13055,Chattooga County,GA,"Chattooga County, GA"
11.1440975,Georgia,Floyd County,Conventional,13115,Floyd County,GA,"Floyd County, GA"
11.13327582,Georgia,Walker County,Conventional,13295,Walker County,GA,"Walker County, GA"
11.1440182,Georgia,Cherokee County,Conventional,13057,Cherokee County,GA,"Cherokee County, GA"
11.1266054,Georgia,Fannin County,Conventional,13111,Fannin County,GA,"Fannin County, GA"
11.14038565,Georgia,Forsyth County,Conventional,13117,Forsyth County,GA,"Forsyth County, GA"
11.12694404,Georgia,Union County,Conventional,13291,Union County,GA,"Union County, GA"
11.11815257,Georgia,Rabun County,Conventional,13241,Rabun County,GA,"Rabun County, GA"
11.15910677,Georgia,Pike County,Conventional,13231,Pike County,GA,"Pike County, GA"
11.55103771,Idaho,Bonner County,Conventional,16017,Bonner County,ID,"Bonner County, ID"
11.5624326,Idaho,Clearwater County,Conventional,16035,Clearwater County,ID,"Clearwater County, ID"
11.54512717,Idaho,Kootenai County,Conventional,16055,Kootenai County,ID,"Kootenai County, ID"
