True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
10.94610397,Alabama,Lee County,Conventional,1081,Lee County,AL,"Lee County, AL"
10.99814665,Arizona,Coconino County,Conventional,4005,Coconino County,AZ,"Coconino County, AZ"
11.00365299,Arizona,Mohave County,Conventional,4015,Mohave County,AZ,"Mohave County, AZ"
10.99417513,Arizona,Navajo County,Conventional,4017,Navajo County,AZ,"Navajo County, AZ"
10.94261847,Arkansas,Fulton County,Conventional,5049,Fulton County,AR,"Fulton County, AR"
11.05151205,California,Shasta County,Conventional,6089,Shasta County,CA,"Shasta County, CA"
11.04807136,California,Siskiyou County,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
11.02256493,California,Lassen County,Conventional,6035,Lassen County,CA,"Lassen County, CA"
11.01978309,California,Plumas County,Conventional,6063,Plumas County,CA,"Plumas County, CA"
11.02267169,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
11.02701274,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
11.02821803,California,Tehama County,Conventional,6103,Tehama County,CA,"Tehama County, CA"
11.02749919,California,Fresno County,Conventional,6019,Fresno County,CA,"Fresno County, CA"
11.03022572,California,Merced County,Conventional,6047,Merced County,CA,"Merced County, CA"
11.02867621,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
11.0288073,California,Amador County,Conventional,6005,Amador County,CA,"Amador County, CA"
11.01355221,California,San Bernardino County,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
11.02677867,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
10.98764409,Colorado,Gunnison County,Conventional,8051,Gunnison County,CO,"Gunnison County, CO"
10.97992163,Colorado,Routt County,Conventional,8107,Routt County,CO,"Routt County, CO"
10.97207693,Colorado,Boulder County,Conventional,8013,Boulder County,CO,"Boulder County, CO"
10.97171053,Colorado,Larimer County,Conventional,8069,Larimer County,CO,"Larimer County, CO"
10.98615926,Colorado,Delta County,Conventional,8029,Delta County,CO,"Delta County, CO"
10.9806633,Colorado,Garfield County,Conventional,8045,Garfield County,CO,"Garfield County, CO"
10.98636873,Colorado,Montrose County,Conventional,8085,Montrose County,CO,"Montrose County, CO"
10.97996865,Colorado,Pueblo County,Conventional,8101,Pueblo County,CO,"Pueblo County, CO"
10.91404148,Delaware,New Castle County,Conventional,10003,New Castle County,DE,"New Castle County, DE"
10.95923027,Florida,Leon County,Conventional,12073,Leon County,FL,"Leon County, FL"
10.93775388,Georgia,Floyd County,Conventional,13115,Floyd County,GA,"Floyd County, GA"
11.01442049,Idaho,Bonner County,Conventional,16017,Bonner County,ID,"Bonner County, ID"
11.01704698,Idaho,Kootenai County,Conventional,16055,Kootenai County,ID,"Kootenai County, ID"
11.0418803,Idaho,Canyon County,Conventional,16027,Canyon County,ID,"Canyon County, ID"
11.03438296,Idaho,Blaine County,Conventional,16013,Blaine County,ID,"Blaine County, ID"
11.03630438,Idaho,Gooding County,Conventional,16047,Gooding County,ID,"Gooding County, ID"
11.03157172,Idaho,Bannock County,Conventional,16005,Bannock County,ID,"Bannock County, ID"
10.9922298,Idaho,Caribou County,Conventional,16029,Caribou County,ID,"Caribou County, ID"
11.0368149,Idaho,Franklin County,Conventional,16041,Franklin County,ID,"Franklin County, ID"
11.03159942,Idaho,Power County,Conventional,16077,Power County,ID,"Power County, ID"
10.93182657,Illinois,Mason County,Conventional,17125,Mason County,IL,"Mason County, IL"
10.91932854,Indiana,St. Joseph County,Conventional,18141,St. Joseph County,IN,"St. Joseph County, IN"
10.91652875,Indiana,Noble County,Conventional,18113,Noble County,IN,"Noble County, IN"
10.92184304,Indiana,Bartholomew County,Conventional,18005,Bartholomew County,IN,"Bartholomew County, IN"
10.92620679,Indiana,Daviess County,Conventional,18027,Daviess County,IN,"Daviess County, IN"
10.93451006,Iowa,Clayton County,Conventional,19043,Clayton County,IA,"Clayton County, IA"
10.934198,Iowa,Delaware County,Conventional,19055,Delaware County,IA,"Delaware County, IA"
10.93693898,Iowa,Winneshiek County,Conventional,19191,Winneshiek County,IA,"Winneshiek County, IA"
