True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
1.139491766,Alabama,Marshall County,Conventional,1095,Marshall County,AL,"Marshall County, AL"
1.13416364,Alabama,Colbert County,Conventional,1033,Colbert County,AL,"Colbert County, AL"
1.132649331,Alabama,Lauderdale County,Conventional,1077,Lauderdale County,AL,"Lauderdale County, AL"
1.112842093,California,Marin County,Conventional,6041,Marin County,CA,"Marin County, CA"
1.114412488,California,Sonoma County,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
1.12557351,California,Humboldt County,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
1.12355443,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
1.116936337,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
1.116768081,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
1.120806239,California,Stanislaus County,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
1.089959195,California,San Diego County,Conventional,6073,San Diego County,CA,"San Diego County, CA"
1.097698998,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.808803063,Connecticut,Capitol County,Conventional,9110,Capitol County,CT,"Capitol County, CT"
0.805269674,Connecticut,South Central Connecticut County,Conventional,9170,South Central Connecticut County,CT,"South Central Connecticut County, CT"
0.807569181,Connecticut,Southeastern Connecticut County,Conventional,9180,Southeastern Connecticut County,CT,"Southeastern Connecticut County, CT"
0.808803063,Connecticut,Capitol County,Conventional,9110,Capitol County,CT,"Capitol County, CT"
0.829332345,Delaware,Kent County,Conventional,10001,Kent County,DE,"Kent County, DE"
0.830846655,Delaware,New Castle County,Conventional,10003,New Castle County,DE,"New Castle County, DE"
0.828939746,Delaware,Sussex County,Conventional,10005,Sussex County,DE,"Sussex County, DE"
1.111325068,Florida,Clay County,Conventional,12019,Clay County,FL,"Clay County, FL"
1.126243821,Florida,Hillsborough County,Conventional,12057,Hillsborough County,FL,"Hillsborough County, FL"
1.118560102,Florida,Lake County,Conventional,12069,Lake County,FL,"Lake County, FL"
1.117157964,Florida,Marion County,Conventional,12083,Marion County,FL,"Marion County, FL"
1.117418602,Florida,Seminole County,Conventional,12117,Seminole County,FL,"Seminole County, FL"
1.112110266,Florida,Volusia County,Conventional,12127,Volusia County,FL,"Volusia County, FL"
1.107903851,Florida,Nassau County,Conventional,12089,Nassau County,FL,"Nassau County, FL"
1.138919152,Florida,Escambia County,Conventional,12033,Escambia County,FL,"Escambia County, FL"
1.139255665,Florida,Okaloosa County,Conventional,12091,Okaloosa County,FL,"Okaloosa County, FL"
1.126211711,Florida,Broward County,Conventional,12011,Broward County,FL,"Broward County, FL"
1.125209417,Florida,Lee County,Conventional,12071,Lee County,FL,"Lee County, FL"
1.122727877,Florida,Martin County,Conventional,12085,Martin County,FL,"Martin County, FL"
1.124513036,Florida,Palm Beach County,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
1.292535049,Idaho,Nez Perce County,Conventional,16069,Nez Perce County,ID,"Nez Perce County, ID"
1.07634323,Illinois,Tazewell County,Conventional,17179,Tazewell County,IL,"Tazewell County, IL"
1.062994872,Illinois,Cook County,Conventional,17031,Cook County,IL,"Cook County, IL"
1.079259677,Illinois,Will County,Conventional,17197,Will County,IL,"Will County, IL"
1.15534881,Illinois,Jackson County,Conventional,17077,Jackson County,IL,"Jackson County, IL"
1.169089767,Illinois,Adams County,Conventional,17001,Adams County,IL,"Adams County, IL"
1.161518219,Illinois,Madison County,Conventional,17119,Madison County,IL,"Madison County, IL"
1.070566419,Illinois,Pike County,Conventional,17149,Pike County,IL,"Pike County, IL"
0.822022572,Indiana,Lake County,Conventional,18089,Lake County,IN,"Lake County, IN"
0.86313327,Indiana,Perry County,Conventional,18123,Perry County,IN,"Perry County, IN"
1.097374291,Iowa,Clinton County,Conventional,19045,Clinton County,IA,"Clinton County, IA"
1.100795509,Iowa,Dubuque County,Conventional,19061,Dubuque County,IA,"Dubuque County, IA"
1.088681033,Iowa,Lee County,Conventional,19111,Lee County,IA,"Lee County, IA"
1.11296607,Iowa,Pottawattamie County,Conventional,19155,Pottawattamie County,IA,"Pottawattamie County, IA"
1.112523327,Kansas,Leavenworth County,Conventional,20103,Leavenworth County,KS,"Leavenworth County, KS"
1.316049136,Kentucky,Laurel County,Conventional,21125,Laurel County,KY,"Laurel County, KY"
1.285089921,Kentucky,Daviess County,Conventional,21059,Daviess County,KY,"Daviess County, KY"
0.819339845,Maine,Penobscot County,Conventional,23019,Penobscot County,ME,"Penobscot County, ME"
0.817881621,Maine,Waldo County,Conventional,23027,Waldo County,ME,"Waldo County, ME"
0.8245558,Maine,Aroostook County,Conventional,23003,Aroostook County,ME,"Aroostook County, ME"
0.814516489,Maine,Cumberland County,Conventional,23005,Cumberland County,ME,"Cumberland County, ME"
0.817096424,Maine,Kennebec County,Conventional,23011,Kennebec County,ME,"Kennebec County, ME"
0.816872082,Maine,Knox County,Conventional,23013,Knox County,ME,"Knox County, ME"
0.815189516,Maine,Lincoln County,Conventional,23015,Lincoln County,ME,"Lincoln County, ME"
0.815582114,Maine,Sagadahoc County,Conventional,23023,Sagadahoc County,ME,"Sagadahoc County, ME"
0.812553495,Maine,York County,Conventional,23031,York County,ME,"York County, ME"
0.839149993,Maryland,Baltimore County,Conventional,24005,Baltimore County,MD,"Baltimore County, MD"
0.839374335,Maryland,Harford County,Conventional,24025,Harford County,MD,"Harford County, MD"
0.837972197,Maryland,Anne Arundel County,Conventional,24003,Anne Arundel County,MD,"Anne Arundel County, MD"
0.837243085,Maryland,Charles County,Conventional,24017,Charles County,MD,"Charles County, MD"
0.838252624,Maryland,Cecil County,Conventional,24015,Cecil County,MD,"Cecil County, MD"
0.839823019,Maryland,Kent County,Conventional,24029,Kent County,MD,"Kent County, MD"
0.838140453,Maryland,Talbot County,Conventional,24041,Talbot County,MD,"Talbot County, MD"
0.828328748,Massachusetts,Bristol County,Conventional,25005,Bristol County,MA,"Bristol County, MA"
0.833937301,Massachusetts,Essex County,Conventional,25009,Essex County,MA,"Essex County, MA"
0.831525623,Massachusetts,Plymouth County,Conventional,25023,Plymouth County,MA,"Plymouth County, MA"
0.782037366,Michigan,Huron County,Conventional,26063,Huron County,MI,"Huron County, MI"
0.784056445,Michigan,Saginaw County,Conventional,26145,Saginaw County,MI,"Saginaw County, MI"
0.783607761,Michigan,Sanilac County,Conventional,26151,Sanilac County,MI,"Sanilac County, MI"
0.77783095,Michigan,Alpena County,Conventional,26007,Alpena County,MI,"Alpena County, MI"
0.779569602,Michigan,Iosco County,Conventional,26069,Iosco County,MI,"Iosco County, MI"
0.77783095,Michigan,Presque Isle County,Conventional,26141,Presque Isle County,MI,"Presque Isle County, MI"
0.780747398,Michigan,Emmet County,Conventional,26047,Emmet County,MI,"Emmet County, MI"
0.789160229,Michigan,Manistee County,Conventional,26101,Manistee County,MI,"Manistee County, MI"
0.788150689,Michigan,Macomb County,Conventional,26099,Macomb County,MI,"Macomb County, MI"
0.792693617,Michigan,Oakland County,Conventional,26125,Oakland County,MI,"Oakland County, MI"
0.786308422,Michigan,Wayne County,Conventional,26163,Wayne County,MI,"Wayne County, MI"
0.795497894,Michigan,Allegan County,Conventional,26005,Allegan County,MI,"Allegan County, MI"
0.796227006,Michigan,Berrien County,Conventional,26021,Berrien County,MI,"Berrien County, MI"
0.79403967,Michigan,Ottawa County,Conventional,26139,Ottawa County,MI,"Ottawa County, MI"
0.794880953,Michigan,Van Buren County,Conventional,26159,Van Buren County,MI,"Van Buren County, MI"
0.787141149,Michigan,Alger County,Conventional,26003,Alger County,MI,"Alger County, MI"
0.78198128,Michigan,Chippewa County,Conventional,26033,Chippewa County,MI,"Chippewa County, MI"
0.787982432,Michigan,Delta County,Conventional,26041,Delta County,MI,"Delta County, MI"
0.794376183,Michigan,Houghton County,Conventional,26061,Houghton County,MI,"Houghton County, MI"
0.79089888,Michigan,Marquette County,Conventional,26103,Marquette County,MI,"Marquette County, MI"
0.789440656,Michigan,Menominee County,Conventional,26109,Menominee County,MI,"Menominee County, MI"
0.790450196,Michigan,Mason County,Conventional,26105,Mason County,MI,"Mason County, MI"
0.793310558,Michigan,Muskegon County,Conventional,26121,Muskegon County,MI,"Muskegon County, MI"
0.791067137,Michigan,Oceana County,Conventional,26127,Oceana County,MI,"Oceana County, MI"
