True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
1.111656522,Alabama,Baldwin County,Conventional,1003,Baldwin County,AL,"Baldwin County, AL"
1.109264721,Alabama,Escambia County,Conventional,1053,Escambia County,AL,"Escambia County, AL"
1.09863578,Alabama,Calhoun County,Conventional,1015,Calhoun County,AL,"Calhoun County, AL"
1.097493675,Alabama,Cleburne County,Conventional,1029,Cleburne County,AL,"Cleburne County, AL"
1.097218389,Alabama,Cullman County,Conventional,1043,Cullman County,AL,"Cullman County, AL"
1.098075914,Alabama,Colbert County,Conventional,1033,Colbert County,AL,"Colbert County, AL"
1.10350933,Alabama,Chambers County,Conventional,1017,Chambers County,AL,"Chambers County, AL"
1.099824541,Alabama,Chilton County,Conventional,1021,Chilton County,AL,"Chilton County, AL"
1.101217549,Alabama,Tallapoosa County,Conventional,1123,Tallapoosa County,AL,"Tallapoosa County, AL"
1.119351893,Arizona,Apache County,Conventional,4001,Apache County,AZ,"Apache County, AZ"
1.127221119,Arizona,Coconino County,Conventional,4005,Coconino County,AZ,"Coconino County, AZ"
1.133478323,Arizona,Mohave County,Conventional,4015,Mohave County,AZ,"Mohave County, AZ"
1.122708037,Arizona,Navajo County,Conventional,4017,Navajo County,AZ,"Navajo County, AZ"
1.133217227,Arizona,Yavapai County,Conventional,4025,Yavapai County,AZ,"Yavapai County, AZ"
1.13935428,Arizona,Maricopa County,Conventional,4013,Maricopa County,AZ,"Maricopa County, AZ"
1.13309861,Arizona,Pima County,Conventional,4019,Pima County,AZ,"Pima County, AZ"
1.134629777,Arizona,Santa Cruz County,Conventional,4023,Santa Cruz County,AZ,"Santa Cruz County, AZ"
1.123515166,Arkansas,Faulkner County,Conventional,5045,Faulkner County,AR,"Faulkner County, AR"
1.116738417,Arkansas,Randolph County,Conventional,5121,Randolph County,AR,"Randolph County, AR"
1.132458301,Arkansas,Benton County,Conventional,5007,Benton County,AR,"Benton County, AR"
1.126707896,Arkansas,Desha County,Conventional,5041,Desha County,AR,"Desha County, AR"
1.143463665,Arkansas,Sevier County,Conventional,5133,Sevier County,AR,"Sevier County, AR"
0.977630887,California,Santa Clara County,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.965798106,California,Lassen County,Conventional,6035,Lassen County,CA,"Lassen County, CA"
0.993458237,California,Modoc County,Conventional,6049,Modoc County,CA,"Modoc County, CA"
0.965919427,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
0.970852438,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.968621644,California,Sutter County,Conventional,6101,Sutter County,CA,"Sutter County, CA"
0.971405215,California,Fresno County,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.964733978,California,Kern County,Conventional,6029,Kern County,CA,"Kern County, CA"
0.969401693,California,Kings County,Conventional,6031,Kings County,CA,"Kings County, CA"
0.972944172,California,Madera County,Conventional,6039,Madera County,CA,"Madera County, CA"
0.97450355,California,Merced County,Conventional,6047,Merced County,CA,"Merced County, CA"
0.972742744,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.976236747,California,Stanislaus County,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.968587478,California,Tulare County,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.972891702,California,Amador County,Conventional,6005,Amador County,CA,"Amador County, CA"
0.962912481,California,Nevada County,Conventional,6057,Nevada County,CA,"Nevada County, CA"
0.963363654,California,Placer County,Conventional,6061,Placer County,CA,"Placer County, CA"
0.998692554,California,Shasta County,Conventional,6089,Shasta County,CA,"Shasta County, CA"
0.994782686,California,Siskiyou County,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
0.958309474,California,Imperial County,Conventional,6025,Imperial County,CA,"Imperial County, CA"
0.961691353,California,Riverside County,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.955556371,California,San Bernardino County,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
0.972132728,California,San Diego County,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.970586448,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.995062248,Colorado,Arapahoe County,Conventional,8005,Arapahoe County,CO,"Arapahoe County, CO"
0.995801228,Colorado,Douglas County,Conventional,8035,Douglas County,CO,"Douglas County, CO"
1.003284007,Colorado,El Paso County,Conventional,8041,El Paso County,CO,"El Paso County, CO"
0.993167238,Colorado,Elbert County,Conventional,8039,Elbert County,CO,"Elbert County, CO"
0.995159732,Colorado,Boulder County,Conventional,8013,Boulder County,CO,"Boulder County, CO"
0.994743366,Colorado,Larimer County,Conventional,8069,Larimer County,CO,"Larimer County, CO"
0.986999207,Colorado,Logan County,Conventional,8075,Logan County,CO,"Logan County, CO"
0.989761146,Colorado,Morgan County,Conventional,8087,Morgan County,CO,"Morgan County, CO"
0.995669627,Colorado,Weld County,Conventional,8123,Weld County,CO,"Weld County, CO"
1.004074163,Colorado,Routt County,Conventional,8107,Routt County,CO,"Routt County, CO"
1.000786243,Colorado,Las Animas County,Conventional,8071,Las Animas County,CO,"Las Animas County, CO"
0.998644232,Colorado,Otero County,Conventional,8089,Otero County,CO,"Otero County, CO"
1.011162374,Colorado,Delta County,Conventional,8029,Delta County,CO,"Delta County, CO"
1.004916969,Colorado,Garfield County,Conventional,8045,Garfield County,CO,"Garfield County, CO"
1.008509229,Colorado,Mesa County,Conventional,8077,Mesa County,CO,"Mesa County, CO"
0.839129969,Delaware,Kent County,Conventional,10001,Kent County,DE,"Kent County, DE"
0.837150513,Delaware,New Castle County,Conventional,10003,New Castle County,DE,"New Castle County, DE"
0.840963246,Delaware,Sussex County,Conventional,10005,Sussex County,DE,"Sussex County, DE"
1.13682954,Florida,Alachua County,Conventional,12001,Alachua County,FL,"Alachua County, FL"
1.135306755,Florida,Clay County,Conventional,12019,Clay County,FL,"Clay County, FL"
1.145975246,Florida,Hernando County,Conventional,12053,Hernando County,FL,"Hernando County, FL"
1.142958215,Florida,Hillsborough County,Conventional,12057,Hillsborough County,FL,"Hillsborough County, FL"
1.137618057,Florida,Marion County,Conventional,12083,Marion County,FL,"Marion County, FL"
1.14100119,Florida,Orange County,Conventional,12095,Orange County,FL,"Orange County, FL"
1.141808802,Florida,Osceola County,Conventional,12097,Osceola County,FL,"Osceola County, FL"
1.144495851,Florida,Pasco County,Conventional,12101,Pasco County,FL,"Pasco County, FL"
1.143454625,Florida,Polk County,Conventional,12105,Polk County,FL,"Polk County, FL"
1.139997422,Florida,Seminole County,Conventional,12117,Seminole County,FL,"Seminole County, FL"
1.139076584,Florida,Volusia County,Conventional,12127,Volusia County,FL,"Volusia County, FL"
1.135598187,Florida,Columbia County,Conventional,12023,Columbia County,FL,"Columbia County, FL"
1.132357422,Florida,Nassau County,Conventional,12089,Nassau County,FL,"Nassau County, FL"
1.136688554,Florida,Suwannee County,Conventional,12121,Suwannee County,FL,"Suwannee County, FL"
1.13430176,Florida,Escambia County,Conventional,12033,Escambia County,FL,"Escambia County, FL"
1.138990017,Florida,Gadsden County,Conventional,12039,Gadsden County,FL,"Gadsden County, FL"
1.143226486,Florida,Holmes County,Conventional,12059,Holmes County,FL,"Holmes County, FL"
1.137660598,Florida,Okaloosa County,Conventional,12091,Okaloosa County,FL,"Okaloosa County, FL"
1.136474089,Florida,Santa Rosa County,Conventional,12113,Santa Rosa County,FL,"Santa Rosa County, FL"
1.139411569,Florida,Walton County,Conventional,12131,Walton County,FL,"Walton County, FL"
1.152964649,Florida,Broward County,Conventional,12011,Broward County,FL,"Broward County, FL"
1.144594357,Florida,Hardee County,Conventional,12049,Hardee County,FL,"Hardee County, FL"
1.149023824,Florida,Martin County,Conventional,12085,Martin County,FL,"Martin County, FL"
1.147461579,Florida,Okeechobee County,Conventional,12093,Okeechobee County,FL,"Okeechobee County, FL"
1.149784721,Florida,Palm Beach County,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
0.976230379,Georgia,Jasper County,Conventional,13159,Jasper County,GA,"Jasper County, GA"
0.973066003,Georgia,Morgan County,Conventional,13211,Morgan County,GA,"Morgan County, GA"
0.978446506,Georgia,Putnam County,Conventional,13237,Putnam County,GA,"Putnam County, GA"
0.975636928,Georgia,Wilkinson County,Conventional,13319,Wilkinson County,GA,"Wilkinson County, GA"
0.978733791,Georgia,Burke County,Conventional,13033,Burke County,GA,"Burke County, GA"
0.974954794,Georgia,Effingham County,Conventional,13103,Effingham County,GA,"Effingham County, GA"
0.980595909,Georgia,Glascock County,Conventional,13125,Glascock County,GA,"Glascock County, GA"
0.972001631,Georgia,Hall County,Conventional,13139,Hall County,GA,"Hall County, GA"
0.974620334,Georgia,Jackson County,Conventional,13157,Jackson County,GA,"Jackson County, GA"
0.973420038,Georgia,Banks County,Conventional,13011,Banks County,GA,"Banks County, GA"
0.971794947,Georgia,Elbert County,Conventional,13105,Elbert County,GA,"Elbert County, GA"
0.971895435,Georgia,Habersham County,Conventional,13137,Habersham County,GA,"Habersham County, GA"
0.971430411,Georgia,Stephens County,Conventional,13257,Stephens County,GA,"Stephens County, GA"
0.966794657,Georgia,Bartow County,Conventional,13015,Bartow County,GA,"Bartow County, GA"
0.963714186,Georgia,Catoosa County,Conventional,13047,Catoosa County,GA,"Catoosa County, GA"
0.966636854,Georgia,Floyd County,Conventional,13115,Floyd County,GA,"Floyd County, GA"
