True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
1.252614525,Alabama,Baldwin County,Conventional,1003,Baldwin County,AL,"Baldwin County, AL"
1.244382294,Alabama,Escambia County,Conventional,1053,Escambia County,AL,"Escambia County, AL"
1.207128065,Alabama,Calhoun County,Conventional,1015,Calhoun County,AL,"Calhoun County, AL"
1.207882179,Alabama,Cleburne County,Conventional,1029,Cleburne County,AL,"Cleburne County, AL"
1.211027761,Alabama,Cullman County,Conventional,1043,Cullman County,AL,"Cullman County, AL"
1.2028978,Alabama,Marshall County,Conventional,1095,Marshall County,AL,"Marshall County, AL"
1.208953433,Alabama,Colbert County,Conventional,1033,Colbert County,AL,"Colbert County, AL"
1.205993796,Alabama,Lauderdale County,Conventional,1077,Lauderdale County,AL,"Lauderdale County, AL"
1.215169185,Alabama,Chambers County,Conventional,1017,Chambers County,AL,"Chambers County, AL"
1.221554356,Alabama,Chilton County,Conventional,1021,Chilton County,AL,"Chilton County, AL"
1.219523415,Alabama,Tallapoosa County,Conventional,1123,Tallapoosa County,AL,"Tallapoosa County, AL"
1.363724288,Arizona,Apache County,Conventional,4001,Apache County,AZ,"Apache County, AZ"
1.395598487,Arizona,Coconino County,Conventional,4005,Coconino County,AZ,"Coconino County, AZ"
1.392226671,Arizona,Gila County,Conventional,4007,Gila County,AZ,"Gila County, AZ"
1.407096132,Arizona,Mohave County,Conventional,4015,Mohave County,AZ,"Mohave County, AZ"
1.371503019,Arizona,Navajo County,Conventional,4017,Navajo County,AZ,"Navajo County, AZ"
1.400157257,Arizona,Yavapai County,Conventional,4025,Yavapai County,AZ,"Yavapai County, AZ"
1.387085272,Arizona,Graham County,Conventional,4009,Graham County,AZ,"Graham County, AZ"
1.404417481,Arizona,Maricopa County,Conventional,4013,Maricopa County,AZ,"Maricopa County, AZ"
1.407193237,Arizona,Pima County,Conventional,4019,Pima County,AZ,"Pima County, AZ"
1.400421713,Arizona,Santa Cruz County,Conventional,4023,Santa Cruz County,AZ,"Santa Cruz County, AZ"
1.26406388,Arkansas,Faulkner County,Conventional,5045,Faulkner County,AR,"Faulkner County, AR"
1.25747417,Arkansas,Marion County,Conventional,5089,Marion County,AR,"Marion County, AR"
1.240888843,Arkansas,Randolph County,Conventional,5121,Randolph County,AR,"Randolph County, AR"
1.267479084,Arkansas,Benton County,Conventional,5007,Benton County,AR,"Benton County, AR"
1.261393493,Arkansas,Carroll County,Conventional,5015,Carroll County,AR,"Carroll County, AR"
1.265746689,Arkansas,Madison County,Conventional,5087,Madison County,AR,"Madison County, AR"
1.273062621,Arkansas,Washington County,Conventional,5143,Washington County,AR,"Washington County, AR"
1.266295229,Arkansas,Desha County,Conventional,5041,Desha County,AR,"Desha County, AR"
1.288265751,Arkansas,Sevier County,Conventional,5133,Sevier County,AR,"Sevier County, AR"
1.283468876,California,Lake County,Conventional,6033,Lake County,CA,"Lake County, CA"
1.28552151,California,Marin County,Conventional,6041,Marin County,CA,"Marin County, CA"
1.292209359,California,Santa Clara County,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
1.288724942,California,Sonoma County,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
1.266299886,California,Lassen County,Conventional,6035,Lassen County,CA,"Lassen County, CA"
1.260755604,California,Modoc County,Conventional,6049,Modoc County,CA,"Modoc County, CA"
1.308101521,California,Humboldt County,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
1.290737288,California,Mendocino County,Conventional,6045,Mendocino County,CA,"Mendocino County, CA"
1.274221174,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
1.27955885,California,Glenn County,Conventional,6021,Glenn County,CA,"Glenn County, CA"
1.272557993,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
1.270873118,California,Sutter County,Conventional,6101,Sutter County,CA,"Sutter County, CA"
1.287232211,California,Fresno County,Conventional,6019,Fresno County,CA,"Fresno County, CA"
1.266576738,California,Kern County,Conventional,6029,Kern County,CA,"Kern County, CA"
1.282029862,California,Kings County,Conventional,6031,Kings County,CA,"Kings County, CA"
1.273236695,California,Madera County,Conventional,6039,Madera County,CA,"Madera County, CA"
1.291815774,California,Merced County,Conventional,6047,Merced County,CA,"Merced County, CA"
1.278396689,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
1.283426522,California,Stanislaus County,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
1.280827413,California,Tulare County,Conventional,6107,Tulare County,CA,"Tulare County, CA"
1.266883549,California,Amador County,Conventional,6005,Amador County,CA,"Amador County, CA"
1.270572506,California,Calaveras County,Conventional,6009,Calaveras County,CA,"Calaveras County, CA"
1.263713174,California,El Dorado County,Conventional,6017,El Dorado County,CA,"El Dorado County, CA"
1.260028349,California,Nevada County,Conventional,6057,Nevada County,CA,"Nevada County, CA"
1.26889073,California,Placer County,Conventional,6061,Placer County,CA,"Placer County, CA"
1.280387342,California,Shasta County,Conventional,6089,Shasta County,CA,"Shasta County, CA"
1.288551393,California,Siskiyou County,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
1.292128782,California,Trinity County,Conventional,6105,Trinity County,CA,"Trinity County, CA"
1.248694956,California,Imperial County,Conventional,6025,Imperial County,CA,"Imperial County, CA"
1.248698056,California,Riverside County,Conventional,6065,Riverside County,CA,"Riverside County, CA"
1.245557639,California,San Bernardino County,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
1.264557161,California,San Diego County,Conventional,6073,San Diego County,CA,"San Diego County, CA"
1.272412336,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
