True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
5.163884254,Alabama,Lauderdale County,Conventional,1077,Lauderdale County,AL,"Lauderdale County, AL"
5.17311369,Alabama,Jackson County,Conventional,1071,Jackson County,AL,"Jackson County, AL"
5.169905597,Alabama,Marshall County,Conventional,1095,Marshall County,AL,"Marshall County, AL"
5.150706397,Alabama,Mobile County,Conventional,1097,Mobile County,AL,"Mobile County, AL"
5.162890746,Arkansas,Phillips County,Conventional,5107,Phillips County,AR,"Phillips County, AR"
5.357406273,California,Del Norte County,Conventional,6015,Del Norte County,CA,"Del Norte County, CA"
5.354889154,California,Humboldt County,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
5.343586797,California,Alameda County,Conventional,6001,Alameda County,CA,"Alameda County, CA"
5.345610363,California,Contra Costa County,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
5.343685508,California,Marin County,Conventional,6041,Marin County,CA,"Marin County, CA"
5.341415165,California,Monterey County,Conventional,6053,Monterey County,CA,"Monterey County, CA"
5.345264877,California,Napa County,Conventional,6055,Napa County,CA,"Napa County, CA"
5.33593673,California,San Luis Obispo County,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
5.344524548,California,San Mateo County,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
5.345067456,California,Sonoma County,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
5.353112365,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
5.351039443,California,Colusa County,Conventional,6011,Colusa County,CA,"Colusa County, CA"
5.347288443,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
5.346005206,California,Solano County,Conventional,6095,Solano County,CA,"Solano County, CA"
5.348719746,California,Yolo County,Conventional,6113,Yolo County,CA,"Yolo County, CA"
5.347140377,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
5.350693957,California,Stanislaus County,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
5.327102137,California,Los Angeles County,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
5.327398268,California,Orange County,Conventional,6059,Orange County,CA,"Orange County, CA"
5.323548557,California,San Diego County,Conventional,6073,San Diego County,CA,"San Diego County, CA"
5.331741532,California,Santa Barbara County,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
5.330359585,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
5.096464954,Connecticut,Western Connecticut County,Conventional,9190,Western Connecticut County,CT,"Western Connecticut County, CT"
5.100117244,Connecticut,Capitol County,Conventional,9110,Capitol County,CT,"Capitol County, CT"
5.097007862,Connecticut,South Central Connecticut County,Conventional,9170,South Central Connecticut County,CT,"South Central Connecticut County, CT"
5.100117244,Connecticut,Capitol County,Conventional,9110,Capitol County,CT,"Capitol County, CT"
5.098883362,Delaware,Kent County,Conventional,10001,Kent County,DE,"Kent County, DE"
5.098537875,Delaware,Sussex County,Conventional,10005,Sussex County,DE,"Sussex County, DE"
5.146264422,Florida,Bay County,Conventional,12005,Bay County,FL,"Bay County, FL"
5.149028318,Florida,Escambia County,Conventional,12033,Escambia County,FL,"Escambia County, FL"
5.147004751,Florida,Franklin County,Conventional,12037,Franklin County,FL,"Franklin County, FL"
5.145672159,Florida,Gulf County,Conventional,12045,Gulf County,FL,"Gulf County, FL"
5.149324449,Florida,Okaloosa County,Conventional,12091,Okaloosa County,FL,"Okaloosa County, FL"
5.123166155,Florida,Duval County,Conventional,12031,Duval County,FL,"Duval County, FL"
5.121734852,Florida,Nassau County,Conventional,12089,Nassau County,FL,"Nassau County, FL"
5.124745524,Florida,Clay County,Conventional,12019,Clay County,FL,"Clay County, FL"
5.127666943,Florida,Flagler County,Conventional,12035,Flagler County,FL,"Flagler County, FL"
5.137874026,Florida,Hillsborough County,Conventional,12057,Hillsborough County,FL,"Hillsborough County, FL"
5.129878472,Florida,Marion County,Conventional,12083,Marion County,FL,"Marion County, FL"
5.137479184,Florida,Pinellas County,Conventional,12103,Pinellas County,FL,"Pinellas County, FL"
5.123264866,Florida,St. Johns County,Conventional,12109,St. Johns County,FL,"St. Johns County, FL"
5.130107834,Florida,Seminole County,Conventional,12117,Seminole County,FL,"Seminole County, FL"
5.125436498,Florida,Volusia County,Conventional,12127,Volusia County,FL,"Volusia County, FL"
5.131007179,Florida,Brevard County,Conventional,12009,Brevard County,FL,"Brevard County, FL"
5.13784577,Florida,Broward County,Conventional,12011,Broward County,FL,"Broward County, FL"
5.135744493,Florida,Glades County,Conventional,12043,Glades County,FL,"Glades County, FL"
5.132927785,Florida,Indian River County,Conventional,12061,Indian River County,FL,"Indian River County, FL"
5.136963751,Florida,Lee County,Conventional,12071,Lee County,FL,"Lee County, FL"
5.134779995,Florida,Martin County,Conventional,12085,Martin County,FL,"Martin County, FL"
5.13945762,Florida,Miami-Dade County,Conventional,12086,Miami-Dade County,FL,"Miami-Dade County, FL"
5.136350935,Florida,Palm Beach County,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
5.133775151,Florida,St. Lucie County,Conventional,12111,St. Lucie County,FL,"St. Lucie County, FL"
5.118822891,Georgia,Chatham County,Conventional,13051,Chatham County,GA,"Chatham County, GA"
5.121488076,Georgia,Glynn County,Conventional,13127,Glynn County,GA,"Glynn County, GA"
5.387562344,Idaho,Nez Perce County,Conventional,16069,Nez Perce County,ID,"Nez Perce County, ID"
5.1404405,Illinois,Putnam County,Conventional,17155,Putnam County,IL,"Putnam County, IL"
5.126275537,Illinois,Cook County,Conventional,17031,Cook County,IL,"Cook County, IL"
5.12489359,Illinois,Lake County,Conventional,17097,Lake County,IL,"Lake County, IL"
5.140588566,Illinois,Will County,Conventional,17197,Will County,IL,"Will County, IL"
5.219639045,Illinois,Adams County,Conventional,17001,Adams County,IL,"Adams County, IL"
5.139107908,Illinois,Peoria County,Conventional,17143,Peoria County,IL,"Peoria County, IL"
5.138022092,Illinois,Tazewell County,Conventional,17179,Tazewell County,IL,"Tazewell County, IL"
5.13126042,Illinois,Calhoun County,Conventional,17013,Calhoun County,IL,"Calhoun County, IL"
5.130223959,Illinois,Jersey County,Conventional,17083,Jersey County,IL,"Jersey County, IL"
5.212976083,Illinois,Madison County,Conventional,17119,Madison County,IL,"Madison County, IL"
5.132938499,Illinois,Pike County,Conventional,17149,Pike County,IL,"Pike County, IL"
5.133432052,Illinois,Scott County,Conventional,17171,Scott County,IL,"Scott County, IL"
5.150410265,Illinois,Alexander County,Conventional,17003,Alexander County,IL,"Alexander County, IL"
5.207547003,Illinois,Jackson County,Conventional,17077,Jackson County,IL,"Jackson County, IL"
5.117652631,Illinois,Saline County,Conventional,17165,Saline County,IL,"Saline County, IL"
5.127065222,Indiana,Lake County,Conventional,18089,Lake County,IN,"Lake County, IN"
5.159639701,Indiana,Vanderburgh County,Conventional,18163,Vanderburgh County,IN,"Vanderburgh County, IN"
5.160528096,Indiana,Warrick County,Conventional,18173,Warrick County,IN,"Warrick County, IN"
5.163242636,Indiana,Perry County,Conventional,18123,Perry County,IN,"Perry County, IN"
5.232224639,Iowa,Dubuque County,Conventional,19061,Dubuque County,IA,"Dubuque County, IA"
5.248610589,Iowa,Woodbury County,Conventional,19193,Woodbury County,IA,"Woodbury County, IA"
5.229213967,Iowa,Clinton County,Conventional,19045,Clinton County,IA,"Clinton County, IA"
5.227437177,Iowa,Scott County,Conventional,19163,Scott County,IA,"Scott County, IA"
5.242934733,Iowa,Pottawattamie County,Conventional,19155,Pottawattamie County,IA,"Pottawattamie County, IA"
5.223488756,Iowa,Des Moines County,Conventional,19057,Des Moines County,IA,"Des Moines County, IA"
5.2215639,Iowa,Lee County,Conventional,19111,Lee County,IA,"Lee County, IA"
5.232027218,Kansas,Leavenworth County,Conventional,20103,Leavenworth County,KS,"Leavenworth County, KS"
5.153272871,Kentucky,Livingston County,Conventional,21139,Livingston County,KY,"Livingston County, KY"
5.161515201,Kentucky,Daviess County,Conventional,21059,Daviess County,KY,"Daviess County, KY"
5.168869137,Kentucky,Jefferson County,Conventional,21111,Jefferson County,KY,"Jefferson County, KY"
5.177308888,Kentucky,Bracken County,Conventional,21023,Bracken County,KY,"Bracken County, KY"
5.172570782,Kentucky,Gallatin County,Conventional,21077,Gallatin County,KY,"Gallatin County, KY"
5.181997639,Kentucky,Greenup County,Conventional,21089,Greenup County,KY,"Greenup County, KY"
5.188759311,Kentucky,Laurel County,Conventional,21125,Laurel County,KY,"Laurel County, KY"
5.163075555,Louisiana,Red River County,Conventional,22081,Red River County,LA,"Red River County, LA"
5.159858936,Louisiana,East Baton Rouge County,Conventional,22033,East Baton Rouge County,LA,"East Baton Rouge County, LA"
5.162749083,Louisiana,Calcasieu County,Conventional,22019,Calcasieu County,LA,"Calcasieu County, LA"
5.159001171,Louisiana,Iberville County,Conventional,22047,Iberville County,LA,"Iberville County, LA"
5.157542971,Louisiana,Ascension County,Conventional,22005,Ascension County,LA,"Ascension County, LA"
5.15411191,Louisiana,Orleans County,Conventional,22071,Orleans County,LA,"Orleans County, LA"
5.156513653,Louisiana,Plaquemines County,Conventional,22075,Plaquemines County,LA,"Plaquemines County, LA"
5.15672774,Louisiana,Terrebonne County,Conventional,22109,Terrebonne County,LA,"Terrebonne County, LA"
5.117292878,Maine,Aroostook County,Conventional,23003,Aroostook County,ME,"Aroostook County, ME"
5.112011864,Maine,Hancock County,Conventional,23009,Hancock County,ME,"Hancock County, ME"
5.112702838,Maine,Penobscot County,Conventional,23019,Penobscot County,ME,"Penobscot County, ME"
5.111419601,Maine,Waldo County,Conventional,23027,Waldo County,ME,"Waldo County, ME"
5.115960286,Maine,Washington County,Conventional,23029,Washington County,ME,"Washington County, ME"
5.110728627,Maine,Kennebec County,Conventional,23011,Kennebec County,ME,"Kennebec County, ME"
5.110531206,Maine,Knox County,Conventional,23013,Knox County,ME,"Knox County, ME"
5.109050548,Maine,Lincoln County,Conventional,23015,Lincoln County,ME,"Lincoln County, ME"
5.109396035,Maine,Sagadahoc County,Conventional,23023,Sagadahoc County,ME,"Sagadahoc County, ME"
5.111765088,Maryland,Baltimore County,Conventional,24005,Baltimore County,MD,"Baltimore County, MD"
5.111962509,Maryland,Harford County,Conventional,24025,Harford County,MD,"Harford County, MD"
5.112357351,Maryland,Kent County,Conventional,24029,Kent County,MD,"Kent County, MD"
5.110876693,Maryland,Talbot County,Conventional,24041,Talbot County,MD,"Talbot County, MD"
5.110728627,Maryland,Anne Arundel County,Conventional,24003,Anne Arundel County,MD,"Anne Arundel County, MD"
5.108902482,Maryland,Calvert County,Conventional,24009,Calvert County,MD,"Calvert County, MD"
5.110087008,Maryland,Charles County,Conventional,24017,Charles County,MD,"Charles County, MD"
5.110432495,Maryland,Dorchester County,Conventional,24019,Dorchester County,MD,"Dorchester County, MD"
5.1076686,Maryland,Somerset County,Conventional,24039,Somerset County,MD,"Somerset County, MD"
5.10944539,Maryland,Wicomico County,Conventional,24045,Wicomico County,MD,"Wicomico County, MD"
5.102634362,Massachusetts,Barnstable County,Conventional,25001,Barnstable County,MA,"Barnstable County, MA"
5.101252415,Massachusetts,Bristol County,Conventional,25005,Bristol County,MA,"Bristol County, MA"
5.102091454,Massachusetts,Dukes County,Conventional,25007,Dukes County,MA,"Dukes County, MA"
5.106187942,Massachusetts,Essex County,Conventional,25009,Essex County,MA,"Essex County, MA"
5.104657929,Massachusetts,Nantucket County,Conventional,25019,Nantucket County,MA,"Nantucket County, MA"
5.104065665,Massachusetts,Plymouth County,Conventional,25023,Plymouth County,MA,"Plymouth County, MA"
5.105102126,Massachusetts,Suffolk County,Conventional,25025,Suffolk County,MA,"Suffolk County, MA"
5.121438721,Michigan,Baraga County,Conventional,26013,Baraga County,MI,"Baraga County, MI"
5.111370245,Michigan,Chippewa County,Conventional,26033,Chippewa County,MI,"Chippewa County, MI"
5.11665126,Michigan,Delta County,Conventional,26041,Delta County,MI,"Delta County, MI"
5.12227776,Michigan,Houghton County,Conventional,26061,Houghton County,MI,"Houghton County, MI"
5.109938943,Michigan,Mackinac County,Conventional,26097,Mackinac County,MI,"Mackinac County, MI"
5.119217734,Michigan,Marquette County,Conventional,26103,Marquette County,MI,"Marquette County, MI"
5.117934497,Michigan,Menominee County,Conventional,26109,Menominee County,MI,"Menominee County, MI"
5.12489359,Michigan,Ontonagon County,Conventional,26131,Ontonagon County,MI,"Ontonagon County, MI"
5.116305773,Michigan,Benzie County,Conventional,26019,Benzie County,MI,"Benzie County, MI"
5.113048325,Michigan,Charlevoix County,Conventional,26029,Charlevoix County,MI,"Charlevoix County, MI"
5.110284429,Michigan,Emmet County,Conventional,26047,Emmet County,MI,"Emmet County, MI"
5.115071891,Michigan,Grand Traverse County,Conventional,26055,Grand Traverse County,MI,"Grand Traverse County, MI"
5.11768772,Michigan,Manistee County,Conventional,26101,Manistee County,MI,"Manistee County, MI"
5.107717955,Michigan,Alpena County,Conventional,26007,Alpena County,MI,"Alpena County, MI"
5.109593456,Michigan,Cheboygan County,Conventional,26031,Cheboygan County,MI,"Cheboygan County, MI"
5.109247969,Michigan,Iosco County,Conventional,26069,Iosco County,MI,"Iosco County, MI"
5.107717955,Michigan,Presque Isle County,Conventional,26141,Presque Isle County,MI,"Presque Isle County, MI"
5.118822891,Michigan,Mason County,Conventional,26105,Mason County,MI,"Mason County, MI"
5.12134001,Michigan,Muskegon County,Conventional,26121,Muskegon County,MI,"Muskegon County, MI"
5.119365799,Michigan,Oceana County,Conventional,26127,Oceana County,MI,"Oceana County, MI"
5.112554772,Michigan,Bay County,Conventional,26017,Bay County,MI,"Bay County, MI"
5.113196391,Michigan,Saginaw County,Conventional,26145,Saginaw County,MI,"Saginaw County, MI"
5.112801548,Michigan,Sanilac County,Conventional,26151,Sanilac County,MI,"Sanilac County, MI"
5.123264866,Michigan,Allegan County,Conventional,26005,Allegan County,MI,"Allegan County, MI"
5.123906484,Michigan,Berrien County,Conventional,26021,Berrien County,MI,"Berrien County, MI"
5.122721958,Michigan,Van Buren County,Conventional,26159,Van Buren County,MI,"Van Buren County, MI"
5.116799325,Michigan,Macomb County,Conventional,26099,Macomb County,MI,"Macomb County, MI"
5.113944248,Michigan,Monroe County,Conventional,26115,Monroe County,MI,"Monroe County, MI"
5.120797102,Michigan,Oakland County,Conventional,26125,Oakland County,MI,"Oakland County, MI"
5.11517813,Michigan,Wayne County,Conventional,26163,Wayne County,MI,"Wayne County, MI"
5.127854906,Minnesota,Itasca County,Conventional,27061,Itasca County,MN,"Itasca County, MN"
5.126423603,Minnesota,Cook County,Conventional,27031,Cook County,MN,"Cook County, MN"
5.129681051,Minnesota,Lake County,Conventional,27075,Lake County,MN,"Lake County, MN"
5.130816222,Minnesota,St. Louis County,Conventional,27137,St. Louis County,MN,"St. Louis County, MN"
5.245698628,Minnesota,Hennepin County,Conventional,27053,Hennepin County,MN,"Hennepin County, MN"
5.239430508,Minnesota,Winona County,Conventional,27169,Winona County,MN,"Winona County, MN"
5.168294665,Mississippi,Washington County,Conventional,28151,Washington County,MS,"Washington County, MS"
5.165605962,Mississippi,Adams County,Conventional,28001,Adams County,MS,"Adams County, MS"
5.168779692,Mississippi,Warren County,Conventional,28149,Warren County,MS,"Warren County, MS"
5.152187055,Mississippi,Harrison County,Conventional,28047,Harrison County,MS,"Harrison County, MS"
5.150607686,Mississippi,Jackson County,Conventional,28059,Jackson County,MS,"Jackson County, MS"
5.234593692,Missouri,Buchanan County,Conventional,29021,Buchanan County,MO,"Buchanan County, MO"
5.220181953,Missouri,Lewis County,Conventional,29111,Lewis County,MO,"Lewis County, MO"
5.218898716,Missouri,Ralls County,Conventional,29173,Ralls County,MO,"Ralls County, MO"
5.230398494,Missouri,Jackson County,Conventional,29095,Jackson County,MO,"Jackson County, MO"
5.22699298,Missouri,Lafayette County,Conventional,29107,Lafayette County,MO,"Lafayette County, MO"
5.219540334,Missouri,Cole County,Conventional,29051,Cole County,MO,"Cole County, MO"
5.222205519,Missouri,Cooper County,Conventional,29053,Cooper County,MO,"Cooper County, MO"
5.223636822,Missouri,Howard County,Conventional,29089,Howard County,MO,"Howard County, MO"
5.225462967,Missouri,Saline County,Conventional,29195,Saline County,MO,"Saline County, MO"
5.215789333,Missouri,Franklin County,Conventional,29071,Franklin County,MO,"Franklin County, MO"
5.217319347,Missouri,Gasconade County,Conventional,29073,Gasconade County,MO,"Gasconade County, MO"
5.206165056,Missouri,Cape Girardeau County,Conventional,29031,Cape Girardeau County,MO,"Cape Girardeau County, MO"
5.248265102,Nebraska,Dakota County,Conventional,31043,Dakota County,NE,"Dakota County, NE"
5.242836022,Nebraska,Douglas County,Conventional,31055,Douglas County,NE,"Douglas County, NE"
5.240269548,Nebraska,Otoe County,Conventional,31131,Otoe County,NE,"Otoe County, NE"
5.237061455,Nebraska,Richardson County,Conventional,31147,Richardson County,NE,"Richardson County, NE"
5.096464954,New Jersey,Bergen County,Conventional,34003,Bergen County,NJ,"Bergen County, NJ"
5.102288876,New Jersey,Burlington County,Conventional,34005,Burlington County,NJ,"Burlington County, NJ"
5.102881139,New Jersey,Mercer County,Conventional,34021,Mercer County,NJ,"Mercer County, NJ"
5.094638808,New Jersey,Middlesex County,Conventional,34023,Middlesex County,NJ,"Middlesex County, NJ"
5.095329782,New Jersey,Monmouth County,Conventional,34025,Monmouth County,NJ,"Monmouth County, NJ"
5.095625914,New Jersey,Ocean County,Conventional,34029,Ocean County,NJ,"Ocean County, NJ"
5.097205283,New Jersey,Atlantic County,Conventional,34001,Atlantic County,NJ,"Atlantic County, NJ"
