True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
5.236598087,Alabama,Franklin County,Conventional,1059,Franklin County,AL,"Franklin County, AL"
5.228427384,Alabama,Lauderdale County,Conventional,1077,Lauderdale County,AL,"Lauderdale County, AL"
5.231355492,Alabama,Lawrence County,Conventional,1079,Lawrence County,AL,"Lawrence County, AL"
5.227456499,Alabama,Madison County,Conventional,1089,Madison County,AL,"Madison County, AL"
5.239353473,Alabama,Marion County,Conventional,1093,Marion County,AL,"Marion County, AL"
5.235504479,Alabama,Winston County,Conventional,1133,Winston County,AL,"Winston County, AL"
5.231729119,Alabama,Blount County,Conventional,1009,Blount County,AL,"Blount County, AL"
5.22942554,Alabama,Calhoun County,Conventional,1015,Calhoun County,AL,"Calhoun County, AL"
5.23008916,Alabama,Cleburne County,Conventional,1029,Cleburne County,AL,"Cleburne County, AL"
5.232857272,Alabama,Cullman County,Conventional,1043,Cullman County,AL,"Cullman County, AL"
5.225559274,Alabama,Etowah County,Conventional,1055,Etowah County,AL,"Etowah County, AL"
5.221706643,Alabama,Jackson County,Conventional,1071,Jackson County,AL,"Jackson County, AL"
5.225702907,Alabama,Marshall County,Conventional,1095,Marshall County,AL,"Marshall County, AL"
5.241488874,Alabama,Bibb County,Conventional,1007,Bibb County,AL,"Bibb County, AL"
5.236501726,Alabama,Chambers County,Conventional,1017,Chambers County,AL,"Chambers County, AL"
5.242120676,Alabama,Chilton County,Conventional,1021,Chilton County,AL,"Chilton County, AL"
5.235845379,Alabama,Clay County,Conventional,1027,Clay County,AL,"Clay County, AL"
5.239041662,Alabama,Coosa County,Conventional,1037,Coosa County,AL,"Coosa County, AL"
5.241093429,Alabama,Fayette County,Conventional,1057,Fayette County,AL,"Fayette County, AL"
5.23520994,Alabama,Jefferson County,Conventional,1073,Jefferson County,AL,"Jefferson County, AL"
5.243513368,Alabama,Lamar County,Conventional,1075,Lamar County,AL,"Lamar County, AL"
5.237729877,Alabama,Lee County,Conventional,1081,Lee County,AL,"Lee County, AL"
5.247945984,Alabama,Pickens County,Conventional,1107,Pickens County,AL,"Pickens County, AL"
5.23551266,Alabama,Randolph County,Conventional,1111,Randolph County,AL,"Randolph County, AL"
5.237558063,Alabama,Shelby County,Conventional,1117,Shelby County,AL,"Shelby County, AL"
5.233175446,Alabama,Talladega County,Conventional,1121,Talladega County,AL,"Talladega County, AL"
5.240333448,Alabama,Tallapoosa County,Conventional,1123,Tallapoosa County,AL,"Tallapoosa County, AL"
5.243390644,Alabama,Tuscaloosa County,Conventional,1125,Tuscaloosa County,AL,"Tuscaloosa County, AL"
5.238236228,Alabama,Walker County,Conventional,1127,Walker County,AL,"Walker County, AL"
5.245656951,Alabama,Autauga County,Conventional,1001,Autauga County,AL,"Autauga County, AL"
5.244348802,Alabama,Bullock County,Conventional,1011,Bullock County,AL,"Bullock County, AL"
5.248458698,Alabama,Dallas County,Conventional,1047,Dallas County,AL,"Dallas County, AL"
5.242597028,Alabama,Elmore County,Conventional,1051,Elmore County,AL,"Elmore County, AL"
5.246978736,Alabama,Greene County,Conventional,1063,Greene County,AL,"Greene County, AL"
5.247035098,Alabama,Hale County,Conventional,1065,Hale County,AL,"Hale County, AL"
5.251515894,Alabama,Lowndes County,Conventional,1085,Lowndes County,AL,"Lowndes County, AL"
5.241073429,Alabama,Macon County,Conventional,1087,Macon County,AL,"Macon County, AL"
5.252804044,Alabama,Marengo County,Conventional,1091,Marengo County,AL,"Marengo County, AL"
5.246634199,Alabama,Montgomery County,Conventional,1101,Montgomery County,AL,"Montgomery County, AL"
5.245129691,Alabama,Perry County,Conventional,1105,Perry County,AL,"Perry County, AL"
5.250752277,Alabama,Sumter County,Conventional,1119,Sumter County,AL,"Sumter County, AL"
5.257400292,Alabama,Choctaw County,Conventional,1023,Choctaw County,AL,"Choctaw County, AL"
5.257534834,Alabama,Clarke County,Conventional,1025,Clarke County,AL,"Clarke County, AL"
5.262209262,Alabama,Escambia County,Conventional,1053,Escambia County,AL,"Escambia County, AL"
5.271254489,Alabama,Mobile County,Conventional,1097,Mobile County,AL,"Mobile County, AL"
5.257839372,Alabama,Monroe County,Conventional,1099,Monroe County,AL,"Monroe County, AL"
5.264559203,Alabama,Washington County,Conventional,1129,Washington County,AL,"Washington County, AL"
5.252990403,Alabama,Wilcox County,Conventional,1131,Wilcox County,AL,"Wilcox County, AL"
5.246612381,Alabama,Barbour County,Conventional,1005,Barbour County,AL,"Barbour County, AL"
5.260829297,Alabama,Covington County,Conventional,1039,Covington County,AL,"Covington County, AL"
5.254160373,Alabama,Crenshaw County,Conventional,1041,Crenshaw County,AL,"Crenshaw County, AL"
5.253095855,Alabama,Dale County,Conventional,1045,Dale County,AL,"Dale County, AL"
5.253689476,Alabama,Houston County,Conventional,1069,Houston County,AL,"Houston County, AL"
5.240778891,Alabama,Russell County,Conventional,1113,Russell County,AL,"Russell County, AL"
5.397991304,Arizona,Apache County,Conventional,4001,Apache County,AZ,"Apache County, AZ"
5.426040599,Arizona,Coconino County,Conventional,4005,Coconino County,AZ,"Coconino County, AZ"
5.423073401,Arizona,Gila County,Conventional,4007,Gila County,AZ,"Gila County, AZ"
5.436158526,Arizona,Mohave County,Conventional,4015,Mohave County,AZ,"Mohave County, AZ"
5.404836586,Arizona,Navajo County,Conventional,4017,Navajo County,AZ,"Navajo County, AZ"
5.430052316,Arizona,Yavapai County,Conventional,4025,Yavapai County,AZ,"Yavapai County, AZ"
5.422597049,Arizona,Cochise County,Conventional,4003,Cochise County,AZ,"Cochise County, AZ"
5.418548969,Arizona,Graham County,Conventional,4009,Graham County,AZ,"Graham County, AZ"
5.410876435,Arizona,Greenlee County,Conventional,4011,Greenlee County,AZ,"Greenlee County, AZ"
5.436243979,Arizona,Pima County,Conventional,4019,Pima County,AZ,"Pima County, AZ"
5.426399681,Arizona,Pinal County,Conventional,4021,Pinal County,AZ,"Pinal County, AZ"
5.430285038,Arizona,Santa Cruz County,Conventional,4023,Santa Cruz County,AZ,"Santa Cruz County, AZ"
5.449214562,Arizona,Yuma County,Conventional,4027,Yuma County,AZ,"Yuma County, AZ"
5.265582813,Arkansas,Benton County,Conventional,5007,Benton County,AR,"Benton County, AR"
5.258869346,Arkansas,Boone County,Conventional,5009,Boone County,AR,"Boone County, AR"
5.260227494,Arkansas,Carroll County,Conventional,5015,Carroll County,AR,"Carroll County, AR"
5.264058306,Arkansas,Madison County,Conventional,5087,Madison County,AR,"Madison County, AR"
5.26237653,Arkansas,Newton County,Conventional,5101,Newton County,AR,"Newton County, AR"
5.270496326,Arkansas,Washington County,Conventional,5143,Washington County,AR,"Washington County, AR"
5.253834927,Arkansas,Baxter County,Conventional,5005,Baxter County,AR,"Baxter County, AR"
5.246858739,Arkansas,Fulton County,Conventional,5049,Fulton County,AR,"Fulton County, AR"
5.250292289,Arkansas,Izard County,Conventional,5065,Izard County,AR,"Izard County, AR"
5.256778489,Arkansas,Marion County,Conventional,5089,Marion County,AR,"Marion County, AR"
5.263593773,Arkansas,Searcy County,Conventional,5129,Searcy County,AR,"Searcy County, AR"
5.247201457,Arkansas,Sharp County,Conventional,5135,Sharp County,AR,"Sharp County, AR"
5.256102143,Arkansas,Stone County,Conventional,5137,Stone County,AR,"Stone County, AR"
5.263763768,Arkansas,Van Buren County,Conventional,5141,Van Buren County,AR,"Van Buren County, AR"
5.239139842,Arkansas,Clay County,Conventional,5021,Clay County,AR,"Clay County, AR"
5.242226128,Arkansas,Craighead County,Conventional,5031,Craighead County,AR,"Craighead County, AR"
5.240377992,Arkansas,Greene County,Conventional,5055,Greene County,AR,"Greene County, AR"
5.249271405,Arkansas,Jackson County,Conventional,5067,Jackson County,AR,"Jackson County, AR"
5.244916969,Arkansas,Lawrence County,Conventional,5075,Lawrence County,AR,"Lawrence County, AR"
5.237601699,Arkansas,Mississippi County,Conventional,5093,Mississippi County,AR,"Mississippi County, AR"
5.242183402,Arkansas,Randolph County,Conventional,5121,Randolph County,AR,"Randolph County, AR"
5.275671651,Arkansas,Crawford County,Conventional,5033,Crawford County,AR,"Crawford County, AR"
5.270815409,Arkansas,Franklin County,Conventional,5047,Franklin County,AR,"Franklin County, AR"
5.268754552,Arkansas,Johnson County,Conventional,5071,Johnson County,AR,"Johnson County, AR"
5.278570669,Arkansas,Logan County,Conventional,5083,Logan County,AR,"Logan County, AR"
5.282066036,Arkansas,Polk County,Conventional,5113,Polk County,AR,"Polk County, AR"
5.272495367,Arkansas,Pope County,Conventional,5115,Pope County,AR,"Pope County, AR"
5.28121333,Arkansas,Scott County,Conventional,5127,Scott County,AR,"Scott County, AR"
5.28008154,Arkansas,Sebastian County,Conventional,5131,Sebastian County,AR,"Sebastian County, AR"
5.2755362,Arkansas,Yell County,Conventional,5149,Yell County,AR,"Yell County, AR"
5.262577434,Arkansas,Faulkner County,Conventional,5045,Faulkner County,AR,"Faulkner County, AR"
5.266718239,Arkansas,Grant County,Conventional,5053,Grant County,AR,"Grant County, AR"
5.268975455,Arkansas,Hot Spring County,Conventional,5059,Hot Spring County,AR,"Hot Spring County, AR"
5.268683645,Arkansas,Perry County,Conventional,5105,Perry County,AR,"Perry County, AR"
5.261943814,Arkansas,Pulaski County,Conventional,5119,Pulaski County,AR,"Pulaski County, AR"
5.266076437,Arkansas,Saline County,Conventional,5125,Saline County,AR,"Saline County, AR"
5.259069341,Arkansas,Arkansas County,Conventional,5001,Arkansas County,AR,"Arkansas County, AR"
5.244635158,Arkansas,Crittenden County,Conventional,5035,Crittenden County,AR,"Crittenden County, AR"
5.247102369,Arkansas,Cross County,Conventional,5037,Cross County,AR,"Cross County, AR"
5.259101158,Arkansas,Lonoke County,Conventional,5085,Lonoke County,AR,"Lonoke County, AR"
5.254057649,Arkansas,Phillips County,Conventional,5107,Phillips County,AR,"Phillips County, AR"
5.255738515,Arkansas,Prairie County,Conventional,5117,Prairie County,AR,"Prairie County, AR"
5.251523167,Arkansas,Woodruff County,Conventional,5147,Woodruff County,AR,"Woodruff County, AR"
5.278410673,Arkansas,Hempstead County,Conventional,5057,Hempstead County,AR,"Hempstead County, AR"
5.28026699,Arkansas,Howard County,Conventional,5061,Howard County,AR,"Howard County, AR"
5.282397845,Arkansas,Lafayette County,Conventional,5073,Lafayette County,AR,"Lafayette County, AR"
5.285503222,Arkansas,Little River County,Conventional,5081,Little River County,AR,"Little River County, AR"
5.284092348,Arkansas,Miller County,Conventional,5091,Miller County,AR,"Miller County, AR"
5.275215299,Arkansas,Montgomery County,Conventional,5097,Montgomery County,AR,"Montgomery County, AR"
5.276640717,Arkansas,Pike County,Conventional,5109,Pike County,AR,"Pike County, AR"
5.283875081,Arkansas,Sevier County,Conventional,5133,Sevier County,AR,"Sevier County, AR"
5.271465393,Arkansas,Bradley County,Conventional,5011,Bradley County,AR,"Bradley County, AR"
5.274768037,Arkansas,Calhoun County,Conventional,5013,Calhoun County,AR,"Calhoun County, AR"
5.267248226,Arkansas,Cleveland County,Conventional,5025,Cleveland County,AR,"Cleveland County, AR"
5.281811497,Arkansas,Columbia County,Conventional,5027,Columbia County,AR,"Columbia County, AR"
