True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.620593193,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.61668816,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.620918612,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.638708205,California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.642775947,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.640931904,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.638545495,California,San Francisco,Conventional,6075,San Francisco County,CA,"San Francisco County, CA"
0.624172806,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.642613237,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.639738699,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.64651827,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.640335301,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
0.641365796,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
0.62569143,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.636321796,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.630301537,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.638816678,California,Marin,Conventional,6041,Marin County,CA,"Marin County, CA"
0.644348807,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.649175861,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
0.640552248,California,Napa,Conventional,6055,Napa County,CA,"Napa County, CA"
0.651128377,California,Humboldt,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
0.653894442,California,Del Norte,Conventional,6015,Del Norte County,CA,"Del Norte County, CA"
0.646897925,California,Colusa,Conventional,6011,Colusa County,CA,"Colusa County, CA"
0.137034231,Michigan,Wayne,Conventional,26163,Wayne County,MI,"Wayne County, MI"
0.143208926,Michigan,Oakland,Conventional,26125,Oakland County,MI,"Oakland County, MI"
