True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.495536818,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.502746083,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.499364067,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.492648929,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.486716199,California,San Bernardino,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
0.508062984,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.505964201,California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.501508001,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.504573504,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.502042554,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.495591248,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
0.509704462,California,San Francisco,Conventional,6075,San Francisco County,CA,"San Francisco County, CA"
0.501250779,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.503335989,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.508433391,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.506714805,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.499317709,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.502795218,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
0.503372979,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.512988158,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.494266099,California,Placer,Conventional,6061,Placer County,CA,"Placer County, CA"
0.505038746,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
0.509262102,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.507746717,California,Santa Cruz,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
0.501682629,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.496737616,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
0.52843031,California,Shasta,Conventional,6089,Shasta County,CA,"Shasta County, CA"
0.48937854,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
0.503530776,California,Madera,Conventional,6039,Madera County,CA,"Madera County, CA"
0.500105082,California,Kings,Conventional,6031,Kings County,CA,"Kings County, CA"
0.4938298,California,Nevada,Conventional,6057,Nevada County,CA,"Nevada County, CA"
0.499350748,California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
0.498293157,California,Yuba,Conventional,6115,Yuba County,CA,"Yuba County, CA"
0.502832493,California,Tehama,Conventional,6103,Tehama County,CA,"Tehama County, CA"
0.513635251,California,San Benito,Conventional,6069,San Benito County,CA,"San Benito County, CA"
0.524649339,California,Siskiyou,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
0.503480036,California,Amador,Conventional,6005,Amador County,CA,"Amador County, CA"
0.496620294,California,Lassen,Conventional,6035,Lassen County,CA,"Lassen County, CA"
0.493563331,California,Plumas,Conventional,6063,Plumas County,CA,"Plumas County, CA"
0.523368553,California,Modoc,Conventional,6049,Modoc County,CA,"Modoc County, CA"
0.492379453,California,Sierra,Conventional,6091,Sierra County,CA,"Sierra County, CA"
0.124680383,Michigan,Wayne,Conventional,26163,Wayne County,MI,"Wayne County, MI"
0.126421141,Michigan,Oakland,Conventional,26125,Oakland County,MI,"Oakland County, MI"
0.122034775,Michigan,Macomb,Conventional,26099,Macomb County,MI,"Macomb County, MI"
0.129857491,Michigan,Kent,Conventional,26081,Kent County,MI,"Kent County, MI"
0.123639374,Michigan,Genesee,Conventional,26049,Genesee County,MI,"Genesee County, MI"
0.125924398,Michigan,Washtenaw,Conventional,26161,Washtenaw County,MI,"Washtenaw County, MI"
0.131385679,Michigan,Ottawa,Conventional,26139,Ottawa County,MI,"Ottawa County, MI"
0.127286448,Michigan,Ingham,Conventional,26065,Ingham County,MI,"Ingham County, MI"
0.12978851,Michigan,Kalamazoo,Conventional,26077,Kalamazoo County,MI,"Kalamazoo County, MI"
0.126823673,Michigan,Livingston,Conventional,26093,Livingston County,MI,"Livingston County, MI"
0.127846937,Michigan,Jackson,Conventional,26075,Jackson County,MI,"Jackson County, MI"
0.126179721,Michigan,Monroe,Conventional,26115,Monroe County,MI,"Monroe County, MI"
0.136573035,Michigan,Berrien,Conventional,26021,Berrien County,MI,"Berrien County, MI"
0.129467197,Michigan,Calhoun,Conventional,26025,Calhoun County,MI,"Calhoun County, MI"
0.131402599,Michigan,Allegan,Conventional,26005,Allegan County,MI,"Allegan County, MI"
0.127096657,Michigan,Eaton,Conventional,26045,Eaton County,MI,"Eaton County, MI"
0.127143028,Michigan,Lenawee,Conventional,26091,Lenawee County,MI,"Lenawee County, MI"
0.12270012,Michigan,Lapeer,Conventional,26087,Lapeer County,MI,"Lapeer County, MI"
0.126725566,Michigan,Clinton,Conventional,26037,Clinton County,MI,"Clinton County, MI"
0.132743496,Michigan,Van Buren,Conventional,26159,Van Buren County,MI,"Van Buren County, MI"
0.12468512,Michigan,Shiawassee,Conventional,26155,Shiawassee County,MI,"Shiawassee County, MI"
0.128148797,Michigan,Ionia,Conventional,26067,Ionia County,MI,"Ionia County, MI"
0.162442062,Michigan,Marquette,Conventional,26103,Marquette County,MI,"Marquette County, MI"
0.128058167,Michigan,Barry,Conventional,26015,Barry County,MI,"Barry County, MI"
0.131188181,Michigan,Cass,Conventional,26027,Cass County,MI,"Cass County, MI"
0.159045033,Michigan,Delta,Conventional,26041,Delta County,MI,"Delta County, MI"
0.152560931,Michigan,Chippewa,Conventional,26033,Chippewa County,MI,"Chippewa County, MI"
0.162001072,Michigan,Dickinson,Conventional,26043,Dickinson County,MI,"Dickinson County, MI"
0.161184488,Michigan,Menominee,Conventional,26109,Menominee County,MI,"Menominee County, MI"
0.174817811,Michigan,Gogebic,Conventional,26053,Gogebic County,MI,"Gogebic County, MI"
0.154139776,Michigan,Mackinac,Conventional,26097,Mackinac County,MI,"Mackinac County, MI"
0.158508536,Michigan,Alger,Conventional,26003,Alger County,MI,"Alger County, MI"
0.164730737,Michigan,Baraga,Conventional,26013,Baraga County,MI,"Baraga County, MI"
0.157165645,Michigan,Schoolcraft,Conventional,26153,Schoolcraft County,MI,"Schoolcraft County, MI"
0.175261067,Michigan,Ontonagon,Conventional,26131,Ontonagon County,MI,"Ontonagon County, MI"
0.155277299,Michigan,Luce,Conventional,26095,Luce County,MI,"Luce County, MI"
0.088114813,New York,Kings,Conventional,36047,Kings County,NY,"Kings County, NY"
0.087831186,New York,Queens,Conventional,36081,Queens County,NY,"Queens County, NY"
0.087504973,New York,New York,Conventional,36061,New York County,NY,"New York County, NY"
0.087524204,New York,Bronx,Conventional,36005,Bronx County,NY,"Bronx County, NY"
0.086053293,New York,Westchester,Conventional,36119,Westchester County,NY,"Westchester County, NY"
0.082533058,New York,Erie,Conventional,36029,Erie County,NY,"Erie County, NY"
0.079796683,New York,Monroe,Conventional,36055,Monroe County,NY,"Monroe County, NY"
0.074967917,New York,Onondaga,Conventional,36067,Onondaga County,NY,"Onondaga County, NY"
0.092664185,New York,Orange,Conventional,36071,Orange County,NY,"Orange County, NY"
0.088785836,New York,Rockland,Conventional,36087,Rockland County,NY,"Rockland County, NY"
0.080211506,New York,Albany,Conventional,36001,Albany County,NY,"Albany County, NY"
