True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.579292,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.579059473,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.579547047,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.571019493,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.569427418,California,San Bernardino,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
0.593078116,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.589804934,California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.5831156,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.588426009,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.590554886,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.580083325,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
0.589532082,California,San Francisco,Conventional,6075,San Francisco County,CA,"San Francisco County, CA"
0.583041757,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.586075603,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.591935906,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.588625542,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.591311645,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
0.58730789,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.585285326,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
0.590466379,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.595341586,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.581256433,California,Placer,Conventional,6061,Placer County,CA,"Placer County, CA"
0.592878583,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
0.590423959,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.593830162,California,Santa Cruz,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
0.589687624,California,Marin,Conventional,6041,Marin County,CA,"Marin County, CA"
0.584084461,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.583958771,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
0.578631603,California,El Dorado,Conventional,6017,El Dorado County,CA,"El Dorado County, CA"
0.58708479,California,Shasta,Conventional,6089,Shasta County,CA,"Shasta County, CA"
0.571017922,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
0.583459676,California,Madera,Conventional,6039,Madera County,CA,"Madera County, CA"
0.587917487,California,Kings,Conventional,6031,Kings County,CA,"Kings County, CA"
0.587499044,California,Napa,Conventional,6055,Napa County,CA,"Napa County, CA"
0.601134855,California,Humboldt,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
0.576763533,California,Nevada,Conventional,6057,Nevada County,CA,"Nevada County, CA"
0.58226143,California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
0.59233183,California,Mendocino,Conventional,6045,Mendocino County,CA,"Mendocino County, CA"
0.580111081,California,Yuba,Conventional,6115,Yuba County,CA,"Yuba County, CA"
0.588647014,California,Lake,Conventional,6033,Lake County,CA,"Lake County, CA"
0.587329362,California,Tehama,Conventional,6103,Tehama County,CA,"Tehama County, CA"
0.595829159,California,San Benito,Conventional,6069,San Benito County,CA,"San Benito County, CA"
0.581973914,California,Tuolumne,Conventional,6109,Tuolumne County,CA,"Tuolumne County, CA"
0.582109031,California,Calaveras,Conventional,6009,Calaveras County,CA,"Calaveras County, CA"
0.591223662,California,Siskiyou,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
0.580238866,California,Amador,Conventional,6005,Amador County,CA,"Amador County, CA"
0.579942971,California,Lassen,Conventional,6035,Lassen County,CA,"Lassen County, CA"
0.586664775,California,Glenn,Conventional,6021,Glenn County,CA,"Glenn County, CA"
0.597553733,California,Del Norte,Conventional,6015,Del Norte County,CA,"Del Norte County, CA"
0.584415969,California,Colusa,Conventional,6011,Colusa County,CA,"Colusa County, CA"
0.577782147,California,Plumas,Conventional,6063,Plumas County,CA,"Plumas County, CA"
0.574424649,California,Inyo,Conventional,6027,Inyo County,CA,"Inyo County, CA"
0.581529285,California,Mariposa,Conventional,6043,Mariposa County,CA,"Mariposa County, CA"
