True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
1.780098291,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
2.692424954,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
2.014439679,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
1.556296029,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
1.624399308,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
1.814039068,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
1.653330596,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
1.703278901,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
0.987714604,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
1.704865825,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
1.714173731,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
1.403543178,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
1.582713034,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
1.566091471,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
1.659157986,California,Humboldt,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
1.557345464,California,Colusa,Conventional,6011,Colusa County,CA,"Colusa County, CA"
2.291640595,Delaware,New Castle,Conventional,10003,New Castle County,DE,"New Castle County, DE"
2.386215391,Delaware,Sussex,Conventional,10005,Sussex County,DE,"Sussex County, DE"
2.354562033,Delaware,Kent,Conventional,10001,Kent County,DE,"Kent County, DE"
2.988337804,Idaho,Nez Perce,Conventional,16069,Nez Perce County,ID,"Nez Perce County, ID"
2.214739354,Maine,Penobscot,Conventional,23019,Penobscot County,ME,"Penobscot County, ME"
2.198080966,Maine,Kennebec,Conventional,23011,Kennebec County,ME,"Kennebec County, ME"
2.256463467,Maine,Aroostook,Conventional,23003,Aroostook County,ME,"Aroostook County, ME"
2.198478424,Maine,Waldo,Conventional,23027,Waldo County,ME,"Waldo County, ME"
2.202436261,Maryland,Baltimore,Conventional,24005,Baltimore County,MD,"Baltimore County, MD"
2.201767196,Maryland,Anne Arundel,Conventional,24003,Anne Arundel County,MD,"Anne Arundel County, MD"
2.163005982,Maryland,Harford,Conventional,24025,Harford County,MD,"Harford County, MD"
2.223839127,Maryland,Charles,Conventional,24017,Charles County,MD,"Charles County, MD"
2.246541302,Maryland,Cecil,Conventional,24015,Cecil County,MD,"Cecil County, MD"
2.214382651,Maryland,Wicomico,Conventional,24045,Wicomico County,MD,"Wicomico County, MD"
2.290509384,Maryland,Calvert,Conventional,24009,Calvert County,MD,"Calvert County, MD"
2.15445504,Maryland,Worcester,Conventional,24047,Worcester County,MD,"Worcester County, MD"
2.210033598,Maryland,Talbot,Conventional,24041,Talbot County,MD,"Talbot County, MD"
2.242709927,Maryland,Dorchester,Conventional,24019,Dorchester County,MD,"Dorchester County, MD"
2.160955851,Maryland,Somerset,Conventional,24039,Somerset County,MD,"Somerset County, MD"
2.203585173,Maryland,Kent,Conventional,24029,Kent County,MD,"Kent County, MD"
4.589946771,Michigan,Ottawa,Conventional,26139,Ottawa County,MI,"Ottawa County, MI"
4.289391727,Michigan,Muskegon,Conventional,26121,Muskegon County,MI,"Muskegon County, MI"
4.465046328,Michigan,Monroe,Conventional,26115,Monroe County,MI,"Monroe County, MI"
4.346285588,Michigan,Berrien,Conventional,26021,Berrien County,MI,"Berrien County, MI"
4.356382058,Michigan,Allegan,Conventional,26005,Allegan County,MI,"Allegan County, MI"
4.367376886,Michigan,Bay,Conventional,26017,Bay County,MI,"Bay County, MI"
4.309171197,Michigan,Grand Traverse,Conventional,26055,Grand Traverse County,MI,"Grand Traverse County, MI"
4.530504504,Michigan,Van Buren,Conventional,26159,Van Buren County,MI,"Van Buren County, MI"
4.143050939,Michigan,Marquette,Conventional,26103,Marquette County,MI,"Marquette County, MI"
4.334581946,Michigan,Sanilac,Conventional,26151,Sanilac County,MI,"Sanilac County, MI"
4.380602903,Michigan,Houghton,Conventional,26061,Houghton County,MI,"Houghton County, MI"
4.229678123,Michigan,Delta,Conventional,26041,Delta County,MI,"Delta County, MI"
4.014242427,Michigan,Chippewa,Conventional,26033,Chippewa County,MI,"Chippewa County, MI"
4.192358437,Michigan,Emmet,Conventional,26047,Emmet County,MI,"Emmet County, MI"
4.302611817,Michigan,Huron,Conventional,26063,Huron County,MI,"Huron County, MI"
4.297736263,Michigan,Mason,Conventional,26105,Mason County,MI,"Mason County, MI"
4.071994239,Michigan,Alpena,Conventional,26007,Alpena County,MI,"Alpena County, MI"
4.498793495,Michigan,Oceana,Conventional,26127,Oceana County,MI,"Oceana County, MI"
4.254497257,Michigan,Charlevoix,Conventional,26029,Charlevoix County,MI,"Charlevoix County, MI"
4.136938322,Michigan,Cheboygan,Conventional,26031,Cheboygan County,MI,"Cheboygan County, MI"
4.07621052,Michigan,Iosco,Conventional,26069,Iosco County,MI,"Iosco County, MI"
4.056979718,Michigan,Menominee,Conventional,26109,Menominee County,MI,"Menominee County, MI"
4.162222188,Michigan,Presque Isle,Conventional,26141,Presque Isle County,MI,"Presque Isle County, MI"
4.133781906,Michigan,Mackinac,Conventional,26097,Mackinac County,MI,"Mackinac County, MI"
4.231848904,Michigan,Alger,Conventional,26003,Alger County,MI,"Alger County, MI"
4.95615537,Michigan,Baraga,Conventional,26013,Baraga County,MI,"Baraga County, MI"
4.026836854,Michigan,Schoolcraft,Conventional,26153,Schoolcraft County,MI,"Schoolcraft County, MI"
4.013035652,Michigan,Ontonagon,Conventional,26131,Ontonagon County,MI,"Ontonagon County, MI"
4.324039149,Minnesota,Hennepin,Conventional,27053,Hennepin County,MN,"Hennepin County, MN"
3.651329849,Minnesota,Ramsey,Conventional,27123,Ramsey County,MN,"Ramsey County, MN"
6.252024906,Minnesota,Winona,Conventional,27169,Winona County,MN,"Winona County, MN"
3.647555144,Minnesota,Itasca,Conventional,27061,Itasca County,MN,"Itasca County, MN"
6.986918771,New York,Suffolk,Conventional,36103,Suffolk County,NY,"Suffolk County, NY"
3.846800836,New York,Westchester,Conventional,36119,Westchester County,NY,"Westchester County, NY"
3.798567669,New York,Erie,Conventional,36029,Erie County,NY,"Erie County, NY"
3.945138715,New York,Monroe,Conventional,36055,Monroe County,NY,"Monroe County, NY"
3.650496253,New York,Onondaga,Conventional,36067,Onondaga County,NY,"Onondaga County, NY"
