True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
2.407547279,Arizona,Maricopa,Conventional,4013,Maricopa County,AZ,"Maricopa County, AZ"
2.362663967,Arizona,Pima,Conventional,4019,Pima County,AZ,"Pima County, AZ"
2.346687524,Arizona,Pinal,Conventional,4021,Pinal County,AZ,"Pinal County, AZ"
2.388520503,Arizona,Yavapai,Conventional,4025,Yavapai County,AZ,"Yavapai County, AZ"
2.390862187,Arizona,Yuma,Conventional,4027,Yuma County,AZ,"Yuma County, AZ"
2.338665807,Arizona,Cochise,Conventional,4003,Cochise County,AZ,"Cochise County, AZ"
1.640583135,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
2.563892536,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
1.878274743,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
1.62198711,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
1.399593843,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
1.549447362,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
1.586269218,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
1.469626252,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
1.667148798,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
1.497774145,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
1.413268849,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.833710599,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
1.567627088,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
1.575204389,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
1.446535664,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
1.267210076,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
1.424552583,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
1.398175949,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
1.527577514,California,Shasta,Conventional,6089,Shasta County,CA,"Shasta County, CA"
1.793543133,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
1.542900291,California,Madera,Conventional,6039,Madera County,CA,"Madera County, CA"
1.404987257,California,Kings,Conventional,6031,Kings County,CA,"Kings County, CA"
1.394686998,California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
1.544010982,California,Tehama,Conventional,6103,Tehama County,CA,"Tehama County, CA"
1.585447167,California,San Benito,Conventional,6069,San Benito County,CA,"San Benito County, CA"
1.533015012,California,Siskiyou,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
1.505946016,California,Lassen,Conventional,6035,Lassen County,CA,"Lassen County, CA"
1.396397522,California,Plumas,Conventional,6063,Plumas County,CA,"Plumas County, CA"
1.462167245,California,Modoc,Conventional,6049,Modoc County,CA,"Modoc County, CA"
1.425033781,California,Sierra,Conventional,6091,Sierra County,CA,"Sierra County, CA"
2.330848488,Colorado,Adams,Conventional,8001,Adams County,CO,"Adams County, CO"
2.527045922,Colorado,Larimer,Conventional,8069,Larimer County,CO,"Larimer County, CO"
2.485171107,Colorado,Weld,Conventional,8123,Weld County,CO,"Weld County, CO"
2.650974836,Colorado,Boulder,Conventional,8013,Boulder County,CO,"Boulder County, CO"
2.493970363,Colorado,Garfield,Conventional,8045,Garfield County,CO,"Garfield County, CO"
2.631990693,Colorado,Montrose,Conventional,8085,Montrose County,CO,"Montrose County, CO"
2.869207741,Colorado,Delta,Conventional,8029,Delta County,CO,"Delta County, CO"
2.338997222,Colorado,Logan,Conventional,8075,Logan County,CO,"Logan County, CO"
2.330403075,Colorado,Moffat,Conventional,8081,Moffat County,CO,"Moffat County, CO"
2.315099134,Colorado,Prowers,Conventional,8099,Prowers County,CO,"Prowers County, CO"
2.390744863,Colorado,Yuma,Conventional,8125,Yuma County,CO,"Yuma County, CO"
2.27241611,Colorado,Huerfano,Conventional,8055,Huerfano County,CO,"Huerfano County, CO"
2.303484154,Colorado,Lincoln,Conventional,8073,Lincoln County,CO,"Lincoln County, CO"
2.330888537,Colorado,Bent,Conventional,8011,Bent County,CO,"Bent County, CO"
2.288753426,Colorado,Washington,Conventional,8121,Washington County,CO,"Washington County, CO"
2.302634721,Colorado,Baca,Conventional,8009,Baca County,CO,"Baca County, CO"
2.252056066,Colorado,Cheyenne,Conventional,8017,Cheyenne County,CO,"Cheyenne County, CO"
2.296116274,Delaware,New Castle,Conventional,10003,New Castle County,DE,"New Castle County, DE"
2.396149648,Delaware,Sussex,Conventional,10005,Sussex County,DE,"Sussex County, DE"
2.36239594,Delaware,Kent,Conventional,10001,Kent County,DE,"Kent County, DE"
2.279562736,Idaho,Ada,Conventional,16001,Ada County,ID,"Ada County, ID"
2.808641344,Idaho,Canyon,Conventional,16027,Canyon County,ID,"Canyon County, ID"
2.535233807,Idaho,Kootenai,Conventional,16055,Kootenai County,ID,"Kootenai County, ID"
1.792526876,Idaho,Bonneville,Conventional,16019,Bonneville County,ID,"Bonneville County, ID"
2.359644106,Idaho,Bannock,Conventional,16005,Bannock County,ID,"Bannock County, ID"
1.932670276,Idaho,Bingham,Conventional,16011,Bingham County,ID,"Bingham County, ID"
3.037801506,Idaho,Bonner,Conventional,16017,Bonner County,ID,"Bonner County, ID"
2.597186915,Idaho,Jefferson,Conventional,16051,Jefferson County,ID,"Jefferson County, ID"
2.583616257,Idaho,Elmore,Conventional,16039,Elmore County,ID,"Elmore County, ID"
2.619248113,Idaho,Payette,Conventional,16075,Payette County,ID,"Payette County, ID"
1.730423071,Idaho,Blaine,Conventional,16013,Blaine County,ID,"Blaine County, ID"
1.445953115,Idaho,Minidoka,Conventional,16067,Minidoka County,ID,"Minidoka County, ID"
2.559192843,Idaho,Gooding,Conventional,16047,Gooding County,ID,"Gooding County, ID"
2.561866718,Idaho,Franklin,Conventional,16041,Franklin County,ID,"Franklin County, ID"
2.551934049,Idaho,Boundary,Conventional,16021,Boundary County,ID,"Boundary County, ID"
2.564356987,Idaho,Washington,Conventional,16087,Washington County,ID,"Washington County, ID"
3.604419094,Idaho,Benewah,Conventional,16009,Benewah County,ID,"Benewah County, ID"
1.891124248,Idaho,Power,Conventional,16077,Power County,ID,"Power County, ID"
2.506052006,Idaho,Caribou,Conventional,16029,Caribou County,ID,"Caribou County, ID"
2.521704236,Idaho,Bear Lake,Conventional,16007,Bear Lake County,ID,"Bear Lake County, ID"
2.445063642,Idaho,Lincoln,Conventional,16063,Lincoln County,ID,"Lincoln County, ID"
2.309984943,Idaho,Oneida,Conventional,16071,Oneida County,ID,"Oneida County, ID"
2.435978625,Idaho,Butte,Conventional,16023,Butte County,ID,"Butte County, ID"
2.696393077,Idaho,Clark,Conventional,16033,Clark County,ID,"Clark County, ID"
5.701696282,Kansas,Sedgwick,Conventional,20173,Sedgwick County,KS,"Sedgwick County, KS"
5.85585705,Kansas,Shawnee,Conventional,20177,Shawnee County,KS,"Shawnee County, KS"
5.85401802,Kansas,Douglas,Conventional,20045,Douglas County,KS,"Douglas County, KS"
5.7575314,Kansas,Reno,Conventional,20155,Reno County,KS,"Reno County, KS"
5.959862513,Kansas,Crawford,Conventional,20037,Crawford County,KS,"Crawford County, KS"
5.684902409,Kansas,Cowley,Conventional,20035,Cowley County,KS,"Cowley County, KS"
5.805361184,Kansas,Harvey,Conventional,20079,Harvey County,KS,"Harvey County, KS"
5.790389617,Kansas,McPherson,Conventional,20113,McPherson County,KS,"McPherson County, KS"
5.388728254,Kansas,Ellis,Conventional,20051,Ellis County,KS,"Ellis County, KS"
5.626738145,Kansas,Sumner,Conventional,20191,Sumner County,KS,"Sumner County, KS"
5.951241306,Kansas,Labette,Conventional,20099,Labette County,KS,"Labette County, KS"
5.80506999,Kansas,Jefferson,Conventional,20087,Jefferson County,KS,"Jefferson County, KS"
5.897649457,Kansas,Neosho,Conventional,20133,Neosho County,KS,"Neosho County, KS"
5.743727037,Kansas,Osage,Conventional,20139,Osage County,KS,"Osage County, KS"
5.709699795,Kansas,Marion,Conventional,20115,Marion County,KS,"Marion County, KS"
5.732977318,Kansas,Brown,Conventional,20013,Brown County,KS,"Brown County, KS"
5.760074688,Kansas,Wilson,Conventional,20205,Wilson County,KS,"Wilson County, KS"
5.949895515,Kansas,Coffey,Conventional,20031,Coffey County,KS,"Coffey County, KS"
5.703548834,Kansas,Wabaunsee,Conventional,20197,Wabaunsee County,KS,"Wabaunsee County, KS"
5.819791637,Kansas,Ottawa,Conventional,20143,Ottawa County,KS,"Ottawa County, KS"
5.475624619,Kansas,Kearny,Conventional,20093,Kearny County,KS,"Kearny County, KS"
5.965241872,Kansas,Woodson,Conventional,20207,Woodson County,KS,"Woodson County, KS"
5.650337217,Kansas,Jewell,Conventional,20089,Jewell County,KS,"Jewell County, KS"
5.490193009,Kansas,Trego,Conventional,20195,Trego County,KS,"Trego County, KS"
5.525140563,Kansas,Gove,Conventional,20063,Gove County,KS,"Gove County, KS"
5.420937246,Kansas,Logan,Conventional,20109,Logan County,KS,"Logan County, KS"
5.358838764,Kansas,Hamilton,Conventional,20075,Hamilton County,KS,"Hamilton County, KS"
2.207961362,Maine,Penobscot,Conventional,23019,Penobscot County,ME,"Penobscot County, ME"
2.197690431,Maine,Kennebec,Conventional,23011,Kennebec County,ME,"Kennebec County, ME"
2.249517736,Maine,Aroostook,Conventional,23003,Aroostook County,ME,"Aroostook County, ME"
2.219277646,Maine,Somerset,Conventional,23025,Somerset County,ME,"Somerset County, ME"
2.195565817,Maine,Waldo,Conventional,23027,Waldo County,ME,"Waldo County, ME"
2.200043628,Maine,Piscataquis,Conventional,23021,Piscataquis County,ME,"Piscataquis County, ME"
2.19555954,Maryland,Anne Arundel,Conventional,24003,Anne Arundel County,MD,"Anne Arundel County, MD"
2.166821828,Maryland,Howard,Conventional,24027,Howard County,MD,"Howard County, MD"
2.180171162,Maryland,Frederick,Conventional,24021,Frederick County,MD,"Frederick County, MD"
2.155434024,Maryland,Harford,Conventional,24025,Harford County,MD,"Harford County, MD"
2.176398822,Maryland,Carroll,Conventional,24013,Carroll County,MD,"Carroll County, MD"
2.220579338,Maryland,Charles,Conventional,24017,Charles County,MD,"Charles County, MD"
2.18343866,Maryland,Washington,Conventional,24043,Washington County,MD,"Washington County, MD"
2.237755524,Maryland,Cecil,Conventional,24015,Cecil County,MD,"Cecil County, MD"
2.212667686,Maryland,Wicomico,Conventional,24045,Wicomico County,MD,"Wicomico County, MD"
