True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
2.545323225,Arizona,Maricopa,Conventional,4013,Maricopa County,AZ,"Maricopa County, AZ"
2.508094589,Arizona,Pima,Conventional,4019,Pima County,AZ,"Pima County, AZ"
2.483093288,Arizona,Pinal,Conventional,4021,Pinal County,AZ,"Pinal County, AZ"
2.529208692,Arizona,Yavapai,Conventional,4025,Yavapai County,AZ,"Yavapai County, AZ"
2.537569452,Arizona,Yuma,Conventional,4027,Yuma County,AZ,"Yuma County, AZ"
2.478631015,Arizona,Cochise,Conventional,4003,Cochise County,AZ,"Cochise County, AZ"
2.571546039,Arizona,Graham,Conventional,4009,Graham County,AZ,"Graham County, AZ"
2.719007277,Arizona,La Paz,Conventional,4012,La Paz County,AZ,"La Paz County, AZ"
1.79762135,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
2.713684222,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
2.031957418,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
1.771064841,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
1.555845278,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
1.714844227,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
1.744282584,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
1.627960554,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
1.828182802,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
1.656164932,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
1.715995054,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
1.5770741,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.991539596,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
1.731627444,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
1.736273332,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
1.612063802,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
1.42548244,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
1.581893926,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
1.560117534,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
1.663049315,California,Shasta,Conventional,6089,Shasta County,CA,"Shasta County, CA"
1.945769142,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
1.69765002,California,Madera,Conventional,6039,Madera County,CA,"Madera County, CA"
1.568825642,California,Kings,Conventional,6031,Kings County,CA,"Kings County, CA"
1.673469142,California,Humboldt,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
1.551907293,California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
1.716129,California,Lake,Conventional,6033,Lake County,CA,"Lake County, CA"
1.704458376,California,Tehama,Conventional,6103,Tehama County,CA,"Tehama County, CA"
1.746525917,California,San Benito,Conventional,6069,San Benito County,CA,"San Benito County, CA"
1.67750354,California,Siskiyou,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
1.662785858,California,Lassen,Conventional,6035,Lassen County,CA,"Lassen County, CA"
1.568694903,California,Glenn,Conventional,6021,Glenn County,CA,"Glenn County, CA"
1.554320819,California,Colusa,Conventional,6011,Colusa County,CA,"Colusa County, CA"
1.553376134,California,Plumas,Conventional,6063,Plumas County,CA,"Plumas County, CA"
1.589590961,California,Modoc,Conventional,6049,Modoc County,CA,"Modoc County, CA"
1.582372088,California,Sierra,Conventional,6091,Sierra County,CA,"Sierra County, CA"
2.427885256,Colorado,Adams,Conventional,8001,Adams County,CO,"Adams County, CO"
2.627755135,Colorado,Larimer,Conventional,8069,Larimer County,CO,"Larimer County, CO"
2.578316778,Colorado,Weld,Conventional,8123,Weld County,CO,"Weld County, CO"
2.751423365,Colorado,Boulder,Conventional,8013,Boulder County,CO,"Boulder County, CO"
2.605346851,Colorado,Garfield,Conventional,8045,Garfield County,CO,"Garfield County, CO"
2.527870689,Colorado,La Plata,Conventional,8067,La Plata County,CO,"La Plata County, CO"
2.750032008,Colorado,Montrose,Conventional,8085,Montrose County,CO,"Montrose County, CO"
2.980428697,Colorado,Delta,Conventional,8029,Delta County,CO,"Delta County, CO"
2.834668254,Colorado,Montezuma,Conventional,8083,Montezuma County,CO,"Montezuma County, CO"
2.431962937,Colorado,Logan,Conventional,8075,Logan County,CO,"Logan County, CO"
2.623810917,Colorado,Alamosa,Conventional,8003,Alamosa County,CO,"Alamosa County, CO"
2.774871395,Colorado,Archuleta,Conventional,8007,Archuleta County,CO,"Archuleta County, CO"
2.442093215,Colorado,Moffat,Conventional,8081,Moffat County,CO,"Moffat County, CO"
2.413211412,Colorado,Prowers,Conventional,8099,Prowers County,CO,"Prowers County, CO"
2.960402841,Colorado,Rio Grande,Conventional,8105,Rio Grande County,CO,"Rio Grande County, CO"
2.483325875,Colorado,Yuma,Conventional,8125,Yuma County,CO,"Yuma County, CO"
2.557386064,Colorado,Conejos,Conventional,8021,Conejos County,CO,"Conejos County, CO"
2.385036067,Colorado,Kit Carson,Conventional,8063,Kit Carson County,CO,"Kit Carson County, CO"
2.37570693,Colorado,Huerfano,Conventional,8055,Huerfano County,CO,"Huerfano County, CO"
2.568422861,Colorado,Saguache,Conventional,8109,Saguache County,CO,"Saguache County, CO"
2.448703082,Colorado,Crowley,Conventional,8025,Crowley County,CO,"Crowley County, CO"
2.405087125,Colorado,Lincoln,Conventional,8073,Lincoln County,CO,"Lincoln County, CO"
2.428801423,Colorado,Bent,Conventional,8011,Bent County,CO,"Bent County, CO"
2.38687057,Colorado,Washington,Conventional,8121,Washington County,CO,"Washington County, CO"
2.455375095,Colorado,Phillips,Conventional,8095,Phillips County,CO,"Phillips County, CO"
2.488318474,Colorado,Costilla,Conventional,8023,Costilla County,CO,"Costilla County, CO"
2.398068566,Colorado,Baca,Conventional,8009,Baca County,CO,"Baca County, CO"
2.46086027,Colorado,Dolores,Conventional,8033,Dolores County,CO,"Dolores County, CO"
2.348107765,Colorado,Cheyenne,Conventional,8017,Cheyenne County,CO,"Cheyenne County, CO"
2.301938698,Delaware,New Castle,Conventional,10003,New Castle County,DE,"New Castle County, DE"
2.406141208,Delaware,Sussex,Conventional,10005,Sussex County,DE,"Sussex County, DE"
2.370837728,Delaware,Kent,Conventional,10001,Kent County,DE,"Kent County, DE"
2.381484968,Idaho,Ada,Conventional,16001,Ada County,ID,"Ada County, ID"
2.912453452,Idaho,Canyon,Conventional,16027,Canyon County,ID,"Canyon County, ID"
2.67080654,Idaho,Kootenai,Conventional,16055,Kootenai County,ID,"Kootenai County, ID"
1.881316688,Idaho,Bonneville,Conventional,16019,Bonneville County,ID,"Bonneville County, ID"
1.542930764,Idaho,Twin Falls,Conventional,16083,Twin Falls County,ID,"Twin Falls County, ID"
2.44368853,Idaho,Bannock,Conventional,16005,Bannock County,ID,"Bannock County, ID"
2.625552817,Idaho,Madison,Conventional,16065,Madison County,ID,"Madison County, ID"
2.0239665,Idaho,Bingham,Conventional,16011,Bingham County,ID,"Bingham County, ID"
3.178587802,Idaho,Bonner,Conventional,16017,Bonner County,ID,"Bonner County, ID"
2.91625693,Idaho,Nez Perce,Conventional,16069,Nez Perce County,ID,"Nez Perce County, ID"
2.59093614,Idaho,Latah,Conventional,16057,Latah County,ID,"Latah County, ID"
2.692517125,Idaho,Jefferson,Conventional,16051,Jefferson County,ID,"Jefferson County, ID"
2.685759635,Idaho,Elmore,Conventional,16039,Elmore County,ID,"Elmore County, ID"
2.723888304,Idaho,Payette,Conventional,16075,Payette County,ID,"Payette County, ID"
2.626052757,Idaho,Cassia,Conventional,16031,Cassia County,ID,"Cassia County, ID"
2.596025182,Idaho,Jerome,Conventional,16053,Jerome County,ID,"Jerome County, ID"
1.828368874,Idaho,Blaine,Conventional,16013,Blaine County,ID,"Blaine County, ID"
1.540330169,Idaho,Minidoka,Conventional,16067,Minidoka County,ID,"Minidoka County, ID"
2.488710596,Idaho,Gem,Conventional,16045,Gem County,ID,"Gem County, ID"
3.021375268,Idaho,Idaho,Conventional,16049,Idaho County,ID,"Idaho County, ID"
2.657493801,Idaho,Gooding,Conventional,16047,Gooding County,ID,"Gooding County, ID"
2.637408094,Idaho,Franklin,Conventional,16041,Franklin County,ID,"Franklin County, ID"
2.615306659,Idaho,Fremont,Conventional,16043,Fremont County,ID,"Fremont County, ID"
2.691136813,Idaho,Boundary,Conventional,16021,Boundary County,ID,"Boundary County, ID"
2.652671623,Idaho,Owyhee,Conventional,16073,Owyhee County,ID,"Owyhee County, ID"
2.52125969,Idaho,Teton,Conventional,16081,Teton County,ID,"Teton County, ID"
2.680352067,Idaho,Washington,Conventional,16087,Washington County,ID,"Washington County, ID"
3.740317939,Idaho,Benewah,Conventional,16009,Benewah County,ID,"Benewah County, ID"
2.573265418,Idaho,Clearwater,Conventional,16035,Clearwater County,ID,"Clearwater County, ID"
2.906968032,Idaho,Lemhi,Conventional,16059,Lemhi County,ID,"Lemhi County, ID"
1.981443572,Idaho,Power,Conventional,16077,Power County,ID,"Power County, ID"
2.628787819,Idaho,Caribou,Conventional,16029,Caribou County,ID,"Caribou County, ID"
2.642894057,Idaho,Bear Lake,Conventional,16007,Bear Lake County,ID,"Bear Lake County, ID"
2.543387588,Idaho,Lincoln,Conventional,16063,Lincoln County,ID,"Lincoln County, ID"
2.437469681,Idaho,Oneida,Conventional,16071,Oneida County,ID,"Oneida County, ID"
2.648155217,Idaho,Custer,Conventional,16037,Custer County,ID,"Custer County, ID"
2.559238049,Idaho,Lewis,Conventional,16061,Lewis County,ID,"Lewis County, ID"
2.532526792,Idaho,Butte,Conventional,16023,Butte County,ID,"Butte County, ID"
2.502309574,Idaho,Camas,Conventional,16025,Camas County,ID,"Camas County, ID"
2.79691297,Idaho,Clark,Conventional,16033,Clark County,ID,"Clark County, ID"
5.783643598,Kansas,Sedgwick,Conventional,20173,Sedgwick County,KS,"Sedgwick County, KS"
5.929652878,Kansas,Shawnee,Conventional,20177,Shawnee County,KS,"Shawnee County, KS"
5.927154571,Kansas,Douglas,Conventional,20045,Douglas County,KS,"Douglas County, KS"
5.840543093,Kansas,Reno,Conventional,20155,Reno County,KS,"Reno County, KS"
6.03215145,Kansas,Crawford,Conventional,20037,Crawford County,KS,"Crawford County, KS"
5.765084442,Kansas,Cowley,Conventional,20035,Cowley County,KS,"Cowley County, KS"
5.885632863,Kansas,Harvey,Conventional,20079,Harvey County,KS,"Harvey County, KS"
5.871541816,Kansas,McPherson,Conventional,20113,McPherson County,KS,"McPherson County, KS"
5.473471566,Kansas,Ellis,Conventional,20051,Ellis County,KS,"Ellis County, KS"
5.712680024,Kansas,Barton,Conventional,20009,Barton County,KS,"Barton County, KS"
5.710457777,Kansas,Sumner,Conventional,20191,Sumner County,KS,"Sumner County, KS"
6.02353686,Kansas,Labette,Conventional,20099,Labette County,KS,"Labette County, KS"
5.877872816,Kansas,Jefferson,Conventional,20087,Jefferson County,KS,"Jefferson County, KS"
5.973117362,Kansas,Neosho,Conventional,20133,Neosho County,KS,"Neosho County, KS"
5.817333109,Kansas,Osage,Conventional,20139,Osage County,KS,"Osage County, KS"
5.788622469,Kansas,Marion,Conventional,20115,Marion County,KS,"Marion County, KS"
5.805858921,Kansas,Brown,Conventional,20013,Brown County,KS,"Brown County, KS"
5.838067538,Kansas,Wilson,Conventional,20205,Wilson County,KS,"Wilson County, KS"
6.025586073,Kansas,Coffey,Conventional,20031,Coffey County,KS,"Coffey County, KS"
5.779349953,Kansas,Wabaunsee,Conventional,20197,Wabaunsee County,KS,"Wabaunsee County, KS"
6.013190647,Kansas,Greenwood,Conventional,20073,Greenwood County,KS,"Greenwood County, KS"
5.90042779,Kansas,Ottawa,Conventional,20143,Ottawa County,KS,"Ottawa County, KS"
5.678656726,Kansas,Stevens,Conventional,20189,Stevens County,KS,"Stevens County, KS"
5.6059185,Kansas,Phillips,Conventional,20147,Phillips County,KS,"Phillips County, KS"
5.703202511,Kansas,Rooks,Conventional,20163,Rooks County,KS,"Rooks County, KS"
5.569488426,Kansas,Kearny,Conventional,20093,Kearny County,KS,"Kearny County, KS"
5.541056895,Kansas,Osborne,Conventional,20141,Osborne County,KS,"Osborne County, KS"
6.042480251,Kansas,Woodson,Conventional,20207,Woodson County,KS,"Woodson County, KS"
5.73063557,Kansas,Jewell,Conventional,20089,Jewell County,KS,"Jewell County, KS"
5.577819196,Kansas,Trego,Conventional,20195,Trego County,KS,"Trego County, KS"
5.615240564,Kansas,Gove,Conventional,20063,Gove County,KS,"Gove County, KS"
5.513158711,Kansas,Logan,Conventional,20109,Logan County,KS,"Logan County, KS"
5.450651334,Kansas,Ness,Conventional,20135,Ness County,KS,"Ness County, KS"
5.570898927,Kansas,Cheyenne,Conventional,20023,Cheyenne County,KS,"Cheyenne County, KS"
5.576702354,Kansas,Rawlins,Conventional,20153,Rawlins County,KS,"Rawlins County, KS"
5.453837703,Kansas,Hamilton,Conventional,20075,Hamilton County,KS,"Hamilton County, KS"
2.241123739,Maine,Penobscot,Conventional,23019,Penobscot County,ME,"Penobscot County, ME"
2.213285601,Maine,Kennebec,Conventional,23011,Kennebec County,ME,"Kennebec County, ME"
2.287513277,Maine,Aroostook,Conventional,23003,Aroostook County,ME,"Aroostook County, ME"
2.252727907,Maine,Somerset,Conventional,23025,Somerset County,ME,"Somerset County, ME"
2.217413509,Maine,Waldo,Conventional,23027,Waldo County,ME,"Waldo County, ME"
2.237096165,Maine,Piscataquis,Conventional,23021,Piscataquis County,ME,"Piscataquis County, ME"
2.20324667,Maryland,Baltimore,Conventional,24005,Baltimore County,MD,"Baltimore County, MD"
2.207955498,Maryland,Anne Arundel,Conventional,24003,Anne Arundel County,MD,"Anne Arundel County, MD"
2.177682667,Maryland,Howard,Conventional,24027,Howard County,MD,"Howard County, MD"
2.188732394,Maryland,Frederick,Conventional,24021,Frederick County,MD,"Frederick County, MD"
2.163461475,Maryland,Harford,Conventional,24025,Harford County,MD,"Harford County, MD"
2.183343546,Maryland,Carroll,Conventional,24013,Carroll County,MD,"Carroll County, MD"
2.235582978,Maryland,Charles,Conventional,24017,Charles County,MD,"Charles County, MD"
2.194927769,Maryland,Washington,Conventional,24043,Washington County,MD,"Washington County, MD"
2.246170113,Maryland,Cecil,Conventional,24015,Cecil County,MD,"Cecil County, MD"
2.224384929,Maryland,Wicomico,Conventional,24045,Wicomico County,MD,"Wicomico County, MD"
2.303047754,Maryland,Calvert,Conventional,24009,Calvert County,MD,"Calvert County, MD"
2.18810754,Maryland,Allegany,Conventional,24001,Allegany County,MD,"Allegany County, MD"
2.177538811,Maryland,Worcester,Conventional,24047,Worcester County,MD,"Worcester County, MD"
2.21552115,Maryland,Talbot,Conventional,24041,Talbot County,MD,"Talbot County, MD"
2.27213006,Maryland,Caroline,Conventional,24011,Caroline County,MD,"Caroline County, MD"
2.250973674,Maryland,Dorchester,Conventional,24019,Dorchester County,MD,"Dorchester County, MD"
2.230442496,Maryland,Garrett,Conventional,24023,Garrett County,MD,"Garrett County, MD"
2.175426812,Maryland,Somerset,Conventional,24039,Somerset County,MD,"Somerset County, MD"
2.203860609,Maryland,Kent,Conventional,24029,Kent County,MD,"Kent County, MD"
4.3808659,Michigan,Kent,Conventional,26081,Kent County,MI,"Kent County, MI"
4.406721684,Michigan,Genesee,Conventional,26049,Genesee County,MI,"Genesee County, MI"
4.27841485,Michigan,Washtenaw,Conventional,26161,Washtenaw County,MI,"Washtenaw County, MI"
4.608341409,Michigan,Ottawa,Conventional,26139,Ottawa County,MI,"Ottawa County, MI"
4.340775235,Michigan,Kalamazoo,Conventional,26077,Kalamazoo County,MI,"Kalamazoo County, MI"
