True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.523448163,Arkansas,Benton,Conventional,5007,Benton County,AR,"Benton County, AR"
0.529522645,Arkansas,Sebastian,Conventional,5131,Sebastian County,AR,"Sebastian County, AR"
0.514504941,Arkansas,Faulkner,Conventional,5045,Faulkner County,AR,"Faulkner County, AR"
0.514309337,Arkansas,Saline,Conventional,5125,Saline County,AR,"Saline County, AR"
0.510631406,Arkansas,White,Conventional,5145,White County,AR,"White County, AR"
0.512308566,Arkansas,Lonoke,Conventional,5085,Lonoke County,AR,"Lonoke County, AR"
0.513951765,Arkansas,Jefferson,Conventional,5069,Jefferson County,AR,"Jefferson County, AR"
0.528862361,Arkansas,Crawford,Conventional,5033,Crawford County,AR,"Crawford County, AR"
0.510474662,Arkansas,Crittenden,Conventional,5035,Crittenden County,AR,"Crittenden County, AR"
0.521325262,Arkansas,Miller,Conventional,5091,Miller County,AR,"Miller County, AR"
0.519273549,Arkansas,Hempstead,Conventional,5057,Hempstead County,AR,"Hempstead County, AR"
0.517520629,Arkansas,Drew,Conventional,5043,Drew County,AR,"Drew County, AR"
0.530135252,Arkansas,Franklin,Conventional,5047,Franklin County,AR,"Franklin County, AR"
0.51253911,Arkansas,Arkansas,Conventional,5001,Arkansas County,AR,"Arkansas County, AR"
0.5085023,Arkansas,Cross,Conventional,5037,Cross County,AR,"Cross County, AR"
0.504912864,Arkansas,Clay,Conventional,5021,Clay County,AR,"Clay County, AR"
0.509329778,Arkansas,Fulton,Conventional,5049,Fulton County,AR,"Fulton County, AR"
0.531129923,Arkansas,Scott,Conventional,5127,Scott County,AR,"Scott County, AR"
0.51056381,Arkansas,Lee,Conventional,5077,Lee County,AR,"Lee County, AR"
0.518250468,Arkansas,Nevada,Conventional,5099,Nevada County,AR,"Nevada County, AR"
0.511337407,Arkansas,Monroe,Conventional,5095,Monroe County,AR,"Monroe County, AR"
0.520876583,Arkansas,Lafayette,Conventional,5073,Lafayette County,AR,"Lafayette County, AR"
0.782908906,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.79036404,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.786866691,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.779922607,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.773787714,California,San Bernardino,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
0.795862161,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.79369191,California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.789083638,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.792253785,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.789636487,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.782965399,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
0.788817826,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.790974036,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.796245204,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.79446812,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.786818688,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.790414982,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
0.791012242,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.80095536,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.781594869,California,Placer,Conventional,6061,Placer County,CA,"Placer County, CA"
0.792734793,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
0.797102071,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.795535285,California,Santa Cruz,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
0.78926422,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.784150775,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
0.816923977,California,Shasta,Conventional,6089,Shasta County,CA,"Shasta County, CA"
0.776540856,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
0.791175517,California,Madera,Conventional,6039,Madera County,CA,"Madera County, CA"
0.787633103,California,Kings,Conventional,6031,Kings County,CA,"Kings County, CA"
0.781143904,California,Nevada,Conventional,6057,Nevada County,CA,"Nevada County, CA"
0.78575936,California,Yuba,Conventional,6115,Yuba County,CA,"Yuba County, CA"
0.790453515,California,Tehama,Conventional,6103,Tehama County,CA,"Tehama County, CA"
0.801624461,California,San Benito,Conventional,6069,San Benito County,CA,"San Benito County, CA"
0.813013869,California,Siskiyou,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
0.780868295,California,Plumas,Conventional,6063,Plumas County,CA,"Plumas County, CA"
0.811689382,California,Modoc,Conventional,6049,Modoc County,CA,"Modoc County, CA"
0.256135279,Arizona,Maricopa,Organic,4013,Maricopa County,AZ,"Maricopa County, AZ"
0.249879562,Arizona,Pima,Organic,4019,Pima County,AZ,"Pima County, AZ"
0.2499981,Arizona,Yavapai,Organic,4025,Yavapai County,AZ,"Yavapai County, AZ"
0.250259013,Arizona,Mohave,Organic,4015,Mohave County,AZ,"Mohave County, AZ"
0.258925322,Arizona,Yuma,Organic,4027,Yuma County,AZ,"Yuma County, AZ"
0.244001991,Arizona,Coconino,Organic,4005,Coconino County,AZ,"Coconino County, AZ"
0.239488744,Arizona,Navajo,Organic,4017,Navajo County,AZ,"Navajo County, AZ"
0.236132791,Arizona,Apache,Organic,4001,Apache County,AZ,"Apache County, AZ"
0.251410755,Arizona,Santa Cruz,Organic,4023,Santa Cruz County,AZ,"Santa Cruz County, AZ"
0.298760988,California,Los Angeles,Organic,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.306216123,California,San Diego,Organic,6073,San Diego County,CA,"San Diego County, CA"
0.302718773,California,Orange,Organic,6059,Orange County,CA,"Orange County, CA"
0.295774689,California,Riverside,Organic,6065,Riverside County,CA,"Riverside County, CA"
0.289639796,California,San Bernardino,Organic,6071,San Bernardino County,CA,"San Bernardino County, CA"
0.311714244,California,Santa Clara,Organic,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.309543993,California,Alameda,Organic,6001,Alameda County,CA,"Alameda County, CA"
0.304935721,California,Sacramento,Organic,6067,Sacramento County,CA,"Sacramento County, CA"
0.308105867,California,Contra Costa,Organic,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.30548857,California,Fresno,Organic,6019,Fresno County,CA,"Fresno County, CA"
0.298817481,California,Kern,Organic,6029,Kern County,CA,"Kern County, CA"
0.304669909,California,Ventura,Organic,6111,Ventura County,CA,"Ventura County, CA"
0.306826118,California,San Joaquin,Organic,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.312097287,California,San Mateo,Organic,6081,San Mateo County,CA,"San Mateo County, CA"
0.310320202,California,Stanislaus,Organic,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.30267077,California,Tulare,Organic,6107,Tulare County,CA,"Tulare County, CA"
0.306267065,California,Solano,Organic,6095,Solano County,CA,"Solano County, CA"
0.306864324,California,Santa Barbara,Organic,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.316807443,California,Monterey,Organic,6053,Monterey County,CA,"Monterey County, CA"
0.297446951,California,Placer,Organic,6061,Placer County,CA,"Placer County, CA"
0.308586875,California,Merced,Organic,6047,Merced County,CA,"Merced County, CA"
0.312954154,California,San Luis Obispo,Organic,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.311387367,California,Santa Cruz,Organic,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
0.305116303,California,Yolo,Organic,6113,Yolo County,CA,"Yolo County, CA"
0.300002858,California,Butte,Organic,6007,Butte County,CA,"Butte County, CA"
0.33277606,California,Shasta,Organic,6089,Shasta County,CA,"Shasta County, CA"
0.292392938,California,Imperial,Organic,6025,Imperial County,CA,"Imperial County, CA"
0.307027599,California,Madera,Organic,6039,Madera County,CA,"Madera County, CA"
0.303485186,California,Kings,Organic,6031,Kings County,CA,"Kings County, CA"
0.296995986,California,Nevada,Organic,6057,Nevada County,CA,"Nevada County, CA"
0.301611442,California,Yuba,Organic,6115,Yuba County,CA,"Yuba County, CA"
0.306305597,California,Tehama,Organic,6103,Tehama County,CA,"Tehama County, CA"
0.317476543,California,San Benito,Organic,6069,San Benito County,CA,"San Benito County, CA"
0.328865951,California,Siskiyou,Organic,6093,Siskiyou County,CA,"Siskiyou County, CA"
0.296720378,California,Plumas,Organic,6063,Plumas County,CA,"Plumas County, CA"
0.327541465,California,Modoc,Organic,6049,Modoc County,CA,"Modoc County, CA"
0.249685282,Colorado,El Paso,Organic,8041,El Paso County,CO,"El Paso County, CO"
0.243026276,Colorado,Denver,Organic,8031,Denver County,CO,"Denver County, CO"
0.241463408,Colorado,Arapahoe,Organic,8005,Arapahoe County,CO,"Arapahoe County, CO"
0.241056854,Colorado,Jefferson,Organic,8059,Jefferson County,CO,"Jefferson County, CO"
