True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.531138448,Texas,Bosque,Organic,48035,Bosque County,TX,"Bosque County, TX"
0.357403145,Texas,Bosque,Organic,48035,Bosque County,TX,"Bosque County, TX"
0.658468941,Arkansas,Benton,Conventional,5007,Benton County,AR,"Benton County, AR"
0.664052479,Arkansas,Washington,Conventional,5143,Washington County,AR,"Washington County, AR"
0.674944767,Arkansas,Sebastian,Conventional,5131,Sebastian County,AR,"Sebastian County, AR"
0.655053738,Arkansas,Faulkner,Conventional,5045,Faulkner County,AR,"Faulkner County, AR"
0.659029877,Arkansas,Saline,Conventional,5125,Saline County,AR,"Saline County, AR"
0.64636284,Arkansas,White,Conventional,5145,White County,AR,"White County, AR"
0.651103424,Arkansas,Lonoke,Conventional,5085,Lonoke County,AR,"Lonoke County, AR"
0.654687011,Arkansas,Jefferson,Conventional,5069,Jefferson County,AR,"Jefferson County, AR"
0.669933529,Arkansas,Crawford,Conventional,5033,Crawford County,AR,"Crawford County, AR"
0.634664787,Arkansas,Crittenden,Conventional,5035,Crittenden County,AR,"Crittenden County, AR"
0.679502503,Arkansas,Miller,Conventional,5091,Miller County,AR,"Miller County, AR"
0.64511907,Arkansas,Baxter,Conventional,5005,Baxter County,AR,"Baxter County, AR"
0.65238335,Arkansas,Carroll,Conventional,5015,Carroll County,AR,"Carroll County, AR"
0.673227868,Arkansas,Logan,Conventional,5083,Logan County,AR,"Logan County, AR"
0.669779607,Arkansas,Yell,Conventional,5149,Yell County,AR,"Yell County, AR"
0.673046054,Arkansas,Hempstead,Conventional,5057,Hempstead County,AR,"Hempstead County, AR"
0.661596962,Arkansas,Drew,Conventional,5043,Drew County,AR,"Drew County, AR"
0.664415073,Arkansas,Franklin,Conventional,5047,Franklin County,AR,"Franklin County, AR"
0.651067268,Arkansas,Arkansas,Conventional,5001,Arkansas County,AR,"Arkansas County, AR"
0.637468436,Arkansas,Cross,Conventional,5037,Cross County,AR,"Cross County, AR"
0.656736547,Arkansas,Madison,Conventional,5087,Madison County,AR,"Madison County, AR"
0.62842011,Arkansas,Clay,Conventional,5021,Clay County,AR,"Clay County, AR"
0.637191583,Arkansas,Fulton,Conventional,5049,Fulton County,AR,"Fulton County, AR"
0.66515369,Arkansas,Bradley,Conventional,5011,Bradley County,AR,"Bradley County, AR"
0.676230891,Arkansas,Scott,Conventional,5127,Scott County,AR,"Scott County, AR"
0.641152228,Arkansas,Lee,Conventional,5077,Lee County,AR,"Lee County, AR"
0.669414947,Arkansas,Montgomery,Conventional,5097,Montgomery County,AR,"Montgomery County, AR"
0.671937611,Arkansas,Nevada,Conventional,5099,Nevada County,AR,"Nevada County, AR"
0.654825438,Arkansas,Newton,Conventional,5101,Newton County,AR,"Newton County, AR"
0.645945496,Arkansas,Monroe,Conventional,5095,Monroe County,AR,"Monroe County, AR"
0.677576932,Arkansas,Lafayette,Conventional,5073,Lafayette County,AR,"Lafayette County, AR"
1.083247113,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
1.082788447,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
1.0837502,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
1.066929341,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
1.063788924,California,San Bernardino,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
1.110440644,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
1.103984195,California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
1.090789279,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
1.101264222,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
1.105463497,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
1.084808024,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
1.090643621,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
1.096627975,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
1.108187602,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
1.101657807,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
1.106956228,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
1.099058699,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
1.09506913,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
1.105288914,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
1.114905408,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
1.087122016,California,Placer,Conventional,6061,Placer County,CA,"Placer County, CA"
1.110047059,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
1.105205239,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
1.111924078,California,Santa Cruz,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
1.103752796,California,Marin,Conventional,6041,Marin County,CA,"Marin County, CA"
1.092700388,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
1.09245246,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
1.08194446,California,El Dorado,Conventional,6017,El Dorado County,CA,"El Dorado County, CA"
1.098618628,California,Shasta,Conventional,6089,Shasta County,CA,"Shasta County, CA"
1.066926242,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
1.091467981,California,Madera,Conventional,6039,Madera County,CA,"Madera County, CA"
1.100261148,California,Kings,Conventional,6031,Kings County,CA,"Kings County, CA"
1.099435756,California,Napa,Conventional,6055,Napa County,CA,"Napa County, CA"
1.126332807,California,Humboldt,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
1.078259635,California,Nevada,Conventional,6057,Nevada County,CA,"Nevada County, CA"
1.108968574,California,Mendocino,Conventional,6045,Mendocino County,CA,"Mendocino County, CA"
1.084862775,California,Yuba,Conventional,6115,Yuba County,CA,"Yuba County, CA"
1.101700162,California,Lake,Conventional,6033,Lake County,CA,"Lake County, CA"
1.099101053,California,Tehama,Conventional,6103,Tehama County,CA,"Tehama County, CA"
1.115867161,California,San Benito,Conventional,6069,San Benito County,CA,"San Benito County, CA"
1.088537269,California,Tuolumne,Conventional,6109,Tuolumne County,CA,"Tuolumne County, CA"
1.088803792,California,Calaveras,Conventional,6009,Calaveras County,CA,"Calaveras County, CA"
1.106782679,California,Siskiyou,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
1.097790136,California,Glenn,Conventional,6021,Glenn County,CA,"Glenn County, CA"
1.080268882,California,Plumas,Conventional,6063,Plumas County,CA,"Plumas County, CA"
1.073646115,California,Inyo,Conventional,6027,Inyo County,CA,"Inyo County, CA"
1.087660225,California,Mariposa,Conventional,6043,Mariposa County,CA,"Mariposa County, CA"
1.110360068,California,Trinity,Conventional,6105,Trinity County,CA,"Trinity County, CA"
1.07898689,California,Modoc,Conventional,6049,Modoc County,CA,"Modoc County, CA"
0.52119832,Arizona,Maricopa,Organic,4013,Maricopa County,AZ,"Maricopa County, AZ"
0.523974077,Arizona,Pima,Organic,4019,Pima County,AZ,"Pima County, AZ"
0.516938097,Arizona,Yavapai,Organic,4025,Yavapai County,AZ,"Yavapai County, AZ"
0.523876972,Arizona,Mohave,Organic,4015,Mohave County,AZ,"Mohave County, AZ"
0.538713376,Arizona,Yuma,Organic,4027,Yuma County,AZ,"Yuma County, AZ"
0.512379327,Arizona,Coconino,Organic,4005,Coconino County,AZ,"Coconino County, AZ"
0.488283858,Arizona,Navajo,Organic,4017,Navajo County,AZ,"Navajo County, AZ"
0.480505128,Arizona,Apache,Organic,4001,Apache County,AZ,"Apache County, AZ"
0.517202553,Arizona,Santa Cruz,Organic,4023,Santa Cruz County,AZ,"Santa Cruz County, AZ"
0.503866111,Arizona,Graham,Organic,4009,Graham County,AZ,"Graham County, AZ"
0.495147322,Arizona,Greenlee,Organic,4011,Greenlee County,AZ,"Greenlee County, AZ"
0.599099196,California,Los Angeles,Organic,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.598640529,California,San Diego,Organic,6073,San Diego County,CA,"San Diego County, CA"
0.599602282,California,Orange,Organic,6059,Orange County,CA,"Orange County, CA"
0.582781424,California,Riverside,Organic,6065,Riverside County,CA,"Riverside County, CA"
0.579641007,California,San Bernardino,Organic,6071,San Bernardino County,CA,"San Bernardino County, CA"
0.626292727,California,Santa Clara,Organic,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.619836278,California,Alameda,Organic,6001,Alameda County,CA,"Alameda County, CA"
0.606641361,California,Sacramento,Organic,6067,Sacramento County,CA,"Sacramento County, CA"
0.617116305,California,Contra Costa,Organic,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.621315579,California,Fresno,Organic,6019,Fresno County,CA,"Fresno County, CA"
0.600660107,California,Kern,Organic,6029,Kern County,CA,"Kern County, CA"
0.606495704,California,Ventura,Organic,6111,Ventura County,CA,"Ventura County, CA"
0.612480058,California,San Joaquin,Organic,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.624039684,California,San Mateo,Organic,6081,San Mateo County,CA,"San Mateo County, CA"
0.61750989,California,Stanislaus,Organic,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.62280831,California,Sonoma,Organic,6097,Sonoma County,CA,"Sonoma County, CA"
0.614910782,California,Tulare,Organic,6107,Tulare County,CA,"Tulare County, CA"
0.610921212,California,Solano,Organic,6095,Solano County,CA,"Solano County, CA"
0.621140997,California,Santa Barbara,Organic,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.630757491,California,Monterey,Organic,6053,Monterey County,CA,"Monterey County, CA"
0.602974098,California,Placer,Organic,6061,Placer County,CA,"Placer County, CA"
0.625899142,California,Merced,Organic,6047,Merced County,CA,"Merced County, CA"
0.621057321,California,San Luis Obispo,Organic,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.627776161,California,Santa Cruz,Organic,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
0.619604878,California,Marin,Organic,6041,Marin County,CA,"Marin County, CA"
0.60855247,California,Yolo,Organic,6113,Yolo County,CA,"Yolo County, CA"
0.608304543,California,Butte,Organic,6007,Butte County,CA,"Butte County, CA"
0.597796542,California,El Dorado,Organic,6017,El Dorado County,CA,"El Dorado County, CA"
0.61447071,California,Shasta,Organic,6089,Shasta County,CA,"Shasta County, CA"
0.582778325,California,Imperial,Organic,6025,Imperial County,CA,"Imperial County, CA"
0.607320063,California,Madera,Organic,6039,Madera County,CA,"Madera County, CA"
0.616113231,California,Kings,Organic,6031,Kings County,CA,"Kings County, CA"
0.615287838,California,Napa,Organic,6055,Napa County,CA,"Napa County, CA"
0.642184889,California,Humboldt,Organic,6023,Humboldt County,CA,"Humboldt County, CA"
0.594111718,California,Nevada,Organic,6057,Nevada County,CA,"Nevada County, CA"
0.624820656,California,Mendocino,Organic,6045,Mendocino County,CA,"Mendocino County, CA"
0.600714857,California,Yuba,Organic,6115,Yuba County,CA,"Yuba County, CA"
0.617552244,California,Lake,Organic,6033,Lake County,CA,"Lake County, CA"
0.614953136,California,Tehama,Organic,6103,Tehama County,CA,"Tehama County, CA"
0.631719243,California,San Benito,Organic,6069,San Benito County,CA,"San Benito County, CA"
0.604389352,California,Tuolumne,Organic,6109,Tuolumne County,CA,"Tuolumne County, CA"
0.604655874,California,Calaveras,Organic,6009,Calaveras County,CA,"Calaveras County, CA"
0.622634761,California,Siskiyou,Organic,6093,Siskiyou County,CA,"Siskiyou County, CA"
0.613642218,California,Glenn,Organic,6021,Glenn County,CA,"Glenn County, CA"
0.596120965,California,Plumas,Organic,6063,Plumas County,CA,"Plumas County, CA"
0.589498197,California,Inyo,Organic,6027,Inyo County,CA,"Inyo County, CA"
0.603512308,California,Mariposa,Organic,6043,Mariposa County,CA,"Mariposa County, CA"
0.62621215,California,Trinity,Organic,6105,Trinity County,CA,"Trinity County, CA"
0.594838972,California,Modoc,Organic,6049,Modoc County,CA,"Modoc County, CA"
0.433842508,Colorado,El Paso,Organic,8041,El Paso County,CO,"El Paso County, CO"
0.431225838,Colorado,Denver,Organic,8031,Denver County,CO,"Denver County, CO"
0.429819882,Colorado,Arapahoe,Organic,8005,Arapahoe County,CO,"Arapahoe County, CO"
0.434813558,Colorado,Jefferson,Organic,8059,Jefferson County,CO,"Jefferson County, CO"
0.437698816,Colorado,Douglas,Organic,8035,Douglas County,CO,"Douglas County, CO"
0.432400395,Colorado,Larimer,Organic,8069,Larimer County,CO,"Larimer County, CO"
0.422221932,Colorado,Weld,Organic,8123,Weld County,CO,"Weld County, CO"
0.432593572,Colorado,Boulder,Organic,8013,Boulder County,CO,"Boulder County, CO"
0.470731044,Colorado,Mesa,Organic,8077,Mesa County,CO,"Mesa County, CO"
0.462999833,Colorado,Garfield,Organic,8045,Garfield County,CO,"Garfield County, CO"
0.481133675,Colorado,La Plata,Organic,8067,La Plata County,CO,"La Plata County, CO"
0.448746059,Colorado,Fremont,Organic,8043,Fremont County,CO,"Fremont County, CO"
0.482297902,Colorado,Montrose,Organic,8085,Montrose County,CO,"Montrose County, CO"
0.471600856,Colorado,Delta,Organic,8029,Delta County,CO,"Delta County, CO"
0.43105952,Colorado,Elbert,Organic,8039,Elbert County,CO,"Elbert County, CO"
0.488499192,Colorado,Montezuma,Organic,8083,Montezuma County,CO,"Montezuma County, CO"
0.453855435,Colorado,Routt,Organic,8107,Routt County,CO,"Routt County, CO"
0.4516902,Colorado,Chaffee,Organic,8015,Chaffee County,CO,"Chaffee County, CO"
0.445875263,Colorado,Park,Organic,8093,Park County,CO,"Park County, CO"
0.462785995,Colorado,Pitkin,Organic,8097,Pitkin County,CO,"Pitkin County, CO"
0.465880959,Colorado,Gunnison,Organic,8051,Gunnison County,CO,"Gunnison County, CO"
0.462503978,Colorado,Rio Grande,Organic,8105,Rio Grande County,CO,"Rio Grande County, CO"
0.44652504,Colorado,Huerfano,Organic,8055,Huerfano County,CO,"Huerfano County, CO"
0.462054609,Colorado,Saguache,Organic,8109,Saguache County,CO,"Saguache County, CO"
0.353973416,Florida,Broward,Organic,12011,Broward County,FL,"Broward County, FL"
0.347996293,Florida,Palm Beach,Organic,12099,Palm Beach County,FL,"Palm Beach County, FL"
0.331378942,Florida,Hillsborough,Organic,12057,Hillsborough County,FL,"Hillsborough County, FL"
0.32246491,Florida,Orange,Organic,12095,Orange County,FL,"Orange County, FL"
0.298200024,Florida,Duval,Organic,12031,Duval County,FL,"Duval County, FL"
0.333866483,Florida,Pinellas,Organic,12103,Pinellas County,FL,"Pinellas County, FL"
0.348593386,Florida,Lee,Organic,12071,Lee County,FL,"Lee County, FL"
0.331150642,Florida,Polk,Organic,12105,Polk County,FL,"Polk County, FL"
0.326823272,Florida,Pasco,Organic,12101,Pasco County,FL,"Pasco County, FL"
0.31668613,Florida,Volusia,Organic,12127,Volusia County,FL,"Volusia County, FL"
0.320748011,Florida,Seminole,Organic,12117,Seminole County,FL,"Seminole County, FL"
0.342828035,Florida,Sarasota,Organic,12115,Sarasota County,FL,"Sarasota County, FL"
0.338611199,Florida,Manatee,Organic,12081,Manatee County,FL,"Manatee County, FL"
0.328938921,Florida,Osceola,Organic,12097,Osceola County,FL,"Osceola County, FL"
0.32275106,Florida,Lake,Organic,12069,Lake County,FL,"Lake County, FL"
0.352696588,Florida,Collier,Organic,12021,Collier County,FL,"Collier County, FL"
0.31499609,Florida,Marion,Organic,12083,Marion County,FL,"Marion County, FL"
0.331556624,Florida,Escambia,Organic,12033,Escambia County,FL,"Escambia County, FL"
0.32508158,Florida,Leon,Organic,12073,Leon County,FL,"Leon County, FL"
0.309915639,Florida,Alachua,Organic,12001,Alachua County,FL,"Alachua County, FL"
0.325508222,Florida,Hernando,Organic,12053,Hernando County,FL,"Hernando County, FL"
0.344978807,Florida,Charlotte,Organic,12015,Charlotte County,FL,"Charlotte County, FL"
0.330084553,Florida,Santa Rosa,Organic,12113,Santa Rosa County,FL,"Santa Rosa County, FL"
0.332865475,Florida,Indian River,Organic,12061,Indian River County,FL,"Indian River County, FL"
0.340717551,Florida,Martin,Organic,12085,Martin County,FL,"Martin County, FL"
0.319981501,Florida,Citrus,Organic,12017,Citrus County,FL,"Citrus County, FL"
0.321225272,Florida,Sumter,Organic,12119,Sumter County,FL,"Sumter County, FL"
0.309804071,Florida,Flagler,Organic,12035,Flagler County,FL,"Flagler County, FL"
0.338809541,Florida,Highlands,Organic,12055,Highlands County,FL,"Highlands County, FL"
0.296545107,Florida,Nassau,Organic,12089,Nassau County,FL,"Nassau County, FL"
0.327265409,Florida,Walton,Organic,12131,Walton County,FL,"Walton County, FL"
0.308329935,Florida,Putnam,Organic,12107,Putnam County,FL,"Putnam County, FL"
0.308101635,Florida,Columbia,Organic,12023,Columbia County,FL,"Columbia County, FL"
0.321393656,Florida,Jackson,Organic,12063,Jackson County,FL,"Jackson County, FL"
0.312837053,Florida,Suwannee,Organic,12121,Suwannee County,FL,"Suwannee County, FL"
0.318757359,Florida,Gadsden,Organic,12039,Gadsden County,FL,"Gadsden County, FL"
0.352268913,Florida,Hendry,Organic,12051,Hendry County,FL,"Hendry County, FL"
0.340816722,Florida,DeSoto,Organic,12027,DeSoto County,FL,"DeSoto County, FL"
0.328690993,Florida,Wakulla,Organic,12129,Wakulla County,FL,"Wakulla County, FL"
0.305244269,Florida,Baker,Organic,12003,Baker County,FL,"Baker County, FL"
0.305812436,Florida,Bradford,Organic,12007,Bradford County,FL,"Bradford County, FL"
0.336830252,Florida,Hardee,Organic,12049,Hardee County,FL,"Hardee County, FL"
0.321825463,Florida,Holmes,Organic,12059,Holmes County,FL,"Holmes County, FL"
0.317570405,Florida,Madison,Organic,12079,Madison County,FL,"Madison County, FL"
0.306892987,Florida,Union,Organic,12125,Union County,FL,"Union County, FL"
0.321214942,Florida,Jefferson,Organic,12065,Jefferson County,FL,"Jefferson County, FL"
0.312559167,Florida,Hamilton,Organic,12047,Hamilton County,FL,"Hamilton County, FL"
0.251762799,Georgia,Fulton,Organic,13121,Fulton County,GA,"Fulton County, GA"
0.247344521,Georgia,Gwinnett,Organic,13135,Gwinnett County,GA,"Gwinnett County, GA"
0.252564432,Georgia,Cobb,Organic,13067,Cobb County,GA,"Cobb County, GA"
0.25388258,Georgia,Clayton,Organic,13063,Clayton County,GA,"Clayton County, GA"
