True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.597057223,California,Los Angeles County,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.593316613,California,San Diego County,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.59736894,California,Orange County,Conventional,6059,Orange County,CA,"Orange County, CA"
0.614409497,California,Alameda County,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.618305966,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.600486115,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.618150107,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.615396603,California,San Mateo County,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.621890717,California,Stanislaus County,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.615968085,California,Sonoma County,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
0.61695519,California,Solano County,Conventional,6095,Solano County,CA,"Solano County, CA"
0.601940797,California,Santa Barbara County,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.612123569,California,Monterey County,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.606356795,California,San Luis Obispo County,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.614513403,California,Marin County,Conventional,6041,Marin County,CA,"Marin County, CA"
0.619812601,California,Yolo County,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.62443641,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
0.616175896,California,Napa County,Conventional,6055,Napa County,CA,"Napa County, CA"
0.626306715,California,Humboldt County,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
0.412725436,Michigan,Wayne County,Conventional,26163,Wayne County,MI,"Wayne County, MI"
0.418640143,Michigan,Oakland County,Conventional,26125,Oakland County,MI,"Oakland County, MI"
0.414431957,Michigan,Macomb County,Conventional,26099,Macomb County,MI,"Macomb County, MI"
0.419887013,Michigan,Ottawa County,Conventional,26139,Ottawa County,MI,"Ottawa County, MI"
0.410639394,Michigan,Saginaw County,Conventional,26145,Saginaw County,MI,"Saginaw County, MI"
0.419211626,Michigan,Muskegon County,Conventional,26121,Muskegon County,MI,"Muskegon County, MI"
0.411426613,Michigan,Monroe County,Conventional,26115,Monroe County,MI,"Monroe County, MI"
0.421913177,Michigan,Berrien County,Conventional,26021,Berrien County,MI,"Berrien County, MI"
0.421237789,Michigan,Allegan County,Conventional,26005,Allegan County,MI,"Allegan County, MI"
0.409964006,Michigan,Bay County,Conventional,26017,Bay County,MI,"Bay County, MI"
0.412613605,Michigan,Grand Traverse County,Conventional,26055,Grand Traverse County,MI,"Grand Traverse County, MI"
0.420666307,Michigan,Van Buren County,Conventional,26159,Van Buren County,MI,"Van Buren County, MI"
0.41697765,Michigan,Marquette County,Conventional,26103,Marquette County,MI,"Marquette County, MI"
0.410223771,Michigan,Sanilac County,Conventional,26151,Sanilac County,MI,"Sanilac County, MI"
0.420198731,Michigan,Houghton County,Conventional,26061,Houghton County,MI,"Houghton County, MI"
0.414276098,Michigan,Delta County,Conventional,26041,Delta County,MI,"Delta County, MI"
0.408717136,Michigan,Chippewa County,Conventional,26033,Chippewa County,MI,"Chippewa County, MI"
0.407574172,Michigan,Emmet County,Conventional,26047,Emmet County,MI,"Emmet County, MI"
0.408769089,Michigan,Huron County,Conventional,26063,Huron County,MI,"Huron County, MI"
0.416562027,Michigan,Mason County,Conventional,26105,Mason County,MI,"Mason County, MI"
