True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.477266379,California,Los Angeles County,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.484172097,California,San Diego County,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.480932482,California,Orange County,Conventional,6059,Orange County,CA,"Orange County, CA"
0.474500086,California,Riverside County,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.468817156,California,San Bernardino County,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
0.489265128,California,Santa Clara County,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.487254715,California,Alameda County,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.482986144,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.48349819,California,Fresno County,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.477318518,California,Kern County,Conventional,6029,Kern County,CA,"Kern County, CA"
0.482739753,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.484737164,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.489619939,California,San Mateo County,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.487973714,California,Stanislaus County,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.480888076,California,Tulare County,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.484219163,California,Solano County,Conventional,6095,Solano County,CA,"Solano County, CA"
0.484772597,California,Santa Barbara County,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.493982926,California,Monterey County,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.476049165,California,Placer County,Conventional,6061,Placer County,CA,"Placer County, CA"
0.486368226,California,Merced County,Conventional,6047,Merced County,CA,"Merced County, CA"
0.490413757,California,San Luis Obispo County,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.488962178,California,Santa Cruz County,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
0.483153419,California,Yolo County,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.478416618,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
0.508774883,California,Shasta County,Conventional,6089,Shasta County,CA,"Shasta County, CA"
0.471367398,California,Imperial County,Conventional,6025,Imperial County,CA,"Imperial County, CA"
0.48492375,California,Madera County,Conventional,6039,Madera County,CA,"Madera County, CA"
0.481642296,California,Kings County,Conventional,6031,Kings County,CA,"Kings County, CA"
0.475631236,California,Nevada County,Conventional,6057,Nevada County,CA,"Nevada County, CA"
0.480919723,California,Sutter County,Conventional,6101,Sutter County,CA,"Sutter County, CA"
0.479906662,California,Yuba County,Conventional,6115,Yuba County,CA,"Yuba County, CA"
0.484254868,California,Tehama County,Conventional,6103,Tehama County,CA,"Tehama County, CA"
0.494602774,California,San Benito County,Conventional,6069,San Benito County,CA,"San Benito County, CA"
0.50515311,California,Siskiyou County,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
0.484875146,California,Amador County,Conventional,6005,Amador County,CA,"Amador County, CA"
0.478304236,California,Lassen County,Conventional,6035,Lassen County,CA,"Lassen County, CA"
0.475375986,California,Plumas County,Conventional,6063,Plumas County,CA,"Plumas County, CA"
0.503926252,California,Modoc County,Conventional,6049,Modoc County,CA,"Modoc County, CA"
0.40089175,Michigan,Wayne County,Conventional,26163,Wayne County,MI,"Wayne County, MI"
0.402559212,Michigan,Oakland County,Conventional,26125,Oakland County,MI,"Oakland County, MI"
0.398357536,Michigan,Macomb County,Conventional,26099,Macomb County,MI,"Macomb County, MI"
0.405850874,Michigan,Kent County,Conventional,26081,Kent County,MI,"Kent County, MI"
0.399894572,Michigan,Genesee County,Conventional,26049,Genesee County,MI,"Genesee County, MI"
0.402083386,Michigan,Washtenaw County,Conventional,26161,Washtenaw County,MI,"Washtenaw County, MI"
0.407314717,Michigan,Ottawa County,Conventional,26139,Ottawa County,MI,"Ottawa County, MI"
0.403388085,Michigan,Ingham County,Conventional,26065,Ingham County,MI,"Ingham County, MI"
0.405784798,Michigan,Kalamazoo County,Conventional,26077,Kalamazoo County,MI,"Kalamazoo County, MI"
0.402944796,Michigan,Livingston County,Conventional,26093,Livingston County,MI,"Livingston County, MI"
0.403924975,Michigan,Jackson County,Conventional,26075,Jackson County,MI,"Jackson County, MI"
0.402327958,Michigan,Monroe County,Conventional,26115,Monroe County,MI,"Monroe County, MI"
0.412283659,Michigan,Berrien County,Conventional,26021,Berrien County,MI,"Berrien County, MI"
0.405477013,Michigan,Calhoun County,Conventional,26025,Calhoun County,MI,"Calhoun County, MI"
0.407330925,Michigan,Allegan County,Conventional,26005,Allegan County,MI,"Allegan County, MI"
0.403206286,Michigan,Eaton County,Conventional,26045,Eaton County,MI,"Eaton County, MI"
0.403250705,Michigan,Lenawee County,Conventional,26091,Lenawee County,MI,"Lenawee County, MI"
0.398994867,Michigan,Lapeer County,Conventional,26087,Lapeer County,MI,"Lapeer County, MI"
0.40285082,Michigan,Clinton County,Conventional,26037,Clinton County,MI,"Clinton County, MI"
0.408615363,Michigan,Van Buren County,Conventional,26159,Van Buren County,MI,"Van Buren County, MI"
0.400896287,Michigan,Shiawassee County,Conventional,26155,Shiawassee County,MI,"Shiawassee County, MI"
0.404214125,Michigan,Ionia County,Conventional,26067,Ionia County,MI,"Ionia County, MI"
0.437063463,Michigan,Marquette County,Conventional,26103,Marquette County,MI,"Marquette County, MI"
0.404127312,Michigan,Barry County,Conventional,26015,Barry County,MI,"Barry County, MI"
0.407125536,Michigan,Cass County,Conventional,26027,Cass County,MI,"Cass County, MI"
0.433809467,Michigan,Delta County,Conventional,26041,Delta County,MI,"Delta County, MI"
0.42759838,Michigan,Chippewa County,Conventional,26033,Chippewa County,MI,"Chippewa County, MI"
0.436641041,Michigan,Dickinson County,Conventional,26043,Dickinson County,MI,"Dickinson County, MI"
0.435858839,Michigan,Menominee County,Conventional,26109,Menominee County,MI,"Menominee County, MI"
0.448918128,Michigan,Gogebic County,Conventional,26053,Gogebic County,MI,"Gogebic County, MI"
0.429110747,Michigan,Mackinac County,Conventional,26097,Mackinac County,MI,"Mackinac County, MI"
0.433295559,Michigan,Alger County,Conventional,26003,Alger County,MI,"Alger County, MI"
0.432009211,Michigan,Schoolcraft County,Conventional,26153,Schoolcraft County,MI,"Schoolcraft County, MI"
0.449342721,Michigan,Ontonagon County,Conventional,26131,Ontonagon County,MI,"Ontonagon County, MI"
0.430200374,Michigan,Luce County,Conventional,26095,Luce County,MI,"Luce County, MI"
0.599727757,Texas,Harris County,Conventional,48201,Harris County,TX,"Harris County, TX"
0.604561414,Texas,Dallas County,Conventional,48113,Dallas County,TX,"Dallas County, TX"
0.601420211,Texas,Tarrant County,Conventional,48439,Tarrant County,TX,"Tarrant County, TX"
0.617925175,Texas,Bexar County,Conventional,48029,Bexar County,TX,"Bexar County, TX"
0.612450953,Texas,Travis County,Conventional,48453,Travis County,TX,"Travis County, TX"
0.600995948,Texas,Collin County,Conventional,48085,Collin County,TX,"Collin County, TX"
0.599568423,Texas,Denton County,Conventional,48121,Denton County,TX,"Denton County, TX"
0.629571749,Texas,Hidalgo County,Conventional,48215,Hidalgo County,TX,"Hidalgo County, TX"
0.622894165,Texas,El Paso County,Conventional,48141,El Paso County,TX,"El Paso County, TX"
0.615013907,Texas,Fort Bend County,Conventional,48157,Fort Bend County,TX,"Fort Bend County, TX"
0.612503763,Texas,Montgomery County,Conventional,48339,Montgomery County,TX,"Montgomery County, TX"
0.611537161,Texas,Williamson County,Conventional,48491,Williamson County,TX,"Williamson County, TX"
0.628024909,Texas,Cameron County,Conventional,48061,Cameron County,TX,"Cameron County, TX"
0.602130509,Texas,Brazoria County,Conventional,48039,Brazoria County,TX,"Brazoria County, TX"
0.608242365,Texas,Bell County,Conventional,48027,Bell County,TX,"Bell County, TX"
0.621887382,Texas,Nueces County,Conventional,48355,Nueces County,TX,"Nueces County, TX"
0.60160899,Texas,Galveston County,Conventional,48167,Galveston County,TX,"Galveston County, TX"
0.610574438,Texas,Lubbock County,Conventional,48303,Lubbock County,TX,"Lubbock County, TX"
0.605766324,Texas,McLennan County,Conventional,48309,McLennan County,TX,"McLennan County, TX"
0.599205884,Texas,Jefferson County,Conventional,48245,Jefferson County,TX,"Jefferson County, TX"
