True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.739527394,California,Los Angeles County,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.739068728,California,San Diego County,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.740030481,California,Orange County,Conventional,6059,Orange County,CA,"Orange County, CA"
0.723209623,California,Riverside County,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.720069206,California,San Bernardino County,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
0.766720926,California,Santa Clara County,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.760264476,California,Alameda County,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.74706956,California,Sacramento County,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.761743778,California,Fresno County,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.741088306,California,Kern County,Conventional,6029,Kern County,CA,"Kern County, CA"
0.746923903,California,Ventura County,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.752908256,California,San Joaquin County,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.764467883,California,San Mateo County,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.757938089,California,Stanislaus County,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.763236509,California,Sonoma County,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
0.75533898,California,Tulare County,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.751349411,California,Solano County,Conventional,6095,Solano County,CA,"Solano County, CA"
0.761569196,California,Santa Barbara County,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.77118569,California,Monterey County,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.743402297,California,Placer County,Conventional,6061,Placer County,CA,"Placer County, CA"
0.766327341,California,Merced County,Conventional,6047,Merced County,CA,"Merced County, CA"
0.76148552,California,San Luis Obispo County,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.76820436,California,Santa Cruz County,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
0.760033077,California,Marin County,Conventional,6041,Marin County,CA,"Marin County, CA"
0.748980669,California,Yolo County,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.748732741,California,Butte County,Conventional,6007,Butte County,CA,"Butte County, CA"
0.738224741,California,El Dorado County,Conventional,6017,El Dorado County,CA,"El Dorado County, CA"
0.754898909,California,Shasta County,Conventional,6089,Shasta County,CA,"Shasta County, CA"
0.723206524,California,Imperial County,Conventional,6025,Imperial County,CA,"Imperial County, CA"
0.747748262,California,Madera County,Conventional,6039,Madera County,CA,"Madera County, CA"
0.75654143,California,Kings County,Conventional,6031,Kings County,CA,"Kings County, CA"
0.755716037,California,Napa County,Conventional,6055,Napa County,CA,"Napa County, CA"
0.782613088,California,Humboldt County,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
0.734539916,California,Nevada County,Conventional,6057,Nevada County,CA,"Nevada County, CA"
0.745384685,California,Sutter County,Conventional,6101,Sutter County,CA,"Sutter County, CA"
0.765248855,California,Mendocino County,Conventional,6045,Mendocino County,CA,"Mendocino County, CA"
0.741143056,California,Yuba County,Conventional,6115,Yuba County,CA,"Yuba County, CA"
0.757980443,California,Lake County,Conventional,6033,Lake County,CA,"Lake County, CA"
0.755381335,California,Tehama County,Conventional,6103,Tehama County,CA,"Tehama County, CA"
0.772147442,California,San Benito County,Conventional,6069,San Benito County,CA,"San Benito County, CA"
0.744817551,California,Tuolumne County,Conventional,6109,Tuolumne County,CA,"Tuolumne County, CA"
0.745084073,California,Calaveras County,Conventional,6009,Calaveras County,CA,"Calaveras County, CA"
0.76306296,California,Siskiyou County,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
0.741395116,California,Amador County,Conventional,6005,Amador County,CA,"Amador County, CA"
0.740811453,California,Lassen County,Conventional,6035,Lassen County,CA,"Lassen County, CA"
0.754070417,California,Glenn County,Conventional,6021,Glenn County,CA,"Glenn County, CA"
0.736549163,California,Plumas County,Conventional,6063,Plumas County,CA,"Plumas County, CA"
0.729926396,California,Inyo County,Conventional,6027,Inyo County,CA,"Inyo County, CA"
0.743940507,California,Mariposa County,Conventional,6043,Mariposa County,CA,"Mariposa County, CA"
0.724231291,California,Mono County,Conventional,6051,Mono County,CA,"Mono County, CA"
0.735267171,California,Modoc County,Conventional,6049,Modoc County,CA,"Modoc County, CA"
0.294636373,Michigan,Wayne County,Conventional,26163,Wayne County,MI,"Wayne County, MI"
0.294133286,Michigan,Oakland County,Conventional,26125,Oakland County,MI,"Oakland County, MI"
0.29001872,Michigan,Macomb County,Conventional,26099,Macomb County,MI,"Macomb County, MI"
0.313602838,Michigan,Kent County,Conventional,26081,Kent County,MI,"Kent County, MI"
0.294992769,Michigan,Genesee County,Conventional,26049,Genesee County,MI,"Genesee County, MI"
0.299919298,Michigan,Washtenaw County,Conventional,26161,Washtenaw County,MI,"Washtenaw County, MI"
0.316220541,Michigan,Ottawa County,Conventional,26139,Ottawa County,MI,"Ottawa County, MI"
0.303646477,Michigan,Ingham County,Conventional,26065,Ingham County,MI,"Ingham County, MI"
0.314495378,Michigan,Kalamazoo County,Conventional,26077,Kalamazoo County,MI,"Kalamazoo County, MI"
0.300331478,Michigan,Livingston County,Conventional,26093,Livingston County,MI,"Livingston County, MI"
0.301255008,Michigan,Saginaw County,Conventional,26145,Saginaw County,MI,"Saginaw County, MI"
0.320727659,Michigan,Muskegon County,Conventional,26121,Muskegon County,MI,"Muskegon County, MI"
