True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
17.89824207,Alabama,Mobile,Conventional,1097,Mobile County,AL,"Mobile County, AL"
15.88248445,Alabama,Morgan,Conventional,1103,Morgan County,AL,"Morgan County, AL"
16.7692213,Alabama,Marshall,Conventional,1095,Marshall County,AL,"Marshall County, AL"
12.02878844,Alabama,Lauderdale,Conventional,1077,Lauderdale County,AL,"Lauderdale County, AL"
13.95855361,Alabama,Colbert,Conventional,1033,Colbert County,AL,"Colbert County, AL"
16.21291923,Alabama,Jackson,Conventional,1071,Jackson County,AL,"Jackson County, AL"
19.49206387,Arkansas,Phillips,Conventional,5107,Phillips County,AR,"Phillips County, AR"
11.38756929,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
10.81283396,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
10.54033778,California,Colusa,Conventional,6011,Colusa County,CA,"Colusa County, CA"
13.45394601,Florida,Marion,Conventional,12083,Marion County,FL,"Marion County, FL"
11.10446501,Florida,Escambia,Conventional,12033,Escambia County,FL,"Escambia County, FL"
11.26929378,Florida,Okaloosa,Conventional,12091,Okaloosa County,FL,"Okaloosa County, FL"
13.47006202,Florida,Gulf,Conventional,12045,Gulf County,FL,"Gulf County, FL"
16.60714543,Mississippi,Jackson,Conventional,28059,Jackson County,MS,"Jackson County, MS"
16.12380431,Mississippi,Washington,Conventional,28151,Washington County,MS,"Washington County, MS"
15.24920626,Mississippi,Warren,Conventional,28149,Warren County,MS,"Warren County, MS"
14.98159692,Mississippi,Adams,Conventional,28001,Adams County,MS,"Adams County, MS"
13.85924939,Missouri,Scott,Conventional,29201,Scott County,MO,"Scott County, MO"
19.15250763,North Carolina,Onslow,Conventional,37133,Onslow County,NC,"Onslow County, NC"
13.441635,North Carolina,Brunswick,Conventional,37019,Brunswick County,NC,"Brunswick County, NC"
13.74723394,North Carolina,Craven,Conventional,37049,Craven County,NC,"Craven County, NC"
12.48239625,North Carolina,Carteret,Conventional,37031,Carteret County,NC,"Carteret County, NC"
13.12018902,North Carolina,Beaufort,Conventional,37013,Beaufort County,NC,"Beaufort County, NC"
12.40748217,North Carolina,Chowan,Conventional,37041,Chowan County,NC,"Chowan County, NC"
14.52307249,North Carolina,Perquimans,Conventional,37143,Perquimans County,NC,"Perquimans County, NC"
13.01904809,North Carolina,Pamlico,Conventional,37137,Pamlico County,NC,"Pamlico County, NC"
13.62870701,North Carolina,Washington,Conventional,37187,Washington County,NC,"Washington County, NC"
12.98478995,North Carolina,Camden,Conventional,37029,Camden County,NC,"Camden County, NC"
12.75740569,North Carolina,Hyde,Conventional,37095,Hyde County,NC,"Hyde County, NC"
12.59627101,North Carolina,Tyrrell,Conventional,37177,Tyrrell County,NC,"Tyrrell County, NC"
16.15631679,Oklahoma,Washita,Conventional,40149,Washita County,OK,"Washita County, OK"
17.1752883,South Carolina,Horry,Conventional,45051,Horry County,SC,"Horry County, SC"
16.97921182,South Carolina,Georgetown,Conventional,45043,Georgetown County,SC,"Georgetown County, SC"
12.48547882,Tennessee,Shelby,Conventional,47157,Shelby County,TN,"Shelby County, TN"
12.96360108,Tennessee,Hardin,Conventional,47071,Hardin County,TN,"Hardin County, TN"
12.84005736,Tennessee,Decatur,Conventional,47039,Decatur County,TN,"Decatur County, TN"
11.31627067,Texas,Cameron,Conventional,48061,Cameron County,TX,"Cameron County, TX"
7.067595271,Texas,Brazoria,Conventional,48039,Brazoria County,TX,"Brazoria County, TX"
6.942404702,Texas,Nueces,Conventional,48355,Nueces County,TX,"Nueces County, TX"
8.207333043,Texas,Willacy,Conventional,48489,Willacy County,TX,"Willacy County, TX"
7.301551232,Texas,Calhoun,Conventional,48057,Calhoun County,TX,"Calhoun County, TX"
9.082026799,Virginia,Accomack,Conventional,51001,Accomack County,VA,"Accomack County, VA"
9.886768516,Virginia,Northampton,Conventional,51131,Northampton County,VA,"Northampton County, VA"
9.324032198,Virginia,Northumberland,Conventional,51133,Northumberland County,VA,"Northumberland County, VA"
0.635945116,Texas,Cameron,Organic,48061,Cameron County,TX,"Cameron County, TX"
0.633930615,Texas,Brazoria,Organic,48039,Brazoria County,TX,"Brazoria County, TX"
0.637204179,Texas,Nueces,Organic,48355,Nueces County,TX,"Nueces County, TX"
0.637607079,Texas,Willacy,Organic,48489,Willacy County,TX,"Willacy County, TX"
0.636700554,Texas,Calhoun,Organic,48057,Calhoun County,TX,"Calhoun County, TX"
