True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.444127352,Massachusetts,Essex,Conventional,25009,Essex County,MA,"Essex County, MA"
0.442972229,Massachusetts,Suffolk,Conventional,25025,Suffolk County,MA,"Suffolk County, MA"
0.438876791,Massachusetts,Bristol,Conventional,25005,Bristol County,MA,"Bristol County, MA"
0.441869611,Massachusetts,Plymouth,Conventional,25023,Plymouth County,MA,"Plymouth County, MA"
0.440346948,Massachusetts,Barnstable,Conventional,25001,Barnstable County,MA,"Barnstable County, MA"
0.439769387,Massachusetts,Dukes,Conventional,25007,Dukes County,MA,"Dukes County, MA"
0.442499678,Massachusetts,Nantucket,Conventional,25019,Nantucket County,MA,"Nantucket County, MA"
0.349416701,New Jersey,Middlesex,Conventional,34023,Middlesex County,NJ,"Middlesex County, NJ"
0.35755507,New Jersey,Burlington,Conventional,34005,Burlington County,NJ,"Burlington County, NJ"
0.352146992,New Jersey,Atlantic,Conventional,34001,Atlantic County,NJ,"Atlantic County, NJ"
0.594590924,Oregon,Clackamas,Conventional,41005,Clackamas County,OR,"Clackamas County, OR"
0.583932286,Oregon,Lane,Conventional,41039,Lane County,OR,"Lane County, OR"
0.583092196,Oregon,Douglas,Conventional,41019,Douglas County,OR,"Douglas County, OR"
0.582304612,Oregon,Coos,Conventional,41011,Coos County,OR,"Coos County, OR"
0.58949788,Oregon,Clatsop,Conventional,41007,Clatsop County,OR,"Clatsop County, OR"
0.810348947,Maine,Cumberland,Organic,23005,Cumberland County,ME,"Cumberland County, ME"
0.808511251,Maine,York,Organic,23031,York County,ME,"York County, ME"
0.812764205,Maine,Kennebec,Organic,23011,Kennebec County,ME,"Kennebec County, ME"
0.814129351,Maine,Hancock,Organic,23009,Hancock County,ME,"Hancock County, ME"
0.813499284,Maine,Waldo,Organic,23027,Waldo County,ME,"Waldo County, ME"
0.810979015,Maine,Lincoln,Organic,23015,Lincoln County,ME,"Lincoln County, ME"
0.8183298,Maine,Washington,Organic,23029,Washington County,ME,"Washington County, ME"
0.687377227,Massachusetts,Essex,Organic,25009,Essex County,MA,"Essex County, MA"
0.686222103,Massachusetts,Suffolk,Organic,25025,Suffolk County,MA,"Suffolk County, MA"
0.682126666,Massachusetts,Bristol,Organic,25005,Bristol County,MA,"Bristol County, MA"
0.685119485,Massachusetts,Plymouth,Organic,25023,Plymouth County,MA,"Plymouth County, MA"
0.683596823,Massachusetts,Barnstable,Organic,25001,Barnstable County,MA,"Barnstable County, MA"
0.683019261,Massachusetts,Dukes,Organic,25007,Dukes County,MA,"Dukes County, MA"
0.685749553,Massachusetts,Nantucket,Organic,25019,Nantucket County,MA,"Nantucket County, MA"
0.680510831,Oregon,Clackamas,Organic,41005,Clackamas County,OR,"Clackamas County, OR"
0.669852193,Oregon,Lane,Organic,41039,Lane County,OR,"Lane County, OR"
0.669012103,Oregon,Douglas,Organic,41019,Douglas County,OR,"Douglas County, OR"
0.668224519,Oregon,Coos,Organic,41011,Coos County,OR,"Coos County, OR"
0.675417787,Oregon,Clatsop,Organic,41007,Clatsop County,OR,"Clatsop County, OR"
