True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.432645848,Massachusetts,Worcester,Conventional,25027,Worcester County,MA,"Worcester County, MA"
0.434703008,Massachusetts,Suffolk,Conventional,25025,Suffolk County,MA,"Suffolk County, MA"
0.434531057,Massachusetts,Norfolk,Conventional,25021,Norfolk County,MA,"Norfolk County, MA"
0.43567448,Massachusetts,Bristol,Conventional,25005,Bristol County,MA,"Bristol County, MA"
0.436077499,Massachusetts,Plymouth,Conventional,25023,Plymouth County,MA,"Plymouth County, MA"
0.351298931,New Jersey,Middlesex,Conventional,34023,Middlesex County,NJ,"Middlesex County, NJ"
0.354925475,New Jersey,Burlington,Conventional,34005,Burlington County,NJ,"Burlington County, NJ"
0.356427196,New Jersey,Atlantic,Conventional,34001,Atlantic County,NJ,"Atlantic County, NJ"
0.351993088,New Jersey,Hunterdon,Conventional,34019,Hunterdon County,NJ,"Hunterdon County, NJ"
0.439373735,Oregon,Clackamas,Conventional,41005,Clackamas County,OR,"Clackamas County, OR"
0.44915871,Oregon,Lane,Conventional,41039,Lane County,OR,"Lane County, OR"
0.492915506,Wisconsin,Dane,Conventional,55025,Dane County,WI,"Dane County, WI"
0.500848761,Wisconsin,Eau Claire,Conventional,55035,Eau Claire County,WI,"Eau Claire County, WI"
0.497903483,Wisconsin,Wood,Conventional,55141,Wood County,WI,"Wood County, WI"
0.500077586,Wisconsin,Portage,Conventional,55097,Portage County,WI,"Portage County, WI"
0.501076339,Wisconsin,Monroe,Conventional,55081,Monroe County,WI,"Monroe County, WI"
0.513339896,Wisconsin,Oneida,Conventional,55085,Oneida County,WI,"Oneida County, WI"
0.500992721,Wisconsin,Clark,Conventional,55019,Clark County,WI,"Clark County, WI"
0.514349573,Wisconsin,Lincoln,Conventional,55069,Lincoln County,WI,"Lincoln County, WI"
0.496692986,Wisconsin,Juneau,Conventional,55057,Juneau County,WI,"Juneau County, WI"
0.498763737,Wisconsin,Jackson,Conventional,55053,Jackson County,WI,"Jackson County, WI"
0.495836769,Wisconsin,Adams,Conventional,55001,Adams County,WI,"Adams County, WI"
0.518576989,Wisconsin,Sawyer,Conventional,55113,Sawyer County,WI,"Sawyer County, WI"
0.519975035,Wisconsin,Washburn,Conventional,55129,Washburn County,WI,"Washburn County, WI"
0.517432948,Wisconsin,Rusk,Conventional,55107,Rusk County,WI,"Rusk County, WI"
0.515997265,Wisconsin,Price,Conventional,55099,Price County,WI,"Price County, WI"
0.502055404,Wisconsin,Buffalo,Conventional,55011,Buffalo County,WI,"Buffalo County, WI"
0.520670286,Wisconsin,Iron,Conventional,55051,Iron County,WI,"Iron County, WI"
0.817453517,Maine,Cumberland,Organic,23005,Cumberland County,ME,"Cumberland County, ME"
0.819182927,Maine,York,Organic,23031,York County,ME,"York County, ME"
0.814597278,Maine,Kennebec,Organic,23011,Kennebec County,ME,"Kennebec County, ME"
0.816141011,Maine,Androscoggin,Organic,23001,Androscoggin County,ME,"Androscoggin County, ME"
0.817874487,Maine,Oxford,Organic,23017,Oxford County,ME,"Oxford County, ME"
0.811983375,Maine,Hancock,Organic,23009,Hancock County,ME,"Hancock County, ME"
0.81285175,Maine,Waldo,Organic,23027,Waldo County,ME,"Waldo County, ME"
0.819519593,Maine,Lincoln,Organic,23015,Lincoln County,ME,"Lincoln County, ME"
0.675895723,Massachusetts,Worcester,Organic,25027,Worcester County,MA,"Worcester County, MA"
0.677952882,Massachusetts,Suffolk,Organic,25025,Suffolk County,MA,"Suffolk County, MA"
0.677780932,Massachusetts,Norfolk,Organic,25021,Norfolk County,MA,"Norfolk County, MA"
0.678924354,Massachusetts,Bristol,Organic,25005,Bristol County,MA,"Bristol County, MA"
0.679327373,Massachusetts,Plymouth,Organic,25023,Plymouth County,MA,"Plymouth County, MA"
0.525293642,Oregon,Clackamas,Organic,41005,Clackamas County,OR,"Clackamas County, OR"
0.535078618,Oregon,Lane,Organic,41039,Lane County,OR,"Lane County, OR"
0.386734024,Wisconsin,Dane,Organic,55025,Dane County,WI,"Dane County, WI"
0.394667279,Wisconsin,Eau Claire,Organic,55035,Eau Claire County,WI,"Eau Claire County, WI"
0.391722001,Wisconsin,Wood,Organic,55141,Wood County,WI,"Wood County, WI"
0.393896104,Wisconsin,Portage,Organic,55097,Portage County,WI,"Portage County, WI"
0.394894857,Wisconsin,Monroe,Organic,55081,Monroe County,WI,"Monroe County, WI"
0.407158414,Wisconsin,Oneida,Organic,55085,Oneida County,WI,"Oneida County, WI"
0.394811239,Wisconsin,Clark,Organic,55019,Clark County,WI,"Clark County, WI"
0.392582255,Wisconsin,Jackson,Organic,55053,Jackson County,WI,"Jackson County, WI"
0.389655287,Wisconsin,Adams,Organic,55001,Adams County,WI,"Adams County, WI"
0.412395507,Wisconsin,Sawyer,Organic,55113,Sawyer County,WI,"Sawyer County, WI"
0.413793553,Wisconsin,Washburn,Organic,55129,Washburn County,WI,"Washburn County, WI"
0.411251466,Wisconsin,Rusk,Organic,55107,Rusk County,WI,"Rusk County, WI"
0.409815783,Wisconsin,Price,Organic,55099,Price County,WI,"Price County, WI"
0.395873922,Wisconsin,Buffalo,Organic,55011,Buffalo County,WI,"Buffalo County, WI"
0.414488804,Wisconsin,Iron,Organic,55051,Iron County,WI,"Iron County, WI"
