True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.460876221,Massachusetts,Middlesex,Conventional,25017,Middlesex County,MA,"Middlesex County, MA"
0.457068773,Massachusetts,Worcester,Conventional,25027,Worcester County,MA,"Worcester County, MA"
0.465545349,Massachusetts,Essex,Conventional,25009,Essex County,MA,"Essex County, MA"
0.461458411,Massachusetts,Suffolk,Conventional,25025,Suffolk County,MA,"Suffolk County, MA"
0.46195453,Massachusetts,Norfolk,Conventional,25021,Norfolk County,MA,"Norfolk County, MA"
0.464958323,Massachusetts,Bristol,Conventional,25005,Bristol County,MA,"Bristol County, MA"
0.465232978,Massachusetts,Plymouth,Conventional,25023,Plymouth County,MA,"Plymouth County, MA"
0.470342134,Massachusetts,Barnstable,Conventional,25001,Barnstable County,MA,"Barnstable County, MA"
0.472871084,Massachusetts,Dukes,Conventional,25007,Dukes County,MA,"Dukes County, MA"
0.475514151,Massachusetts,Nantucket,Conventional,25019,Nantucket County,MA,"Nantucket County, MA"
0.37345104,New Jersey,Middlesex,Conventional,34023,Middlesex County,NJ,"Middlesex County, NJ"
0.37990639,New Jersey,Burlington,Conventional,34005,Burlington County,NJ,"Burlington County, NJ"
0.382068812,New Jersey,Atlantic,Conventional,34001,Atlantic County,NJ,"Atlantic County, NJ"
0.37019,New Jersey,Hunterdon,Conventional,34019,Hunterdon County,NJ,"Hunterdon County, NJ"
0.726000847,Oregon,Washington,Conventional,41067,Washington County,OR,"Washington County, OR"
0.724112113,Oregon,Clackamas,Conventional,41005,Clackamas County,OR,"Clackamas County, OR"
0.722587006,Oregon,Lane,Conventional,41039,Lane County,OR,"Lane County, OR"
0.72137427,Oregon,Jackson,Conventional,41029,Jackson County,OR,"Jackson County, OR"
0.72862844,Oregon,Douglas,Conventional,41019,Douglas County,OR,"Douglas County, OR"
0.740950181,Oregon,Coos,Conventional,41011,Coos County,OR,"Coos County, OR"
0.735988023,Oregon,Clatsop,Conventional,41007,Clatsop County,OR,"Clatsop County, OR"
0.751241992,Oregon,Curry,Conventional,41015,Curry County,OR,"Curry County, OR"
0.583549633,Wisconsin,Dane,Conventional,55025,Dane County,WI,"Dane County, WI"
0.60844069,Wisconsin,Eau Claire,Conventional,55035,Eau Claire County,WI,"Eau Claire County, WI"
0.601094647,Wisconsin,Wood,Conventional,55141,Wood County,WI,"Wood County, WI"
0.575990829,Wisconsin,Portage,Conventional,55097,Portage County,WI,"Portage County, WI"
0.598982514,Wisconsin,Monroe,Conventional,55081,Monroe County,WI,"Monroe County, WI"
0.599605322,Wisconsin,Oneida,Conventional,55085,Oneida County,WI,"Oneida County, WI"
0.586066978,Wisconsin,Clark,Conventional,55019,Clark County,WI,"Clark County, WI"
0.584646317,Wisconsin,Lincoln,Conventional,55069,Lincoln County,WI,"Lincoln County, WI"
0.595241796,Wisconsin,Juneau,Conventional,55057,Juneau County,WI,"Juneau County, WI"
0.601084009,Wisconsin,Vilas,Conventional,55125,Vilas County,WI,"Vilas County, WI"
0.602315119,Wisconsin,Jackson,Conventional,55053,Jackson County,WI,"Jackson County, WI"
0.594785328,Wisconsin,Adams,Conventional,55001,Adams County,WI,"Adams County, WI"
0.601725192,Wisconsin,Sawyer,Conventional,55113,Sawyer County,WI,"Sawyer County, WI"
0.622997384,Wisconsin,Washburn,Conventional,55129,Washburn County,WI,"Washburn County, WI"
0.626094018,Wisconsin,Burnett,Conventional,55013,Burnett County,WI,"Burnett County, WI"
0.597004808,Wisconsin,Rusk,Conventional,55107,Rusk County,WI,"Rusk County, WI"
0.593168347,Wisconsin,Price,Conventional,55099,Price County,WI,"Price County, WI"
0.612529562,Wisconsin,Buffalo,Conventional,55011,Buffalo County,WI,"Buffalo County, WI"
0.606821775,Wisconsin,Iron,Conventional,55051,Iron County,WI,"Iron County, WI"
0.843218842,Maine,Cumberland,Organic,23005,Cumberland County,ME,"Cumberland County, ME"
0.83816191,Maine,York,Organic,23031,York County,ME,"York County, ME"
0.850100681,Maine,Kennebec,Organic,23011,Kennebec County,ME,"Kennebec County, ME"
0.846175248,Maine,Androscoggin,Organic,23001,Androscoggin County,ME,"Androscoggin County, ME"
0.840090294,Maine,Oxford,Organic,23017,Oxford County,ME,"Oxford County, ME"
0.865472635,Maine,Hancock,Organic,23009,Hancock County,ME,"Hancock County, ME"
0.856522183,Maine,Waldo,Organic,23027,Waldo County,ME,"Waldo County, ME"
0.849005931,Maine,Lincoln,Organic,23015,Lincoln County,ME,"Lincoln County, ME"
0.871782921,Maine,Washington,Organic,23029,Washington County,ME,"Washington County, ME"
