True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.867264553,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.871793625,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.89519383,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.865428965,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.869958037,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.893358242,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.873441938,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.893184047,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.8901066,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.897364729,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.890745316,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
0.891848551,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
0.875067759,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.886448504,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.880003286,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.889119495,California,Marin,Conventional,6041,Marin County,CA,"Marin County, CA"
0.895042128,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.900209915,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
0.902300256,California,Humboldt,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
0.897771184,California,Colusa,Conventional,6011,Colusa County,CA,"Colusa County, CA"
0.475258859,Idaho,Nez Perce,Conventional,16069,Nez Perce County,ID,"Nez Perce County, ID"
0.244004469,Michigan,Macomb,Conventional,26099,Macomb County,MI,"Macomb County, MI"
0.239765722,Michigan,Saginaw,Conventional,26145,Saginaw County,MI,"Saginaw County, MI"
0.252365833,Michigan,Berrien,Conventional,26021,Berrien County,MI,"Berrien County, MI"
0.251610987,Michigan,Allegan,Conventional,26005,Allegan County,MI,"Allegan County, MI"
0.239010877,Michigan,Bay,Conventional,26017,Bay County,MI,"Bay County, MI"
0.241972193,Michigan,Grand Traverse,Conventional,26055,Grand Traverse County,MI,"Grand Traverse County, MI"
0.250972272,Michigan,Van Buren,Conventional,26159,Van Buren County,MI,"Van Buren County, MI"
0.239301202,Michigan,Sanilac,Conventional,26151,Sanilac County,MI,"Sanilac County, MI"
0.243830274,Michigan,Delta,Conventional,26041,Delta County,MI,"Delta County, MI"
0.237617316,Michigan,Chippewa,Conventional,26033,Chippewa County,MI,"Chippewa County, MI"
0.237675381,Michigan,Huron,Conventional,26063,Huron County,MI,"Huron County, MI"
0.246385135,Michigan,Mason,Conventional,26105,Mason County,MI,"Mason County, MI"
0.233320504,Michigan,Alpena,Conventional,26007,Alpena County,MI,"Alpena County, MI"
