True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.734195697,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.730822868,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.724125971,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.739498155,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.732960977,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.733494078,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.727060297,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
0.732360109,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.72898728,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.722290383,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.737662567,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.731125389,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.731658491,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.725224709,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
0.730868867,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.732948412,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.738031968,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.73631805,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.728941048,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.73240911,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
0.732985302,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.742574362,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.734646544,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
0.738858427,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.737347159,California,Santa Cruz,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
0.731299543,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.726367963,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
0.719028877,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
0.73314267,California,Madera,Conventional,6039,Madera County,CA,"Madera County, CA"
0.729726282,California,Kings,Conventional,6031,Kings County,CA,"Kings County, CA"
0.723468046,California,Nevada,Conventional,6057,Nevada County,CA,"Nevada County, CA"
0.728973997,California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
0.732446284,California,Tehama,Conventional,6103,Tehama County,CA,"Tehama County, CA"
0.743219698,California,San Benito,Conventional,6069,San Benito County,CA,"San Benito County, CA"
0.75292656,California,Modoc,Conventional,6049,Modoc County,CA,"Modoc County, CA"
0.332288314,Colorado,El Paso,Conventional,8041,El Paso County,CO,"El Paso County, CO"
0.324359199,Colorado,Arapahoe,Conventional,8005,Arapahoe County,CO,"Arapahoe County, CO"
0.324655843,Colorado,Adams,Conventional,8001,Adams County,CO,"Adams County, CO"
0.324051667,Colorado,Larimer,Conventional,8069,Larimer County,CO,"Larimer County, CO"
0.324944959,Colorado,Weld,Conventional,8123,Weld County,CO,"Weld County, CO"
0.324453214,Colorado,Boulder,Conventional,8013,Boulder County,CO,"Boulder County, CO"
0.33310187,Colorado,Pueblo,Conventional,8101,Pueblo County,CO,"Pueblo County, CO"
0.33732755,Colorado,Mesa,Conventional,8077,Mesa County,CO,"Mesa County, CO"
0.340115825,Colorado,Montrose,Conventional,8085,Montrose County,CO,"Montrose County, CO"
0.339886259,Colorado,Delta,Conventional,8029,Delta County,CO,"Delta County, CO"
0.319246784,Colorado,Morgan,Conventional,8087,Morgan County,CO,"Morgan County, CO"
0.316583153,Colorado,Logan,Conventional,8075,Logan County,CO,"Logan County, CO"
0.327813687,Colorado,Otero,Conventional,8089,Otero County,CO,"Otero County, CO"
0.329879455,Colorado,Las Animas,Conventional,8071,Las Animas County,CO,"Las Animas County, CO"
