True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.889274148,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.889929637,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.878465268,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.908120689,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.894727169,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.904728481,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.890650605,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
0.88743856,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.888094049,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.87662968,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.906285101,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.892891581,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.902892893,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.888815017,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
0.892792307,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.896870984,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.904749525,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.9002991,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.903910274,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
0.89852766,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.895808542,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
0.902773905,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.909328091,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.906016851,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
0.902716875,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.907296146,California,Santa Cruz,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
0.901726953,California,Marin,Conventional,6041,Marin County,CA,"Marin County, CA"
0.89419411,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.894025133,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
0.876627568,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
0.893354155,California,Madera,Conventional,6039,Madera County,CA,"Madera County, CA"
0.899347197,California,Kings,Conventional,6031,Kings County,CA,"Kings County, CA"
0.917116511,California,Humboldt,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
0.884351918,California,Nevada,Conventional,6057,Nevada County,CA,"Nevada County, CA"
0.891743243,California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
0.905281802,California,Mendocino,Conventional,6045,Mendocino County,CA,"Mendocino County, CA"
0.898556527,California,Tehama,Conventional,6103,Tehama County,CA,"Tehama County, CA"
0.90998358,California,San Benito,Conventional,6069,San Benito County,CA,"San Benito County, CA"
0.891538359,California,Calaveras,Conventional,6009,Calaveras County,CA,"Calaveras County, CA"
0.897663062,California,Glenn,Conventional,6021,Glenn County,CA,"Glenn County, CA"
0.894639786,California,Colusa,Conventional,6011,Colusa County,CA,"Colusa County, CA"
0.884847583,California,Modoc,Conventional,6049,Modoc County,CA,"Modoc County, CA"
0.429298205,Colorado,El Paso,Conventional,8041,El Paso County,CO,"El Paso County, CO"
0.426556557,Colorado,Arapahoe,Conventional,8005,Arapahoe County,CO,"Arapahoe County, CO"
0.425117438,Colorado,Adams,Conventional,8001,Adams County,CO,"Adams County, CO"
0.428315323,Colorado,Larimer,Conventional,8069,Larimer County,CO,"Larimer County, CO"
0.421378123,Colorado,Weld,Conventional,8123,Weld County,CO,"Weld County, CO"
0.428446984,Colorado,Boulder,Conventional,8013,Boulder County,CO,"Boulder County, CO"
0.433402228,Colorado,Pueblo,Conventional,8101,Pueblo County,CO,"Pueblo County, CO"
0.454439834,Colorado,Mesa,Conventional,8077,Mesa County,CO,"Mesa County, CO"
0.461529817,Colorado,La Plata,Conventional,8067,La Plata County,CO,"La Plata County, CO"
0.462323304,Colorado,Montrose,Conventional,8085,Montrose County,CO,"Montrose County, CO"
0.455032661,Colorado,Delta,Conventional,8029,Delta County,CO,"Delta County, CO"
0.418339358,Colorado,Morgan,Conventional,8087,Morgan County,CO,"Morgan County, CO"
0.466549835,Colorado,Montezuma,Conventional,8083,Montezuma County,CO,"Montezuma County, CO"
0.412830012,Colorado,Logan,Conventional,8075,Logan County,CO,"Logan County, CO"
