True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
1.202699828,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
1.198312693,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
1.203065423,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
1.223051261,California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
1.227621194,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
1.206721369,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
1.227438396,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
1.224208977,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
1.231825532,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
1.224879234,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
1.208427477,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
1.220370234,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
1.213606734,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
1.223173126,California,Marin,Conventional,6041,Marin County,CA,"Marin County, CA"
1.229388234,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
1.234811221,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
1.225122964,California,Napa,Conventional,6055,Napa County,CA,"Napa County, CA"
1.237004788,California,Humboldt,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
2.547688267,Delaware,New Castle,Conventional,10003,New Castle County,DE,"New Castle County, DE"
2.545616564,Delaware,Sussex,Conventional,10005,Sussex County,DE,"Sussex County, DE"
2.546043091,Delaware,Kent,Conventional,10001,Kent County,DE,"Kent County, DE"
1.242159116,Florida,Broward,Conventional,12011,Broward County,FL,"Broward County, FL"
1.240313641,Florida,Palm Beach,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
1.242194,Florida,Hillsborough,Conventional,12057,Hillsborough County,FL,"Hillsborough County, FL"
1.224036135,Florida,Duval,Conventional,12031,Duval County,FL,"Duval County, FL"
1.226839026,Florida,Volusia,Conventional,12127,Volusia County,FL,"Volusia County, FL"
1.233846256,Florida,Lake,Conventional,12069,Lake County,FL,"Lake County, FL"
1.232322945,Florida,Marion,Conventional,12083,Marion County,FL,"Marion County, FL"
