True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
1.062204394,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
1.070303693,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
1.066504144,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
1.058959976,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
1.076277001,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
1.073919109,California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
1.06891276,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
1.069513308,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
1.062265544,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
1.068623784,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
1.070966426,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
1.076693138,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
1.07476238,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
1.071007983,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
1.081810221,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
1.0728794,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
1.077624158,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
1.075921689,California,Santa Cruz,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
1.069108948,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
1.063553439,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
1.099158812,California,Shasta,Conventional,6089,Shasta County,CA,"Shasta County, CA"
1.055285836,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
1.071185261,California,Madera,Conventional,6039,Madera County,CA,"Madera County, CA"
1.060286634,California,Nevada,Conventional,6057,Nevada County,CA,"Nevada County, CA"
1.082537203,California,San Benito,Conventional,6069,San Benito County,CA,"San Benito County, CA"
1.094911054,California,Siskiyou,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
1.063421634,California,Lassen,Conventional,6035,Lassen County,CA,"Lassen County, CA"
1.093472147,California,Modoc,Conventional,6049,Modoc County,CA,"Modoc County, CA"
2.554536903,Delaware,New Castle,Conventional,10003,New Castle County,DE,"New Castle County, DE"
2.558679132,Delaware,Sussex,Conventional,10005,Sussex County,DE,"Sussex County, DE"
2.556687423,Delaware,Kent,Conventional,10001,Kent County,DE,"Kent County, DE"
1.271224035,Florida,Broward,Conventional,12011,Broward County,FL,"Broward County, FL"
1.267769299,Florida,Palm Beach,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
1.260352848,Florida,Hillsborough,Conventional,12057,Hillsborough County,FL,"Hillsborough County, FL"
1.258226697,Florida,Orange,Conventional,12095,Orange County,FL,"Orange County, FL"
1.249898901,Florida,Duval,Conventional,12031,Duval County,FL,"Duval County, FL"
1.260892158,Florida,Polk,Conventional,12105,Polk County,FL,"Polk County, FL"
1.256135767,Florida,Volusia,Conventional,12127,Volusia County,FL,"Volusia County, FL"
1.263095233,Florida,Manatee,Conventional,12081,Manatee County,FL,"Manatee County, FL"
1.254551194,Florida,Marion,Conventional,12083,Marion County,FL,"Marion County, FL"
1.250948304,Florida,Escambia,Conventional,12033,Escambia County,FL,"Escambia County, FL"
1.258339815,Florida,Leon,Conventional,12073,Leon County,FL,"Leon County, FL"
1.253694534,Florida,Alachua,Conventional,12001,Alachua County,FL,"Alachua County, FL"
1.254597412,Florida,Okaloosa,Conventional,12091,Okaloosa County,FL,"Okaloosa County, FL"
1.26363061,Florida,Hernando,Conventional,12053,Hernando County,FL,"Hernando County, FL"
1.253308365,Florida,Santa Rosa,Conventional,12113,Santa Rosa County,FL,"Santa Rosa County, FL"
1.266942645,Florida,Martin,Conventional,12085,Martin County,FL,"Martin County, FL"
1.257013208,Florida,Sumter,Conventional,12119,Sumter County,FL,"Sumter County, FL"
1.256499702,Florida,Walton,Conventional,12131,Walton County,FL,"Walton County, FL"
1.25310221,Florida,Putnam,Conventional,12107,Putnam County,FL,"Putnam County, FL"
1.252356768,Florida,Columbia,Conventional,12023,Columbia County,FL,"Columbia County, FL"
1.258557574,Florida,Jackson,Conventional,12063,Jackson County,FL,"Jackson County, FL"
1.253541364,Florida,Suwannee,Conventional,12121,Suwannee County,FL,"Suwannee County, FL"
