True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
1.388497677,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
1.387999373,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
1.38904424,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
1.370769727,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
1.418041266,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
1.411026852,California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
1.396691635,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
1.412633995,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
1.390193482,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
1.39653339,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
1.40303491,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
1.415593517,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
1.408499419,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
1.414255728,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
1.412444325,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
1.422891874,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
1.417613668,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
1.412353418,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
1.419652898,California,Santa Cruz,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
1.410775456,California,Marin,Conventional,6041,Marin County,CA,"Marin County, CA"
1.398767901,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
1.398498548,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
1.387082449,California,El Dorado,Conventional,6017,El Dorado County,CA,"El Dorado County, CA"
1.405197594,California,Shasta,Conventional,6089,Shasta County,CA,"Shasta County, CA"
1.37076636,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
1.39742899,California,Madera,Conventional,6039,Madera County,CA,"Madera County, CA"
1.406085338,California,Napa,Conventional,6055,Napa County,CA,"Napa County, CA"
1.435306826,California,Humboldt,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
1.383079182,California,Nevada,Conventional,6057,Nevada County,CA,"Nevada County, CA"
1.41644198,California,Mendocino,Conventional,6045,Mendocino County,CA,"Mendocino County, CA"
1.408545433,California,Lake,Conventional,6033,Lake County,CA,"Lake County, CA"
1.423936741,California,San Benito,Conventional,6069,San Benito County,CA,"San Benito County, CA"
1.394534562,California,Calaveras,Conventional,6009,Calaveras County,CA,"Calaveras County, CA"
1.41406718,California,Siskiyou,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
1.389892703,California,Lassen,Conventional,6035,Lassen County,CA,"Lassen County, CA"
1.417953727,California,Trinity,Conventional,6105,Trinity County,CA,"Trinity County, CA"
1.383869286,California,Modoc,Conventional,6049,Modoc County,CA,"Modoc County, CA"
2.576183754,Delaware,New Castle,Conventional,10003,New Castle County,DE,"New Castle County, DE"
2.588925297,Delaware,Sussex,Conventional,10005,Sussex County,DE,"Sussex County, DE"
2.58354945,Delaware,Kent,Conventional,10001,Kent County,DE,"Kent County, DE"
1.426714835,Florida,Broward,Conventional,12011,Broward County,FL,"Broward County, FL"
1.420221172,Florida,Palm Beach,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
1.402167753,Florida,Hillsborough,Conventional,12057,Hillsborough County,FL,"Hillsborough County, FL"
1.392483373,Florida,Orange,Conventional,12095,Orange County,FL,"Orange County, FL"
1.366121521,Florida,Duval,Conventional,12031,Duval County,FL,"Duval County, FL"
1.401919724,Florida,Polk,Conventional,12105,Polk County,FL,"Polk County, FL"
1.386205191,Florida,Volusia,Conventional,12127,Volusia County,FL,"Volusia County, FL"
