True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.550493819,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.54636175,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.550838159,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.569662029,California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.573966268,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.572015013,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.55428155,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.573794099,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.570752437,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.577926168,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.571383725,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
0.572474132,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
0.555888465,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.567136876,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.560766603,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.569776809,California,Marin,Conventional,6041,Marin County,CA,"Marin County, CA"
0.575630574,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.580738271,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
0.571613284,California,Napa,Conventional,6055,Napa County,CA,"Napa County, CA"
0.582804305,California,Humboldt,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
0.405569223,California,Los Angeles,Organic,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.401437154,California,San Diego,Organic,6073,San Diego County,CA,"San Diego County, CA"
0.405913562,California,Orange,Organic,6059,Orange County,CA,"Orange County, CA"
0.424737433,California,Alameda,Organic,6001,Alameda County,CA,"Alameda County, CA"
0.429041672,California,Sacramento,Organic,6067,Sacramento County,CA,"Sacramento County, CA"
0.427090417,California,Contra Costa,Organic,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.409356953,California,Ventura,Organic,6111,Ventura County,CA,"Ventura County, CA"
0.428869502,California,San Joaquin,Organic,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.42582784,California,San Mateo,Organic,6081,San Mateo County,CA,"San Mateo County, CA"
0.433001572,California,Stanislaus,Organic,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.426459129,California,Sonoma,Organic,6097,Sonoma County,CA,"Sonoma County, CA"
0.427549536,California,Solano,Organic,6095,Solano County,CA,"Solano County, CA"
0.410963869,California,Santa Barbara,Organic,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.42221228,California,Monterey,Organic,6053,Monterey County,CA,"Monterey County, CA"
0.415842006,California,San Luis Obispo,Organic,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.424852213,California,Marin,Organic,6041,Marin County,CA,"Marin County, CA"
0.430705977,California,Yolo,Organic,6113,Yolo County,CA,"Yolo County, CA"
0.435813674,California,Butte,Organic,6007,Butte County,CA,"Butte County, CA"
0.426688688,California,Napa,Organic,6055,Napa County,CA,"Napa County, CA"
0.437879709,California,Humboldt,Organic,6023,Humboldt County,CA,"Humboldt County, CA"
0.13826206,Connecticut,#N/A,Organic,9110,Capitol Planning Region,CT,"Capitol Planning Region, CT"
0.134015211,Connecticut,#N/A,Organic,9190,Western Connecticut Planning Region,CT,"Western Connecticut Planning Region, CT"
0.134646499,Connecticut,#N/A,Organic,9170,South Central Connecticut Planning Region,CT,"South Central Connecticut Planning Region, CT"
0.136999483,Connecticut,#N/A,Organic,9180,Southeastern Connecticut Planning Region,CT,"Southeastern Connecticut Planning Region, CT"
0.406506751,Idaho,Nez Perce,Organic,16069,Nez Perce County,ID,"Nez Perce County, ID"
0.370103387,Illinois,Cook,Organic,17031,Cook County,IL,"Cook County, IL"
0.368496471,Illinois,Lake,Organic,17097,Lake County,IL,"Lake County, IL"
0.386746443,Illinois,Will,Organic,17197,Will County,IL,"Will County, IL"
0.470917974,Illinois,Madison,Organic,17119,Madison County,IL,"Madison County, IL"
0.385024748,Illinois,Peoria,Organic,17143,Peoria County,IL,"Peoria County, IL"
0.383762171,Illinois,Tazewell,Organic,17179,Tazewell County,IL,"Tazewell County, IL"
0.464605091,Illinois,Jackson,Organic,17077,Jackson County,IL,"Jackson County, IL"
0.374694575,Illinois,Jersey,Organic,17083,Jersey County,IL,"Jersey County, IL"
0.378424915,Illinois,Scott,Organic,17171,Scott County,IL,"Scott County, IL"
0.375899761,Illinois,Calhoun,Organic,17013,Calhoun County,IL,"Calhoun County, IL"
0.251760646,Indiana,Vanderburgh,Organic,18163,Vanderburgh County,IN,"Vanderburgh County, IN"
0.21210426,Indiana,LaPorte,Organic,18091,LaPorte County,IN,"LaPorte County, IN"
0.252793664,Indiana,Warrick,Organic,18173,Warrick County,IN,"Warrick County, IN"
0.255950105,Indiana,Perry,Organic,18123,Perry County,IN,"Perry County, IN"
0.511595661,Iowa,Scott,Organic,19163,Scott County,IA,"Scott County, IA"
0.517162477,Iowa,Dubuque,Organic,19061,Dubuque County,IA,"Dubuque County, IA"
0.529616074,Iowa,Pottawattamie,Organic,19155,Pottawattamie County,IA,"Pottawattamie County, IA"
0.507004473,Iowa,Des Moines,Organic,19057,Des Moines County,IA,"Des Moines County, IA"
0.504766269,Iowa,Lee,Organic,19111,Lee County,IA,"Lee County, IA"
0.27450668,Kansas,Leavenworth,Organic,20103,Leavenworth County,KS,"Leavenworth County, KS"
0.358107526,Kentucky,Jefferson,Organic,21111,Jefferson County,KY,"Jefferson County, KY"
0.349556439,Kentucky,Daviess,Organic,21059,Daviess County,KY,"Daviess County, KY"
0.339283655,Kentucky,McCracken,Organic,21145,McCracken County,KY,"McCracken County, KY"
0.381235636,Kentucky,Laurel,Organic,21125,Laurel County,KY,"Laurel County, KY"
0.373373227,Kentucky,Greenup,Organic,21089,Greenup County,KY,"Greenup County, KY"
0.362411765,Kentucky,Gallatin,Organic,21077,Gallatin County,KY,"Gallatin County, KY"
0.367921191,Kentucky,Bracken,Organic,21023,Bracken County,KY,"Bracken County, KY"
0.195316192,Louisiana,#N/A,Organic,22033,East Baton Rouge Parish,LA,"East Baton Rouge Parish, LA"
0.188633604,Louisiana,#N/A,Organic,22071,Orleans Parish,LA,"Orleans Parish, LA"
0.198676828,Louisiana,#N/A,Organic,22019,Calcasieu Parish,LA,"Calcasieu Parish, LA"
0.191675266,Louisiana,#N/A,Organic,22109,Terrebonne Parish,LA,"Terrebonne Parish, LA"
0.09128051,Maine,Cumberland,Organic,23005,Cumberland County,ME,"Cumberland County, ME"
0.089271865,Maine,York,Organic,23031,York County,ME,"York County, ME"
0.096216037,Maine,Penobscot,Organic,23019,Penobscot County,ME,"Penobscot County, ME"
0.093920443,Maine,Kennebec,Organic,23011,Kennebec County,ME,"Kennebec County, ME"
0.101553293,Maine,Aroostook,Organic,23003,Aroostook County,ME,"Aroostook County, ME"
0.095412579,Maine,Hancock,Organic,23009,Hancock County,ME,"Hancock County, ME"
0.093690884,Maine,Knox,Organic,23013,Knox County,ME,"Knox County, ME"
0.094723901,Maine,Waldo,Organic,23027,Waldo County,ME,"Waldo County, ME"
0.092370917,Maine,Sagadahoc,Organic,23023,Sagadahoc County,ME,"Sagadahoc County, ME"
0.091969188,Maine,Lincoln,Organic,23015,Lincoln County,ME,"Lincoln County, ME"
0.100003767,Maine,Washington,Organic,23029,Washington County,ME,"Washington County, ME"
0.115576698,Maryland,Baltimore,Organic,24005,Baltimore County,MD,"Baltimore County, MD"
0.114371512,Maryland,Anne Arundel,Organic,24003,Anne Arundel County,MD,"Anne Arundel County, MD"
0.115806258,Maryland,Harford,Organic,24025,Harford County,MD,"Harford County, MD"
0.113625443,Maryland,Charles,Organic,24017,Charles County,MD,"Charles County, MD"
0.114658461,Maryland,Cecil,Organic,24015,Cecil County,MD,"Cecil County, MD"
0.112879375,Maryland,Wicomico,Organic,24045,Wicomico County,MD,"Wicomico County, MD"
0.112248087,Maryland,Calvert,Organic,24009,Calvert County,MD,"Calvert County, MD"
0.101344016,Maryland,Worcester,Organic,24047,Worcester County,MD,"Worcester County, MD"
0.110813341,Maryland,Somerset,Organic,24039,Somerset County,MD,"Somerset County, MD"
0.116265377,Maryland,Kent,Organic,24029,Kent County,MD,"Kent County, MD"
0.135692574,Massachusetts,Essex,Organic,25009,Essex County,MA,"Essex County, MA"
0.134429998,Massachusetts,Suffolk,Organic,25025,Suffolk County,MA,"Suffolk County, MA"
0.129953589,Massachusetts,Bristol,Organic,25005,Bristol County,MA,"Bristol County, MA"
0.133224811,Massachusetts,Plymouth,Organic,25023,Plymouth County,MA,"Plymouth County, MA"
0.131560505,Massachusetts,Barnstable,Organic,25001,Barnstable County,MA,"Barnstable County, MA"
0.130929217,Massachusetts,Dukes,Organic,25007,Dukes County,MA,"Dukes County, MA"
0.133913489,Massachusetts,Nantucket,Organic,25019,Nantucket County,MA,"Nantucket County, MA"
0.144937479,Michigan,Wayne,Organic,26163,Wayne County,MI,"Wayne County, MI"
0.151471168,Michigan,Oakland,Organic,26125,Oakland County,MI,"Oakland County, MI"
0.14682259,Michigan,Macomb,Organic,26099,Macomb County,MI,"Macomb County, MI"
0.152848524,Michigan,Ottawa,Organic,26139,Ottawa County,MI,"Ottawa County, MI"
0.142633131,Michigan,Saginaw,Organic,26145,Saginaw County,MI,"Saginaw County, MI"
0.152102456,Michigan,Muskegon,Organic,26121,Muskegon County,MI,"Muskegon County, MI"
0.143502733,Michigan,Monroe,Organic,26115,Monroe County,MI,"Monroe County, MI"
0.155086728,Michigan,Berrien,Organic,26021,Berrien County,MI,"Berrien County, MI"
0.15434066,Michigan,Allegan,Organic,26005,Allegan County,MI,"Allegan County, MI"
0.141887063,Michigan,Bay,Organic,26017,Bay County,MI,"Bay County, MI"
0.144813945,Michigan,Grand Traverse,Organic,26055,Grand Traverse County,MI,"Grand Traverse County, MI"
0.153709372,Michigan,Van Buren,Organic,26159,Van Buren County,MI,"Van Buren County, MI"
0.149634693,Michigan,Marquette,Organic,26103,Marquette County,MI,"Marquette County, MI"
0.142174012,Michigan,Sanilac,Organic,26151,Sanilac County,MI,"Sanilac County, MI"
0.153192863,Michigan,Houghton,Organic,26061,Houghton County,MI,"Houghton County, MI"
0.14665042,Michigan,Delta,Organic,26041,Delta County,MI,"Delta County, MI"
0.140509706,Michigan,Chippewa,Organic,26033,Chippewa County,MI,"Chippewa County, MI"
0.13924713,Michigan,Emmet,Organic,26047,Emmet County,MI,"Emmet County, MI"
0.140567096,Michigan,Huron,Organic,26063,Huron County,MI,"Huron County, MI"
0.149175574,Michigan,Mason,Organic,26105,Mason County,MI,"Mason County, MI"
0.149806862,Michigan,Oceana,Organic,26127,Oceana County,MI,"Oceana County, MI"
0.142460961,Michigan,Charlevoix,Organic,26029,Charlevoix County,MI,"Charlevoix County, MI"
0.138443672,Michigan,Cheboygan,Organic,26031,Cheboygan County,MI,"Cheboygan County, MI"
0.138041943,Michigan,Iosco,Organic,26069,Iosco County,MI,"Iosco County, MI"
0.147855607,Michigan,Manistee,Organic,26101,Manistee County,MI,"Manistee County, MI"
0.148142556,Michigan,Menominee,Organic,26109,Menominee County,MI,"Menominee County, MI"
0.146248691,Michigan,Benzie,Organic,26019,Benzie County,MI,"Benzie County, MI"
0.136262857,Michigan,Presque Isle,Organic,26141,Presque Isle County,MI,"Presque Isle County, MI"
0.138845401,Michigan,Mackinac,Organic,26097,Mackinac County,MI,"Mackinac County, MI"
0.145789573,Michigan,Alger,Organic,26003,Alger County,MI,"Alger County, MI"
0.156234525,Michigan,Ontonagon,Organic,26131,Ontonagon County,MI,"Ontonagon County, MI"
0.324107956,Minnesota,Hennepin,Organic,27053,Hennepin County,MN,"Hennepin County, MN"
0.323304498,Minnesota,Ramsey,Organic,27123,Ramsey County,MN,"Ramsey County, MN"
0.316819445,Minnesota,Winona,Organic,27169,Winona County,MN,"Winona County, MN"
0.187080372,Minnesota,Itasca,Organic,27061,Itasca County,MN,"Itasca County, MN"
0.189203797,Minnesota,Lake,Organic,27075,Lake County,MN,"Lake County, MN"
0.185416067,Minnesota,Cook,Organic,27031,Cook County,MN,"Cook County, MN"
0.368311854,Missouri,Jackson,Organic,29095,Jackson County,MO,"Jackson County, MO"
0.351324459,Missouri,Franklin,Organic,29071,Franklin County,MO,"Franklin County, MO"
0.373189992,Missouri,Buchanan,Organic,29021,Buchanan County,MO,"Buchanan County, MO"
0.340133438,Missouri,Cape Girardeau,Organic,29031,Cape Girardeau County,MO,"Cape Girardeau County, MO"
0.355686087,Missouri,Cole,Organic,29051,Cole County,MO,"Cole County, MO"
0.364351955,Missouri,Lafayette,Organic,29107,Lafayette County,MO,"Lafayette County, MO"
0.362572869,Missouri,Saline,Organic,29195,Saline County,MO,"Saline County, MO"
0.358785139,Missouri,Cooper,Organic,29053,Cooper County,MO,"Cooper County, MO"
0.353103544,Missouri,Gasconade,Organic,29073,Gasconade County,MO,"Gasconade County, MO"
0.356432155,Missouri,Lewis,Organic,29111,Lewis County,MO,"Lewis County, MO"
0.325369029,Nebraska,Douglas,Organic,31055,Douglas County,NE,"Douglas County, NE"
0.323991673,Nebraska,Cass,Organic,31025,Cass County,NE,"Cass County, NE"
0.322384757,Nebraska,Otoe,Organic,31131,Otoe County,NE,"Otoe County, NE"
0.063741278,New Hampshire,Rockingham,Organic,33015,Rockingham County,NH,"Rockingham County, NH"
0.106659912,New Jersey,Middlesex,Organic,34023,Middlesex County,NJ,"Middlesex County, NJ"
0.106200793,New Jersey,Essex,Organic,34013,Essex County,NJ,"Essex County, NJ"
0.10746337,New Jersey,Monmouth,Organic,34025,Monmouth County,NJ,"Monmouth County, NJ"
0.107807709,New Jersey,Ocean,Organic,34029,Ocean County,NJ,"Ocean County, NJ"
0.106086014,New Jersey,Union,Organic,34039,Union County,NJ,"Union County, NJ"
0.115555339,New Jersey,Burlington,Organic,34005,Burlington County,NJ,"Burlington County, NJ"
0.116244017,New Jersey,Mercer,Organic,34021,Mercer County,NJ,"Mercer County, NJ"
0.113833643,New Jersey,Gloucester,Organic,34015,Gloucester County,NJ,"Gloucester County, NJ"
0.109644184,New Jersey,Atlantic,Organic,34001,Atlantic County,NJ,"Atlantic County, NJ"
0.110906761,New Jersey,Cumberland,Organic,34011,Cumberland County,NJ,"Cumberland County, NJ"
0.110390252,New Jersey,Cape May,Organic,34009,Cape May County,NJ,"Cape May County, NJ"
0.113317135,New Jersey,Salem,Organic,34033,Salem County,NJ,"Salem County, NJ"
0.062127556,New York,Queens,Organic,36081,Queens County,NY,"Queens County, NY"
0.061381488,New York,New York,Organic,36061,New York County,NY,"New York County, NY"
0.067407423,New York,Suffolk,Organic,36103,Suffolk County,NY,"Suffolk County, NY"
0.063390133,New York,Nassau,Organic,36059,Nassau County,NY,"Nassau County, NY"
0.060463251,New York,Westchester,Organic,36119,Westchester County,NY,"Westchester County, NY"
0.071548246,New York,Erie,Organic,36029,Erie County,NY,"Erie County, NY"
0.067244007,New York,Monroe,Organic,36055,Monroe County,NY,"Monroe County, NY"
0.06356876,New York,Onondaga,Organic,36067,Onondaga County,NY,"Onondaga County, NY"
0.058798945,New York,Orange,Organic,36071,Orange County,NY,"Orange County, NY"
0.060061522,New York,Rockland,Organic,36087,Rockland County,NY,"Rockland County, NY"
0.054781656,New York,Albany,Organic,36001,Albany County,NY,"Albany County, NY"
