True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.527587227,Arizona,Maricopa,Conventional,4013,Maricopa County,AZ,"Maricopa County, AZ"
0.521186077,Arizona,Pima,Conventional,4019,Pima County,AZ,"Pima County, AZ"
0.523009985,Arizona,Pinal,Conventional,4021,Pinal County,AZ,"Pinal County, AZ"
0.521307452,Arizona,Yavapai,Conventional,4025,Yavapai County,AZ,"Yavapai County, AZ"
0.52157462,Arizona,Mohave,Conventional,4015,Mohave County,AZ,"Mohave County, AZ"
0.530442396,Arizona,Yuma,Conventional,4027,Yuma County,AZ,"Yuma County, AZ"
0.5151719,Arizona,Coconino,Conventional,4005,Coconino County,AZ,"Coconino County, AZ"
0.515975203,Arizona,Cochise,Conventional,4003,Cochise County,AZ,"Cochise County, AZ"
0.510553862,Arizona,Navajo,Conventional,4017,Navajo County,AZ,"Navajo County, AZ"
0.507119669,Arizona,Apache,Conventional,4001,Apache County,AZ,"Apache County, AZ"
0.522752852,Arizona,Santa Cruz,Conventional,4023,Santa Cruz County,AZ,"Santa Cruz County, AZ"
0.418166725,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.425795134,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.422216489,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.415110936,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.40883328,California,San Bernardino,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
0.431421157,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.429200351,California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.42448507,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.427728799,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.425050701,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.418224319,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
0.424212894,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.426419336,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.431813099,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.429994595,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.422167436,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.425847125,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
0.426458477,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.436632678,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.416822127,California,Placer,Conventional,6061,Placer County,CA,"Placer County, CA"
0.428221091,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
0.43268999,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.431086502,California,Santa Cruz,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
0.42466985,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.419437337,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
0.45297263,California,Shasta,Conventional,6089,Shasta County,CA,"Shasta County, CA"
0.411650408,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
0.426625448,California,Madera,Conventional,6039,Madera County,CA,"Madera County, CA"
0.423000586,California,Kings,Conventional,6031,Kings County,CA,"Kings County, CA"
0.416360462,California,Nevada,Conventional,6057,Nevada County,CA,"Nevada County, CA"
0.422202396,California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
0.421083316,California,Yuba,Conventional,6115,Yuba County,CA,"Yuba County, CA"
0.425886567,California,Tehama,Conventional,6103,Tehama County,CA,"Tehama County, CA"
0.437317393,California,San Benito,Conventional,6069,San Benito County,CA,"San Benito County, CA"
0.448971834,California,Siskiyou,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
0.426571758,California,Amador,Conventional,6005,Amador County,CA,"Amador County, CA"
0.419313194,California,Lassen,Conventional,6035,Lassen County,CA,"Lassen County, CA"
