True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.780659809,Arizona,Maricopa,Conventional,4013,Maricopa County,AZ,"Maricopa County, AZ"
0.783435566,Arizona,Pima,Conventional,4019,Pima County,AZ,"Pima County, AZ"
0.772248863,Arizona,Pinal,Conventional,4021,Pinal County,AZ,"Pinal County, AZ"
0.776399586,Arizona,Yavapai,Conventional,4025,Yavapai County,AZ,"Yavapai County, AZ"
0.783338461,Arizona,Mohave,Conventional,4015,Mohave County,AZ,"Mohave County, AZ"
0.798174865,Arizona,Yuma,Conventional,4027,Yuma County,AZ,"Yuma County, AZ"
0.771840816,Arizona,Coconino,Conventional,4005,Coconino County,AZ,"Coconino County, AZ"
0.767927691,Arizona,Cochise,Conventional,4003,Cochise County,AZ,"Cochise County, AZ"
0.747745347,Arizona,Navajo,Conventional,4017,Navajo County,AZ,"Navajo County, AZ"
0.739966617,Arizona,Apache,Conventional,4001,Apache County,AZ,"Apache County, AZ"
0.768469,Arizona,Gila,Conventional,4007,Gila County,AZ,"Gila County, AZ"
0.776664042,Arizona,Santa Cruz,Conventional,4023,Santa Cruz County,AZ,"Santa Cruz County, AZ"
0.754608811,Arizona,Greenlee,Conventional,4011,Greenlee County,AZ,"Greenlee County, AZ"
0.70900107,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.708542404,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.709504157,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.692683299,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.689542882,California,San Bernardino,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
0.736194602,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.729738153,California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.716543236,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.72701818,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.731217454,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.710561982,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
0.716397579,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.722381933,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.733941559,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.727411765,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.732710185,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
0.724812657,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.720823087,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
0.731042872,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.740659366,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.712875973,California,Placer,Conventional,6061,Placer County,CA,"Placer County, CA"
0.735801017,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
0.730959196,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.737678036,California,Santa Cruz,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
0.729506753,California,Marin,Conventional,6041,Marin County,CA,"Marin County, CA"
0.718454345,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.718206418,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
0.707698417,California,El Dorado,Conventional,6017,El Dorado County,CA,"El Dorado County, CA"
0.724372585,California,Shasta,Conventional,6089,Shasta County,CA,"Shasta County, CA"
0.6926802,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
0.717221938,California,Madera,Conventional,6039,Madera County,CA,"Madera County, CA"
0.726015106,California,Kings,Conventional,6031,Kings County,CA,"Kings County, CA"
0.725189713,California,Napa,Conventional,6055,Napa County,CA,"Napa County, CA"
0.752086764,California,Humboldt,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
0.704013593,California,Nevada,Conventional,6057,Nevada County,CA,"Nevada County, CA"
0.714858361,California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
0.734722531,California,Mendocino,Conventional,6045,Mendocino County,CA,"Mendocino County, CA"
0.710616732,California,Yuba,Conventional,6115,Yuba County,CA,"Yuba County, CA"
0.727454119,California,Lake,Conventional,6033,Lake County,CA,"Lake County, CA"
0.724855011,California,Tehama,Conventional,6103,Tehama County,CA,"Tehama County, CA"
0.741621118,California,San Benito,Conventional,6069,San Benito County,CA,"San Benito County, CA"
0.714291227,California,Tuolumne,Conventional,6109,Tuolumne County,CA,"Tuolumne County, CA"
0.714557749,California,Calaveras,Conventional,6009,Calaveras County,CA,"Calaveras County, CA"
0.732536636,California,Siskiyou,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
0.710868792,California,Amador,Conventional,6005,Amador County,CA,"Amador County, CA"
0.710285129,California,Lassen,Conventional,6035,Lassen County,CA,"Lassen County, CA"
0.70602284,California,Plumas,Conventional,6063,Plumas County,CA,"Plumas County, CA"
0.699400072,California,Inyo,Conventional,6027,Inyo County,CA,"Inyo County, CA"
0.713414183,California,Mariposa,Conventional,6043,Mariposa County,CA,"Mariposa County, CA"
0.736114025,California,Trinity,Conventional,6105,Trinity County,CA,"Trinity County, CA"
0.693704967,California,Mono,Conventional,6051,Mono County,CA,"Mono County, CA"
0.704740847,California,Modoc,Conventional,6049,Modoc County,CA,"Modoc County, CA"
0.704836919,California,Sierra,Conventional,6091,Sierra County,CA,"Sierra County, CA"
0.614553862,Arizona,Maricopa,Organic,4013,Maricopa County,AZ,"Maricopa County, AZ"
0.617329619,Arizona,Pima,Organic,4019,Pima County,AZ,"Pima County, AZ"
0.606142917,Arizona,Pinal,Organic,4021,Pinal County,AZ,"Pinal County, AZ"
0.610293639,Arizona,Yavapai,Organic,4025,Yavapai County,AZ,"Yavapai County, AZ"
0.617232514,Arizona,Mohave,Organic,4015,Mohave County,AZ,"Mohave County, AZ"
0.632068918,Arizona,Yuma,Organic,4027,Yuma County,AZ,"Yuma County, AZ"
0.605734869,Arizona,Coconino,Organic,4005,Coconino County,AZ,"Coconino County, AZ"
0.601821744,Arizona,Cochise,Organic,4003,Cochise County,AZ,"Cochise County, AZ"
0.5816394,Arizona,Navajo,Organic,4017,Navajo County,AZ,"Navajo County, AZ"
0.57386067,Arizona,Apache,Organic,4001,Apache County,AZ,"Apache County, AZ"
0.602363053,Arizona,Gila,Organic,4007,Gila County,AZ,"Gila County, AZ"
0.610558095,Arizona,Santa Cruz,Organic,4023,Santa Cruz County,AZ,"Santa Cruz County, AZ"
0.588502864,Arizona,Greenlee,Organic,4011,Greenlee County,AZ,"Greenlee County, AZ"
0.567370215,California,Los Angeles,Organic,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.566911549,California,San Diego,Organic,6073,San Diego County,CA,"San Diego County, CA"
0.567873301,California,Orange,Organic,6059,Orange County,CA,"Orange County, CA"
0.551052443,California,Riverside,Organic,6065,Riverside County,CA,"Riverside County, CA"
0.547912026,California,San Bernardino,Organic,6071,San Bernardino County,CA,"San Bernardino County, CA"
