True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
8.007679299,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
8.00364114,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
8.030618283,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
8.028711374,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
8.030450026,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
8.027477493,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
8.034488185,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
8.028094434,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
8.029160059,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
8.012951339,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
8.017718609,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
8.026524039,California,Marin,Conventional,6041,Marin County,CA,"Marin County, CA"
8.032244763,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
8.028318776,California,Napa,Conventional,6055,Napa County,CA,"Napa County, CA"
5.922872829,Idaho,Nez Perce,Conventional,16069,Nez Perce County,ID,"Nez Perce County, ID"
8.983936788,Illinois,Cook,Conventional,17031,Cook County,IL,"Cook County, IL"
8.982366393,Illinois,Lake,Conventional,17097,Lake County,IL,"Lake County, IL"
9.000201594,Illinois,Will,Conventional,17197,Will County,IL,"Will County, IL"
8.998519027,Illinois,Peoria,Conventional,17143,Peoria County,IL,"Peoria County, IL"
8.997285146,Illinois,Tazewell,Conventional,17179,Tazewell County,IL,"Tazewell County, IL"
9.090031683,Illinois,Adams,Conventional,17001,Adams County,IL,"Adams County, IL"
9.076290726,Illinois,Jackson,Conventional,17077,Jackson County,IL,"Jackson County, IL"
8.991508336,Illinois,Pike,Conventional,17149,Pike County,IL,"Pike County, IL"
9.307172608,Iowa,Scott,Conventional,19163,Scott County,IA,"Scott County, IA"
9.331233302,Iowa,Woodbury,Conventional,19193,Woodbury County,IA,"Woodbury County, IA"
9.312612905,Iowa,Dubuque,Conventional,19061,Dubuque County,IA,"Dubuque County, IA"
9.324783466,Iowa,Pottawattamie,Conventional,19155,Pottawattamie County,IA,"Pottawattamie County, IA"
