True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
7.868164143,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
7.875108722,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
7.865382282,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
7.873916096,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
7.87686905,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
7.874431023,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
7.868216575,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
7.87567697,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
7.880587223,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
7.878931734,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
7.87180622,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
7.875156053,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
7.875712602,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
7.877317211,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
7.881385507,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
7.874084312,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
7.862231965,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
7.875864606,California,Madera,Conventional,6039,Madera County,CA,"Madera County, CA"
7.872564685,California,Kings,Conventional,6031,Kings County,CA,"Kings County, CA"
7.871838046,California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
7.87519196,California,Tehama,Conventional,6103,Tehama County,CA,"Tehama County, CA"
7.885598098,California,San Benito,Conventional,6069,San Benito County,CA,"San Benito County, CA"
7.896207807,California,Siskiyou,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
7.866263112,California,Plumas,Conventional,6063,Plumas County,CA,"Plumas County, CA"
7.894974045,California,Modoc,Conventional,6049,Modoc County,CA,"Modoc County, CA"
5.734870535,Idaho,Ada,Conventional,16001,Ada County,ID,"Ada County, ID"
5.736142972,Idaho,Canyon,Conventional,16027,Canyon County,ID,"Canyon County, ID"
5.709855529,Idaho,Kootenai,Conventional,16055,Kootenai County,ID,"Kootenai County, ID"
5.721544251,Idaho,Bonneville,Conventional,16019,Bonneville County,ID,"Bonneville County, ID"
5.725230773,Idaho,Bannock,Conventional,16005,Bannock County,ID,"Bannock County, ID"
5.723058398,Idaho,Bingham,Conventional,16011,Bingham County,ID,"Bingham County, ID"
5.707075248,Idaho,Bonner,Conventional,16017,Bonner County,ID,"Bonner County, ID"
5.720243772,Idaho,Jefferson,Conventional,16051,Jefferson County,ID,"Jefferson County, ID"
5.733192005,Idaho,Elmore,Conventional,16039,Elmore County,ID,"Elmore County, ID"
5.727303935,Idaho,Minidoka,Conventional,16067,Minidoka County,ID,"Minidoka County, ID"
5.730240551,Idaho,Gooding,Conventional,16047,Gooding County,ID,"Gooding County, ID"
5.730780969,Idaho,Franklin,Conventional,16041,Franklin County,ID,"Franklin County, ID"
5.705495106,Idaho,Boundary,Conventional,16021,Boundary County,ID,"Boundary County, ID"
5.730792638,Idaho,Washington,Conventional,16087,Washington County,ID,"Washington County, ID"
5.712257168,Idaho,Benewah,Conventional,16009,Benewah County,ID,"Benewah County, ID"
5.683585172,Idaho,Caribou,Conventional,16029,Caribou County,ID,"Caribou County, ID"
5.681643778,Idaho,Bear Lake,Conventional,16007,Bear Lake County,ID,"Bear Lake County, ID"
5.728288212,Idaho,Lincoln,Conventional,16063,Lincoln County,ID,"Lincoln County, ID"
5.686811398,Idaho,Oneida,Conventional,16071,Oneida County,ID,"Oneida County, ID"
5.724945122,Idaho,Butte,Conventional,16023,Butte County,ID,"Butte County, ID"
8.969050857,Illinois,Cook,Conventional,17031,Cook County,IL,"Cook County, IL"
8.970982395,Illinois,Lake,Conventional,17097,Lake County,IL,"Lake County, IL"
8.969115454,Illinois,Will,Conventional,17197,Will County,IL,"Will County, IL"
8.971069113,Illinois,Kane,Conventional,17089,Kane County,IL,"Kane County, IL"
8.971875875,Illinois,McHenry,Conventional,17111,McHenry County,IL,"McHenry County, IL"
8.972777891,Illinois,Winnebago,Conventional,17201,Winnebago County,IL,"Winnebago County, IL"
8.974691515,Illinois,Champaign,Conventional,17019,Champaign County,IL,"Champaign County, IL"
8.977213996,Illinois,Sangamon,Conventional,17167,Sangamon County,IL,"Sangamon County, IL"
8.976606512,Illinois,Peoria,Conventional,17143,Peoria County,IL,"Peoria County, IL"
8.974774389,Illinois,McLean,Conventional,17113,McLean County,IL,"McLean County, IL"
8.979588486,Illinois,Rock Island,Conventional,17161,Rock Island County,IL,"Rock Island County, IL"
8.971239628,Illinois,Kendall,Conventional,17093,Kendall County,IL,"Kendall County, IL"
8.976580878,Illinois,Tazewell,Conventional,17179,Tazewell County,IL,"Tazewell County, IL"
8.970207734,Illinois,Kankakee,Conventional,17091,Kankakee County,IL,"Kankakee County, IL"
8.975939279,Illinois,Macon,Conventional,17115,Macon County,IL,"Macon County, IL"
8.969017613,Illinois,Vermilion,Conventional,17183,Vermilion County,IL,"Vermilion County, IL"
8.977151629,Illinois,Williamson,Conventional,17199,Williamson County,IL,"Williamson County, IL"
8.983191658,Illinois,Adams,Conventional,17001,Adams County,IL,"Adams County, IL"
8.974966161,Illinois,Whiteside,Conventional,17195,Whiteside County,IL,"Whiteside County, IL"
8.972777346,Illinois,Boone,Conventional,17007,Boone County,IL,"Boone County, IL"
8.977858328,Illinois,Jackson,Conventional,17077,Jackson County,IL,"Jackson County, IL"
8.970858489,Illinois,Grundy,Conventional,17063,Grundy County,IL,"Grundy County, IL"
8.974001272,Illinois,Ogle,Conventional,17141,Ogle County,IL,"Ogle County, IL"
8.976216916,Illinois,Knox,Conventional,17095,Knox County,IL,"Knox County, IL"
8.978208791,Illinois,Henry,Conventional,17073,Henry County,IL,"Henry County, IL"
8.974219953,Illinois,Stephenson,Conventional,17177,Stephenson County,IL,"Stephenson County, IL"
8.975119897,Illinois,Woodford,Conventional,17203,Woodford County,IL,"Woodford County, IL"
8.975265784,Illinois,Jefferson,Conventional,17081,Jefferson County,IL,"Jefferson County, IL"
8.975439926,Illinois,Clinton,Conventional,17027,Clinton County,IL,"Clinton County, IL"
