True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
8.025202358,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
8.024900408,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
8.014460013,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
8.030167531,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
8.037063415,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
8.039827889,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
8.02622994,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
8.034011272,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
8.041621227,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
8.03732252,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
8.040810586,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
8.035611471,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
8.03298505,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
8.039712957,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
8.042845348,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
8.039657872,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
8.038701697,California,Marin,Conventional,6041,Marin County,CA,"Marin County, CA"
8.031425655,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
8.014457973,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
8.030614335,California,Madera,Conventional,6039,Madera County,CA,"Madera County, CA"
8.036403069,California,Kings,Conventional,6031,Kings County,CA,"Kings County, CA"
8.035859695,California,Napa,Conventional,6055,Napa County,CA,"Napa County, CA"
8.029058341,California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
8.037350403,California,Lake,Conventional,6033,Lake County,CA,"Lake County, CA"
8.035639353,California,Tehama,Conventional,6103,Tehama County,CA,"Tehama County, CA"
8.046676848,California,San Benito,Conventional,6069,San Benito County,CA,"San Benito County, CA"
8.040696335,California,Siskiyou,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
8.034776348,California,Glenn,Conventional,6021,Glenn County,CA,"Glenn County, CA"
8.023241724,California,Plumas,Conventional,6063,Plumas County,CA,"Plumas County, CA"
8.02239776,California,Modoc,Conventional,6049,Modoc County,CA,"Modoc County, CA"
5.836792767,Idaho,Ada,Conventional,16001,Ada County,ID,"Ada County, ID"
5.83995508,Idaho,Canyon,Conventional,16027,Canyon County,ID,"Canyon County, ID"
5.845428263,Idaho,Kootenai,Conventional,16055,Kootenai County,ID,"Kootenai County, ID"
5.810334063,Idaho,Bonneville,Conventional,16019,Bonneville County,ID,"Bonneville County, ID"
5.826559112,Idaho,Twin Falls,Conventional,16083,Twin Falls County,ID,"Twin Falls County, ID"
5.809275198,Idaho,Bannock,Conventional,16005,Bannock County,ID,"Bannock County, ID"
5.812351143,Idaho,Madison,Conventional,16065,Madison County,ID,"Madison County, ID"
5.814354622,Idaho,Bingham,Conventional,16011,Bingham County,ID,"Bingham County, ID"
5.847861544,Idaho,Bonner,Conventional,16017,Bonner County,ID,"Bonner County, ID"
5.850791955,Idaho,Nez Perce,Conventional,16069,Nez Perce County,ID,"Nez Perce County, ID"
5.852534968,Idaho,Latah,Conventional,16057,Latah County,ID,"Latah County, ID"
5.815573982,Idaho,Jefferson,Conventional,16051,Jefferson County,ID,"Jefferson County, ID"
5.835335382,Idaho,Elmore,Conventional,16039,Elmore County,ID,"Elmore County, ID"
5.818587361,Idaho,Cassia,Conventional,16031,Cassia County,ID,"Cassia County, ID"
5.823588577,Idaho,Jerome,Conventional,16053,Jerome County,ID,"Jerome County, ID"
5.821680988,Idaho,Minidoka,Conventional,16067,Minidoka County,ID,"Minidoka County, ID"
5.842512134,Idaho,Gem,Conventional,16045,Gem County,ID,"Gem County, ID"
5.850499526,Idaho,Idaho,Conventional,16049,Idaho County,ID,"Idaho County, ID"
5.828541508,Idaho,Gooding,Conventional,16047,Gooding County,ID,"Gooding County, ID"
5.806322345,Idaho,Franklin,Conventional,16041,Franklin County,ID,"Franklin County, ID"
5.844697871,Idaho,Boundary,Conventional,16021,Boundary County,ID,"Boundary County, ID"
5.83884385,Idaho,Owyhee,Conventional,16073,Owyhee County,ID,"Owyhee County, ID"
5.850853161,Idaho,Valley,Conventional,16085,Valley County,ID,"Valley County, ID"
5.808069438,Idaho,Teton,Conventional,16081,Teton County,ID,"Teton County, ID"
5.846787718,Idaho,Washington,Conventional,16087,Washington County,ID,"Washington County, ID"
5.848156014,Idaho,Benewah,Conventional,16009,Benewah County,ID,"Benewah County, ID"
5.806320985,Idaho,Caribou,Conventional,16029,Caribou County,ID,"Caribou County, ID"
5.802833599,Idaho,Bear Lake,Conventional,16007,Bear Lake County,ID,"Bear Lake County, ID"
5.826612157,Idaho,Lincoln,Conventional,16063,Lincoln County,ID,"Lincoln County, ID"
5.814296136,Idaho,Oneida,Conventional,16071,Oneida County,ID,"Oneida County, ID"
5.831137326,Idaho,Custer,Conventional,16037,Custer County,ID,"Custer County, ID"
5.847100549,Idaho,Lewis,Conventional,16061,Lewis County,ID,"Lewis County, ID"
5.821493289,Idaho,Butte,Conventional,16023,Butte County,ID,"Butte County, ID"
5.831663698,Idaho,Camas,Conventional,16025,Camas County,ID,"Camas County, ID"
9.012709297,Illinois,Cook,Conventional,17031,Cook County,IL,"Cook County, IL"
9.016387102,Illinois,Lake,Conventional,17097,Lake County,IL,"Lake County, IL"
9.013168343,Illinois,Will,Conventional,17197,Will County,IL,"Will County, IL"
9.017555458,Illinois,Kane,Conventional,17089,Kane County,IL,"Kane County, IL"
9.018315093,Illinois,McHenry,Conventional,17111,McHenry County,IL,"McHenry County, IL"
9.021943933,Illinois,Winnebago,Conventional,17201,Winnebago County,IL,"Winnebago County, IL"
9.020864666,Illinois,Champaign,Conventional,17019,Champaign County,IL,"Champaign County, IL"
9.031016033,Illinois,Sangamon,Conventional,17167,Sangamon County,IL,"Sangamon County, IL"
9.026233798,Illinois,Peoria,Conventional,17143,Peoria County,IL,"Peoria County, IL"
9.023175535,Illinois,McLean,Conventional,17113,McLean County,IL,"McLean County, IL"
9.027731987,Illinois,Rock Island,Conventional,17161,Rock Island County,IL,"Rock Island County, IL"
9.016034827,Illinois,Kendall,Conventional,17093,Kendall County,IL,"Kendall County, IL"
9.026990033,Illinois,Tazewell,Conventional,17179,Tazewell County,IL,"Tazewell County, IL"
9.014196605,Illinois,Kankakee,Conventional,17091,Kankakee County,IL,"Kankakee County, IL"
