True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.724460438,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.72042228,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.724796951,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.743193007,California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.747399422,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.745492514,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.728162083,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.747231166,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.744258632,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.751269324,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.744875573,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
0.745941198,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
0.729732478,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.740725243,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.734499749,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.743305178,California,Marin,Conventional,6041,Marin County,CA,"Marin County, CA"
0.749025903,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.754017515,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
0.745099915,California,Napa,Conventional,6055,Napa County,CA,"Napa County, CA"
0.751661923,California,Colusa,Conventional,6011,Colusa County,CA,"Colusa County, CA"
0.370494365,Florida,Broward,Conventional,12011,Broward County,FL,"Broward County, FL"
0.368795689,Florida,Palm Beach,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
0.370526474,Florida,Hillsborough,Conventional,12057,Hillsborough County,FL,"Hillsborough County, FL"
0.353812985,Florida,Duval,Conventional,12031,Duval County,FL,"Duval County, FL"
0.37007779,Florida,Pinellas,Conventional,12103,Pinellas County,FL,"Pinellas County, FL"
0.36949207,Florida,Lee,Conventional,12071,Lee County,FL,"Lee County, FL"
0.362723239,Florida,Brevard,Conventional,12009,Brevard County,FL,"Brevard County, FL"
0.356392919,Florida,Volusia,Conventional,12127,Volusia County,FL,"Volusia County, FL"
0.361701256,Florida,Seminole,Conventional,12117,Seminole County,FL,"Seminole County, FL"
0.362842756,Florida,Lake,Conventional,12069,Lake County,FL,"Lake County, FL"
0.361440618,Florida,Marion,Conventional,12083,Marion County,FL,"Marion County, FL"
0.383201805,Florida,Escambia,Conventional,12033,Escambia County,FL,"Escambia County, FL"
0.364905746,Florida,Indian River,Conventional,12061,Indian River County,FL,"Indian River County, FL"
0.36701053,Florida,Martin,Conventional,12085,Martin County,FL,"Martin County, FL"
0.357626801,Florida,Putnam,Conventional,12107,Putnam County,FL,"Putnam County, FL"
0.369815496,Florida,Hendry,Conventional,12051,Hendry County,FL,"Hendry County, FL"
0.368106551,Florida,Glades,Conventional,12043,Glades County,FL,"Glades County, FL"
0.448545268,Texas,Montgomery,Conventional,48339,Montgomery County,TX,"Montgomery County, TX"
0.450564348,Texas,Cameron,Conventional,48061,Cameron County,TX,"Cameron County, TX"
0.448320926,Texas,Brazoria,Conventional,48039,Brazoria County,TX,"Brazoria County, TX"
0.446077505,Texas,Galveston,Conventional,48167,Galveston County,TX,"Galveston County, TX"
0.447423558,Texas,Jefferson,Conventional,48245,Jefferson County,TX,"Jefferson County, TX"
0.445965334,Texas,Orange,Conventional,48361,Orange County,TX,"Orange County, TX"
0.45241517,Texas,Willacy,Conventional,48489,Willacy County,TX,"Willacy County, TX"
0.455731997,California,Los Angeles,Organic,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.451693839,California,San Diego,Organic,6073,San Diego County,CA,"San Diego County, CA"
0.456068511,California,Orange,Organic,6059,Orange County,CA,"Orange County, CA"
0.474464566,California,Alameda,Organic,6001,Alameda County,CA,"Alameda County, CA"
0.478670981,California,Sacramento,Organic,6067,Sacramento County,CA,"Sacramento County, CA"
0.476764073,California,Contra Costa,Organic,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.459433643,California,Ventura,Organic,6111,Ventura County,CA,"Ventura County, CA"
0.478502725,California,San Joaquin,Organic,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.475530191,California,San Mateo,Organic,6081,San Mateo County,CA,"San Mateo County, CA"
0.482540884,California,Stanislaus,Organic,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.476147132,California,Sonoma,Organic,6097,Sonoma County,CA,"Sonoma County, CA"
0.477212758,California,Solano,Organic,6095,Solano County,CA,"Solano County, CA"
0.461004038,California,Santa Barbara,Organic,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.471996803,California,Monterey,Organic,6053,Monterey County,CA,"Monterey County, CA"
0.465771308,California,San Luis Obispo,Organic,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.474576737,California,Marin,Organic,6041,Marin County,CA,"Marin County, CA"
0.480297462,California,Yolo,Organic,6113,Yolo County,CA,"Yolo County, CA"
0.485289075,California,Butte,Organic,6007,Butte County,CA,"Butte County, CA"
0.476371475,California,Napa,Organic,6055,Napa County,CA,"Napa County, CA"
0.482933482,California,Colusa,Organic,6011,Colusa County,CA,"Colusa County, CA"
