True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.595140777,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.602595813,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.599098501,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.592154438,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.586019456,California,San Bernardino,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
0.608093972,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.60592364,California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.601315523,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.604485532,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.6018683,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.595197063,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
0.601049533,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.603205829,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.608477007,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.606699832,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.599050563,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.602646623,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
0.60324408,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.61318705,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.593826739,California,Placer,Conventional,6061,Placer County,CA,"Placer County, CA"
0.604966635,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
0.609333969,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.607766923,California,Santa Cruz,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
0.601496105,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.596382512,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
0.629155639,California,Shasta,Conventional,6089,Shasta County,CA,"Shasta County, CA"
0.588772559,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
