True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.895478912,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.895020246,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.895981999,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.879161141,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.876020724,California,San Bernardino,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
0.922672444,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.916215994,California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.903021078,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.913496021,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.917695296,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.897039823,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
0.902875421,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.908859774,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.920419401,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.913889607,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.919188027,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
0.911290498,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.907300929,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
0.917520714,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.927137208,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.899353815,California,Placer,Conventional,6061,Placer County,CA,"Placer County, CA"
0.922278859,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
0.917437038,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.924155878,California,Santa Cruz,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
0.915984595,California,Marin,Conventional,6041,Marin County,CA,"Marin County, CA"
0.904932187,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.904684259,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
0.894176259,California,El Dorado,Conventional,6017,El Dorado County,CA,"El Dorado County, CA"
0.910850427,California,Shasta,Conventional,6089,Shasta County,CA,"Shasta County, CA"
0.879158041,California,Imperial,Conventional,6025,Imperial County,CA,"Imperial County, CA"
0.90369978,California,Madera,Conventional,6039,Madera County,CA,"Madera County, CA"
0.912492947,California,Kings,Conventional,6031,Kings County,CA,"Kings County, CA"
0.911667555,California,Napa,Conventional,6055,Napa County,CA,"Napa County, CA"
0.890491434,California,Nevada,Conventional,6057,Nevada County,CA,"Nevada County, CA"
0.901336203,California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
0.921200373,California,Mendocino,Conventional,6045,Mendocino County,CA,"Mendocino County, CA"
0.897094574,California,Yuba,Conventional,6115,Yuba County,CA,"Yuba County, CA"
0.92809896,California,San Benito,Conventional,6069,San Benito County,CA,"San Benito County, CA"
0.900769069,California,Tuolumne,Conventional,6109,Tuolumne County,CA,"Tuolumne County, CA"
0.901035591,California,Calaveras,Conventional,6009,Calaveras County,CA,"Calaveras County, CA"
0.919014478,California,Siskiyou,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
0.897346634,California,Amador,Conventional,6005,Amador County,CA,"Amador County, CA"
0.910021935,California,Glenn,Conventional,6021,Glenn County,CA,"Glenn County, CA"
0.905586096,California,Colusa,Conventional,6011,Colusa County,CA,"Colusa County, CA"
