True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.601123711,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.597085552,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.601460224,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.61985628,California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.624062695,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.622155787,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.604825356,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.623894439,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.620921905,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.627932597,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.621538846,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
0.622604471,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
0.606395751,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.617388516,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.611163022,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.619968451,California,Marin,Conventional,6041,Marin County,CA,"Marin County, CA"
0.625689176,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.630680788,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
0.621763188,California,Napa,Conventional,6055,Napa County,CA,"Napa County, CA"
0.632699868,California,Humboldt,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
0.628325196,California,Colusa,Conventional,6011,Colusa County,CA,"Colusa County, CA"
0.543724524,Michigan,Wayne,Conventional,26163,Wayne County,MI,"Wayne County, MI"
0.55010972,Michigan,Oakland,Conventional,26125,Oakland County,MI,"Oakland County, MI"
0.545566791,Michigan,Macomb,Conventional,26099,Macomb County,MI,"Macomb County, MI"
0.551455773,Michigan,Ottawa,Conventional,26139,Ottawa County,MI,"Ottawa County, MI"
0.541472547,Michigan,Saginaw,Conventional,26145,Saginaw County,MI,"Saginaw County, MI"
0.550726661,Michigan,Muskegon,Conventional,26121,Muskegon County,MI,"Muskegon County, MI"
0.542322386,Michigan,Monroe,Conventional,26115,Monroe County,MI,"Monroe County, MI"
0.553643108,Michigan,Berrien,Conventional,26021,Berrien County,MI,"Berrien County, MI"
0.552913996,Michigan,Allegan,Conventional,26005,Allegan County,MI,"Allegan County, MI"
0.543603798,Michigan,Grand Traverse,Conventional,26055,Grand Traverse County,MI,"Grand Traverse County, MI"
0.552297056,Michigan,Van Buren,Conventional,26159,Van Buren County,MI,"Van Buren County, MI"
0.541023863,Michigan,Sanilac,Conventional,26151,Sanilac County,MI,"Sanilac County, MI"
0.538163501,Michigan,Emmet,Conventional,26047,Emmet County,MI,"Emmet County, MI"
0.539453468,Michigan,Huron,Conventional,26063,Huron County,MI,"Huron County, MI"
0.547866298,Michigan,Mason,Conventional,26105,Mason County,MI,"Mason County, MI"
0.535247053,Michigan,Alpena,Conventional,26007,Alpena County,MI,"Alpena County, MI"
0.548483239,Michigan,Oceana,Conventional,26127,Oceana County,MI,"Oceana County, MI"
0.541304291,Michigan,Charlevoix,Conventional,26029,Charlevoix County,MI,"Charlevoix County, MI"
0.536985704,Michigan,Iosco,Conventional,26069,Iosco County,MI,"Iosco County, MI"
0.546576331,Michigan,Manistee,Conventional,26101,Manistee County,MI,"Manistee County, MI"
0.546856759,Michigan,Menominee,Conventional,26109,Menominee County,MI,"Menominee County, MI"
0.545005936,Michigan,Benzie,Conventional,26019,Benzie County,MI,"Benzie County, MI"
0.535247053,Michigan,Presque Isle,Conventional,26141,Presque Isle County,MI,"Presque Isle County, MI"
0.578465855,New Jersey,Bergen,Conventional,34003,Bergen County,NJ,"Bergen County, NJ"
0.57639069,New Jersey,Middlesex,Conventional,34023,Middlesex County,NJ,"Middlesex County, NJ"
0.575942006,New Jersey,Essex,Conventional,34013,Essex County,NJ,"Essex County, NJ"
0.577175888,New Jersey,Monmouth,Conventional,34025,Monmouth County,NJ,"Monmouth County, NJ"
0.577512401,New Jersey,Ocean,Conventional,34029,Ocean County,NJ,"Ocean County, NJ"
0.585083948,New Jersey,Burlington,Conventional,34005,Burlington County,NJ,"Burlington County, NJ"
0.585756975,New Jersey,Mercer,Conventional,34021,Mercer County,NJ,"Mercer County, NJ"
0.583401382,New Jersey,Gloucester,Conventional,34015,Gloucester County,NJ,"Gloucester County, NJ"
0.579307138,New Jersey,Atlantic,Conventional,34001,Atlantic County,NJ,"Atlantic County, NJ"
0.58054102,New Jersey,Cumberland,Conventional,34011,Cumberland County,NJ,"Cumberland County, NJ"
0.58003625,New Jersey,Cape May,Conventional,34009,Cape May County,NJ,"Cape May County, NJ"
0.582896612,New Jersey,Salem,Conventional,34033,Salem County,NJ,"Salem County, NJ"
0.214240626,Pennsylvania,Philadelphia,Conventional,42101,Philadelphia County,PA,"Philadelphia County, PA"
0.215530594,Pennsylvania,Allegheny,Conventional,42003,Allegheny County,PA,"Allegheny County, PA"
0.213231087,Pennsylvania,Delaware,Conventional,42045,Delaware County,PA,"Delaware County, PA"
0.224344578,Pennsylvania,Erie,Conventional,42049,Erie County,PA,"Erie County, PA"
0.213904113,Pennsylvania,Schuylkill,Conventional,42107,Schuylkill County,PA,"Schuylkill County, PA"
0.217709097,South Carolina,Charleston,Conventional,45019,Charleston County,SC,"Charleston County, SC"
0.213502682,South Carolina,Horry,Conventional,45051,Horry County,SC,"Horry County, SC"
0.216475215,South Carolina,Georgetown,Conventional,45043,Georgetown County,SC,"Georgetown County, SC"
0.715660927,Washington,King,Conventional,53033,King County,WA,"King County, WA"
0.717063065,Washington,Pierce,Conventional,53053,Pierce County,WA,"Pierce County, WA"
0.716670466,Washington,Snohomish,Conventional,53061,Snohomish County,WA,"Snohomish County, WA"
0.70657507,Washington,Clark,Conventional,53011,Clark County,WA,"Clark County, WA"
0.718465203,Washington,Thurston,Conventional,53067,Thurston County,WA,"Thurston County, WA"
0.715941355,Washington,Kitsap,Conventional,53035,Kitsap County,WA,"Kitsap County, WA"
0.716165697,Washington,Whatcom,Conventional,53073,Whatcom County,WA,"Whatcom County, WA"
0.716221782,Washington,Benton,Conventional,53005,Benton County,WA,"Benton County, WA"
0.715324414,Washington,Skagit,Conventional,53057,Skagit County,WA,"Skagit County, WA"
0.715773098,Washington,Franklin,Conventional,53021,Franklin County,WA,"Franklin County, WA"
0.710108459,Washington,Clallam,Conventional,53009,Clallam County,WA,"Clallam County, WA"
0.705733787,Washington,Grays Harbor,Conventional,53027,Grays Harbor County,WA,"Grays Harbor County, WA"
0.719643,Washington,Whitman,Conventional,53075,Whitman County,WA,"Whitman County, WA"
0.714931815,Washington,Jefferson,Conventional,53031,Jefferson County,WA,"Jefferson County, WA"
0.702761254,Washington,Pacific,Conventional,53049,Pacific County,WA,"Pacific County, WA"
0.714763558,Washington,San Juan,Conventional,53055,San Juan County,WA,"San Juan County, WA"
0.420143855,California,Los Angeles,Organic,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.416105697,California,San Diego,Organic,6073,San Diego County,CA,"San Diego County, CA"
0.420480369,California,Orange,Organic,6059,Orange County,CA,"Orange County, CA"
0.438876424,California,Alameda,Organic,6001,Alameda County,CA,"Alameda County, CA"
0.443082839,California,Sacramento,Organic,6067,Sacramento County,CA,"Sacramento County, CA"
0.441175931,California,Contra Costa,Organic,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.423845501,California,Ventura,Organic,6111,Ventura County,CA,"Ventura County, CA"
0.442914583,California,San Joaquin,Organic,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.439942049,California,San Mateo,Organic,6081,San Mateo County,CA,"San Mateo County, CA"
0.446952742,California,Stanislaus,Organic,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.44055899,California,Sonoma,Organic,6097,Sonoma County,CA,"Sonoma County, CA"
0.441624616,California,Solano,Organic,6095,Solano County,CA,"Solano County, CA"
0.425415896,California,Santa Barbara,Organic,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.436408661,California,Monterey,Organic,6053,Monterey County,CA,"Monterey County, CA"
0.430183166,California,San Luis Obispo,Organic,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.438988595,California,Marin,Organic,6041,Marin County,CA,"Marin County, CA"
0.44470932,California,Yolo,Organic,6113,Yolo County,CA,"Yolo County, CA"
0.449700933,California,Butte,Organic,6007,Butte County,CA,"Butte County, CA"
0.440783332,California,Napa,Organic,6055,Napa County,CA,"Napa County, CA"
0.451720012,California,Humboldt,Organic,6023,Humboldt County,CA,"Humboldt County, CA"
0.44734534,California,Colusa,Organic,6011,Colusa County,CA,"Colusa County, CA"
0.432602568,Florida,Broward,Organic,12011,Broward County,FL,"Broward County, FL"
0.430903892,Florida,Palm Beach,Organic,12099,Palm Beach County,FL,"Palm Beach County, FL"
0.432634678,Florida,Hillsborough,Organic,12057,Hillsborough County,FL,"Hillsborough County, FL"
0.415921188,Florida,Duval,Organic,12031,Duval County,FL,"Duval County, FL"
0.432185993,Florida,Pinellas,Organic,12103,Pinellas County,FL,"Pinellas County, FL"
0.431600273,Florida,Lee,Organic,12071,Lee County,FL,"Lee County, FL"
0.424831442,Florida,Brevard,Organic,12009,Brevard County,FL,"Brevard County, FL"
0.424950959,Florida,Lake,Organic,12069,Lake County,FL,"Lake County, FL"
0.423548821,Florida,Marion,Organic,12083,Marion County,FL,"Marion County, FL"
0.445310009,Florida,Escambia,Organic,12033,Escambia County,FL,"Escambia County, FL"
0.417715925,Florida,Clay,Organic,12019,Clay County,FL,"Clay County, FL"
0.445646522,Florida,Okaloosa,Organic,12091,Okaloosa County,FL,"Okaloosa County, FL"
0.427013949,Florida,Indian River,Organic,12061,Indian River County,FL,"Indian River County, FL"
0.429118733,Florida,Martin,Organic,12085,Martin County,FL,"Martin County, FL"
0.421035719,Florida,Flagler,Organic,12035,Flagler County,FL,"Flagler County, FL"
0.419735004,Florida,Putnam,Organic,12107,Putnam County,FL,"Putnam County, FL"
0.431923699,Florida,Hendry,Organic,12051,Hendry County,FL,"Hendry County, FL"
0.334049052,Michigan,Wayne,Organic,26163,Wayne County,MI,"Wayne County, MI"
0.340434248,Michigan,Oakland,Organic,26125,Oakland County,MI,"Oakland County, MI"
0.33589132,Michigan,Macomb,Organic,26099,Macomb County,MI,"Macomb County, MI"
0.341780301,Michigan,Ottawa,Organic,26139,Ottawa County,MI,"Ottawa County, MI"
0.331797076,Michigan,Saginaw,Organic,26145,Saginaw County,MI,"Saginaw County, MI"
0.341051189,Michigan,Muskegon,Organic,26121,Muskegon County,MI,"Muskegon County, MI"
0.332646914,Michigan,Monroe,Organic,26115,Monroe County,MI,"Monroe County, MI"
0.343967637,Michigan,Berrien,Organic,26021,Berrien County,MI,"Berrien County, MI"
0.343238525,Michigan,Allegan,Organic,26005,Allegan County,MI,"Allegan County, MI"
0.333928326,Michigan,Grand Traverse,Organic,26055,Grand Traverse County,MI,"Grand Traverse County, MI"
0.342621584,Michigan,Van Buren,Organic,26159,Van Buren County,MI,"Van Buren County, MI"
0.331348391,Michigan,Sanilac,Organic,26151,Sanilac County,MI,"Sanilac County, MI"
0.328488029,Michigan,Emmet,Organic,26047,Emmet County,MI,"Emmet County, MI"
0.329777996,Michigan,Huron,Organic,26063,Huron County,MI,"Huron County, MI"
0.338190827,Michigan,Mason,Organic,26105,Mason County,MI,"Mason County, MI"
0.325571581,Michigan,Alpena,Organic,26007,Alpena County,MI,"Alpena County, MI"
0.338807768,Michigan,Oceana,Organic,26127,Oceana County,MI,"Oceana County, MI"
0.331628819,Michigan,Charlevoix,Organic,26029,Charlevoix County,MI,"Charlevoix County, MI"
0.327310233,Michigan,Iosco,Organic,26069,Iosco County,MI,"Iosco County, MI"
0.336900859,Michigan,Manistee,Organic,26101,Manistee County,MI,"Manistee County, MI"
0.337181287,Michigan,Menominee,Organic,26109,Menominee County,MI,"Menominee County, MI"
0.335330464,Michigan,Benzie,Organic,26019,Benzie County,MI,"Benzie County, MI"
0.325571581,Michigan,Presque Isle,Organic,26141,Presque Isle County,MI,"Presque Isle County, MI"
0.110767896,New York,Suffolk,Organic,36103,Suffolk County,NY,"Suffolk County, NY"
0.106841909,New York,Nassau,Organic,36059,Nassau County,NY,"Nassau County, NY"
