True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.47180405,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.479259086,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.475761774,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.468817711,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.462682729,California,San Bernardino,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
0.484757245,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.482586912,California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.477978796,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.481148805,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.478531573,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.471860336,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
0.477712806,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.479869102,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.48514028,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.483363105,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.475713836,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.479309896,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
0.479907353,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.489850323,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.470490012,California,Placer,Conventional,6061,Placer County,CA,"Placer County, CA"
0.481629908,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
0.485997242,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.484430196,California,Santa Cruz,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
0.478159378,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.473045785,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
0.505818912,California,Shasta,Conventional,6089,Shasta County,CA,"Shasta County, CA"
0.48007053,California,Madera,Conventional,6039,Madera County,CA,"Madera County, CA"
0.476528051,California,Kings,Conventional,6031,Kings County,CA,"Kings County, CA"
0.470038839,California,Nevada,Conventional,6057,Nevada County,CA,"Nevada County, CA"
0.475748001,California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
0.474654356,California,Yuba,Conventional,6115,Yuba County,CA,"Yuba County, CA"
0.479348442,California,Tehama,Conventional,6103,Tehama County,CA,"Tehama County, CA"
0.490519476,California,San Benito,Conventional,6069,San Benito County,CA,"San Benito County, CA"
0.501909044,California,Siskiyou,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
0.48001806,California,Amador,Conventional,6005,Amador County,CA,"Amador County, CA"
0.472924464,California,Lassen,Conventional,6035,Lassen County,CA,"Lassen County, CA"
0.469763285,California,Plumas,Conventional,6063,Plumas County,CA,"Plumas County, CA"
0.500584595,California,Modoc,Conventional,6049,Modoc County,CA,"Modoc County, CA"
0.463425241,Colorado,El Paso,Conventional,8041,El Paso County,CO,"El Paso County, CO"
0.454796903,Colorado,Jefferson,Conventional,8059,Jefferson County,CO,"Jefferson County, CO"
0.455511074,Colorado,Adams,Conventional,8001,Adams County,CO,"Adams County, CO"
0.455942462,Colorado,Douglas,Conventional,8035,Douglas County,CO,"Douglas County, CO"
0.4548846,Colorado,Larimer,Conventional,8069,Larimer County,CO,"Larimer County, CO"
0.455810861,Colorado,Weld,Conventional,8123,Weld County,CO,"Weld County, CO"
0.455300967,Colorado,Boulder,Conventional,8013,Boulder County,CO,"Boulder County, CO"
0.464268823,Colorado,Pueblo,Conventional,8101,Pueblo County,CO,"Pueblo County, CO"
0.468650463,Colorado,Mesa,Conventional,8077,Mesa County,CO,"Mesa County, CO"
0.465058203,Colorado,Garfield,Conventional,8045,Garfield County,CO,"Garfield County, CO"
0.471541646,Colorado,Montrose,Conventional,8085,Montrose County,CO,"Montrose County, CO"
0.471303608,Colorado,Delta,Conventional,8029,Delta County,CO,"Delta County, CO"
0.44990238,Colorado,Morgan,Conventional,8087,Morgan County,CO,"Morgan County, CO"
0.453308472,Colorado,Elbert,Conventional,8039,Elbert County,CO,"Elbert County, CO"
