True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.772142185,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.771683519,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.772645272,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.755824414,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.752683997,California,San Bernardino,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
0.799335717,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.792879267,California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.779684351,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.790159294,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.794358569,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.773703096,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
0.779538694,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.785523047,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.797082674,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.79055288,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.7958513,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
0.787953771,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.783964202,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
0.794183987,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.80380048,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.776017088,California,Placer,Conventional,6061,Placer County,CA,"Placer County, CA"
0.798942132,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
0.794100311,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.80081915,California,Santa Cruz,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
0.792647868,California,Marin,Conventional,6041,Marin County,CA,"Marin County, CA"
0.78159546,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.781347532,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
0.770839532,California,El Dorado,Conventional,6017,El Dorado County,CA,"El Dorado County, CA"
0.7875137,California,Shasta,Conventional,6089,Shasta County,CA,"Shasta County, CA"
0.780363053,California,Madera,Conventional,6039,Madera County,CA,"Madera County, CA"
0.78915622,California,Kings,Conventional,6031,Kings County,CA,"Kings County, CA"
0.788330828,California,Napa,Conventional,6055,Napa County,CA,"Napa County, CA"
0.815227879,California,Humboldt,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
0.767154707,California,Nevada,Conventional,6057,Nevada County,CA,"Nevada County, CA"
0.777999476,California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
