True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.616917915,Alabama,Mobile,Conventional,1097,Mobile County,AL,"Mobile County, AL"
0.634979844,Alabama,Morgan,Conventional,1103,Morgan County,AL,"Morgan County, AL"
0.640755461,Alabama,Jackson,Conventional,1071,Jackson County,AL,"Jackson County, AL"
0.458866238,Arkansas,Phillips,Conventional,5107,Phillips County,AR,"Phillips County, AR"
0.765454319,Florida,Palm Beach,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
0.767074629,Florida,Hillsborough,Conventional,12057,Hillsborough County,FL,"Hillsborough County, FL"
0.751427958,Florida,Duval,Conventional,12031,Duval County,FL,"Duval County, FL"
0.766654584,Florida,Pinellas,Conventional,12103,Pinellas County,FL,"Pinellas County, FL"
0.759881361,Florida,Lake,Conventional,12069,Lake County,FL,"Lake County, FL"
0.75856872,Florida,Marion,Conventional,12083,Marion County,FL,"Marion County, FL"
0.778940896,Florida,Escambia,Conventional,12033,Escambia County,FL,"Escambia County, FL"
0.77925593,Florida,Okaloosa,Conventional,12091,Okaloosa County,FL,"Okaloosa County, FL"
0.76181267,Florida,Indian River,Conventional,12061,Indian River County,FL,"Indian River County, FL"
0.756216029,Florida,Flagler,Conventional,12035,Flagler County,FL,"Flagler County, FL"
0.754998339,Florida,Putnam,Conventional,12107,Putnam County,FL,"Putnam County, FL"
0.766409032,Florida,Hendry,Conventional,12051,Hendry County,FL,"Hendry County, FL"
0.775370515,Florida,Gulf,Conventional,12045,Gulf County,FL,"Gulf County, FL"
0.47346263,Mississippi,Jackson,Conventional,28059,Jackson County,MS,"Jackson County, MS"
0.492794551,Mississippi,Warren,Conventional,28149,Warren County,MS,"Warren County, MS"
0.285916581,North Carolina,Onslow,Conventional,37133,Onslow County,NC,"Onslow County, NC"
0.284478903,North Carolina,Craven,Conventional,37049,Craven County,NC,"Craven County, NC"
0.285686532,North Carolina,Beaufort,Conventional,37013,Beaufort County,NC,"Beaufort County, NC"
0.285424004,North Carolina,Chowan,Conventional,37041,Chowan County,NC,"Chowan County, NC"
0.284951453,North Carolina,Perquimans,Conventional,37143,Perquimans County,NC,"Perquimans County, NC"
0.285791543,North Carolina,Washington,Conventional,37187,Washington County,NC,"Washington County, NC"
0.929197398,Oklahoma,Washita,Conventional,40149,Washita County,OK,"Washita County, OK"
0.192745987,South Carolina,Charleston,Conventional,45019,Charleston County,SC,"Charleston County, SC"
0.188808067,South Carolina,Horry,Conventional,45051,Horry County,SC,"Horry County, SC"
0.197208964,South Carolina,Beaufort,Conventional,45013,Beaufort County,SC,"Beaufort County, SC"
0.191590864,South Carolina,Georgetown,Conventional,45043,Georgetown County,SC,"Georgetown County, SC"
