True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.608604727,Alabama,Mobile,Conventional,1097,Mobile County,AL,"Mobile County, AL"
0.606684603,Alabama,Baldwin,Conventional,1003,Baldwin County,AL,"Baldwin County, AL"
0.599168214,Alabama,Lee,Conventional,1081,Lee County,AL,"Lee County, AL"
0.593063884,Alabama,Morgan,Conventional,1103,Morgan County,AL,"Morgan County, AL"
0.595329613,Alabama,Calhoun,Conventional,1015,Calhoun County,AL,"Calhoun County, AL"
0.605319429,Alabama,Houston,Conventional,1069,Houston County,AL,"Houston County, AL"
0.598005992,Alabama,Elmore,Conventional,1051,Elmore County,AL,"Elmore County, AL"
0.589879066,Alabama,DeKalb,Conventional,1049,DeKalb County,AL,"DeKalb County, AL"
0.594628978,Alabama,Blount,Conventional,1009,Blount County,AL,"Blount County, AL"
0.600444412,Alabama,Russell,Conventional,1113,Russell County,AL,"Russell County, AL"
0.598443606,Alabama,Autauga,Conventional,1001,Autauga County,AL,"Autauga County, AL"
0.589800487,Alabama,Jackson,Conventional,1071,Jackson County,AL,"Jackson County, AL"
0.603916622,Alabama,Dale,Conventional,1045,Dale County,AL,"Dale County, AL"
0.597581095,Alabama,Tallapoosa,Conventional,1123,Tallapoosa County,AL,"Tallapoosa County, AL"
0.59902592,Alabama,Dallas,Conventional,1047,Dallas County,AL,"Dallas County, AL"
0.604598787,Alabama,Escambia,Conventional,1053,Escambia County,AL,"Escambia County, AL"
0.599579687,Alabama,Chambers,Conventional,1017,Chambers County,AL,"Chambers County, AL"
0.593203646,Alabama,Lawrence,Conventional,1079,Lawrence County,AL,"Lawrence County, AL"
0.60203169,Alabama,Pike,Conventional,1109,Pike County,AL,"Pike County, AL"
0.595229505,Alabama,Franklin,Conventional,1059,Franklin County,AL,"Franklin County, AL"
0.602635731,Alabama,Clarke,Conventional,1025,Clarke County,AL,"Clarke County, AL"
0.607952517,Alabama,Monroe,Conventional,1099,Monroe County,AL,"Monroe County, AL"
0.600246882,Alabama,Macon,Conventional,1087,Macon County,AL,"Macon County, AL"
0.600534892,Alabama,Marengo,Conventional,1091,Marengo County,AL,"Marengo County, AL"
0.602019818,Alabama,Butler,Conventional,1013,Butler County,AL,"Butler County, AL"
0.600014655,Alabama,Pickens,Conventional,1107,Pickens County,AL,"Pickens County, AL"
0.597031169,Alabama,Fayette,Conventional,1057,Fayette County,AL,"Fayette County, AL"
0.603850455,Alabama,Washington,Conventional,1129,Washington County,AL,"Washington County, AL"
0.599453421,Alabama,Sumter,Conventional,1119,Sumter County,AL,"Sumter County, AL"
0.603298784,Alabama,Conecuh,Conventional,1035,Conecuh County,AL,"Conecuh County, AL"
0.602023282,Alabama,Wilcox,Conventional,1131,Wilcox County,AL,"Wilcox County, AL"
0.599553833,Alabama,Perry,Conventional,1105,Perry County,AL,"Perry County, AL"
0.422234424,Arkansas,Craighead,Conventional,5031,Craighead County,AR,"Craighead County, AR"
0.425698919,Arkansas,Crittenden,Conventional,5035,Crittenden County,AR,"Crittenden County, AR"
0.421393496,Arkansas,Greene,Conventional,5055,Greene County,AR,"Greene County, AR"
0.421863708,Arkansas,Mississippi,Conventional,5093,Mississippi County,AR,"Mississippi County, AR"
0.423179911,Arkansas,Poinsett,Conventional,5111,Poinsett County,AR,"Poinsett County, AR"
0.423303765,Arkansas,Randolph,Conventional,5121,Randolph County,AR,"Randolph County, AR"
0.426401524,Arkansas,Phillips,Conventional,5107,Phillips County,AR,"Phillips County, AR"
0.42279988,Arkansas,Lawrence,Conventional,5075,Lawrence County,AR,"Lawrence County, AR"
0.446610035,Arkansas,Sevier,Conventional,5133,Sevier County,AR,"Sevier County, AR"
0.420848579,Arkansas,Clay,Conventional,5021,Clay County,AR,"Clay County, AR"
0.434767482,Arkansas,Howard,Conventional,5061,Howard County,AR,"Howard County, AR"
0.425776664,Arkansas,Lee,Conventional,5077,Lee County,AR,"Lee County, AR"
0.425155129,Arkansas,Woodruff,Conventional,5147,Woodruff County,AR,"Woodruff County, AR"
