True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.600891762,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.596558129,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.601252898,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.620995007,California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.625509209,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.623462771,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.60486426,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.625328641,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.622138605,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.629662274,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.622800688,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
0.623944285,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
0.606549562,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.618346675,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.611665657,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.621115386,California,Marin,Conventional,6041,Marin County,CA,"Marin County, CA"
0.6272547,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.632611553,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
0.623041445,California,Napa,Conventional,6055,Napa County,CA,"Napa County, CA"
0.634778369,California,Humboldt,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
0.637848027,California,Del Norte,Conventional,6015,Del Norte County,CA,"Del Norte County, CA"
0.6300836,California,Colusa,Conventional,6011,Colusa County,CA,"Colusa County, CA"
0.574190321,Oregon,Multnomah,Conventional,41051,Multnomah County,OR,"Multnomah County, OR"
0.574972783,Oregon,Clackamas,Conventional,41005,Clackamas County,OR,"Clackamas County, OR"
0.562754344,Oregon,Lane,Conventional,41039,Lane County,OR,"Lane County, OR"
0.57990831,Oregon,Linn,Conventional,41043,Linn County,OR,"Linn County, OR"
0.561791314,Oregon,Douglas,Conventional,41019,Douglas County,OR,"Douglas County, OR"
0.580510203,Oregon,Benton,Conventional,41003,Benton County,OR,"Benton County, OR"
0.57804244,Oregon,Polk,Conventional,41053,Polk County,OR,"Polk County, OR"
0.58171399,Oregon,Umatilla,Conventional,41059,Umatilla County,OR,"Umatilla County, OR"
0.560888474,Oregon,Coos,Conventional,41011,Coos County,OR,"Coos County, OR"
0.572866155,Oregon,Columbia,Conventional,41009,Columbia County,OR,"Columbia County, OR"
0.564680403,Oregon,Lincoln,Conventional,41041,Lincoln County,OR,"Lincoln County, OR"
0.569134415,Oregon,Clatsop,Conventional,41007,Clatsop County,OR,"Clatsop County, OR"
0.568111196,Oregon,Tillamook,Conventional,41057,Tillamook County,OR,"Tillamook County, OR"
0.576597895,Oregon,Wasco,Conventional,41065,Wasco County,OR,"Wasco County, OR"
0.575514487,Oregon,Hood River,Conventional,41027,Hood River County,OR,"Hood River County, OR"
0.577922061,Oregon,Grant,Conventional,41023,Grant County,OR,"Grant County, OR"
0.579246227,Oregon,Gilliam,Conventional,41021,Gilliam County,OR,"Gilliam County, OR"
0.600518395,Washington,King,Conventional,53033,King County,WA,"King County, WA"
0.602023129,Washington,Pierce,Conventional,53053,Pierce County,WA,"Pierce County, WA"
0.601601803,Washington,Snohomish,Conventional,53061,Snohomish County,WA,"Snohomish County, WA"
