True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.784423783,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.783931556,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.784963681,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.766912028,California,Riverside,Conventional,6065,Riverside County,CA,"Riverside County, CA"
0.763541825,California,San Bernardino,Conventional,6071,San Bernardino County,CA,"San Bernardino County, CA"
0.813607085,California,Santa Clara,Conventional,6085,Santa Clara County,CA,"Santa Clara County, CA"
0.806678213,California,Alameda,Conventional,6001,Alameda County,CA,"Alameda County, CA"
0.792517815,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.803759218,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.808265756,California,Fresno,Conventional,6019,Fresno County,CA,"Fresno County, CA"
0.786098908,California,Kern,Conventional,6029,Kern County,CA,"Kern County, CA"
0.7923615,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.798783733,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.811189186,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.804181602,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.809867712,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
0.801392315,California,Tulare,Conventional,6107,Tulare County,CA,"Tulare County, CA"
0.797110826,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
0.8080784,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.818398539,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.788582216,California,Placer,Conventional,6061,Placer County,CA,"Placer County, CA"
0.813184701,California,Merced,Conventional,6047,Merced County,CA,"Merced County, CA"
0.807988601,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.815199063,California,Santa Cruz,Conventional,6087,Santa Cruz County,CA,"Santa Cruz County, CA"
0.806429882,California,Marin,Conventional,6041,Marin County,CA,"Marin County, CA"
0.794568761,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.794302693,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
0.783025814,California,El Dorado,Conventional,6017,El Dorado County,CA,"El Dorado County, CA"
0.800920043,California,Shasta,Conventional,6089,Shasta County,CA,"Shasta County, CA"
0.793246178,California,Madera,Conventional,6039,Madera County,CA,"Madera County, CA"
0.802682748,California,Kings,Conventional,6031,Kings County,CA,"Kings County, CA"
0.801796961,California,Napa,Conventional,6055,Napa County,CA,"Napa County, CA"
0.830662089,California,Humboldt,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
0.779071368,California,Nevada,Conventional,6057,Nevada County,CA,"Nevada County, CA"
0.790709657,California,Sutter,Conventional,6101,Sutter County,CA,"Sutter County, CA"
0.812027303,California,Mendocino,Conventional,6045,Mendocino County,CA,"Mendocino County, CA"
0.786157665,California,Yuba,Conventional,6115,Yuba County,CA,"Yuba County, CA"
0.804227055,California,Lake,Conventional,6033,Lake County,CA,"Lake County, CA"
0.801437768,California,Tehama,Conventional,6103,Tehama County,CA,"Tehama County, CA"
0.819430664,California,San Benito,Conventional,6069,San Benito County,CA,"San Benito County, CA"
0.790101024,California,Tuolumne,Conventional,6109,Tuolumne County,CA,"Tuolumne County, CA"
0.790387048,California,Calaveras,Conventional,6009,Calaveras County,CA,"Calaveras County, CA"
0.809681464,California,Siskiyou,Conventional,6093,Siskiyou County,CA,"Siskiyou County, CA"
0.786428168,California,Amador,Conventional,6005,Amador County,CA,"Amador County, CA"
0.785801798,California,Lassen,Conventional,6035,Lassen County,CA,"Lassen County, CA"
0.80003093,California,Glenn,Conventional,6021,Glenn County,CA,"Glenn County, CA"
0.823081348,California,Del Norte,Conventional,6015,Del Norte County,CA,"Del Norte County, CA"
0.795270518,California,Colusa,Conventional,6011,Colusa County,CA,"Colusa County, CA"
0.774120273,California,Inyo,Conventional,6027,Inyo County,CA,"Inyo County, CA"
0.813520613,California,Trinity,Conventional,6105,Trinity County,CA,"Trinity County, CA"
0.779851836,California,Modoc,Conventional,6049,Modoc County,CA,"Modoc County, CA"
0.779954938,California,Sierra,Conventional,6091,Sierra County,CA,"Sierra County, CA"
0.717936235,Oregon,Multnomah,Conventional,41051,Multnomah County,OR,"Multnomah County, OR"
0.725613426,Oregon,Washington,Conventional,41067,Washington County,OR,"Washington County, OR"
0.723448292,Oregon,Clackamas,Conventional,41005,Clackamas County,OR,"Clackamas County, OR"
