True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
0.397435079,California,Los Angeles,Conventional,6037,Los Angeles County,CA,"Los Angeles County, CA"
0.393614025,California,San Diego,Conventional,6073,San Diego County,CA,"San Diego County, CA"
0.3977535,California,Orange,Conventional,6059,Orange County,CA,"Orange County, CA"
0.419140784,California,Sacramento,Conventional,6067,Sacramento County,CA,"Sacramento County, CA"
0.417336398,California,Contra Costa,Conventional,6013,Contra Costa County,CA,"Contra Costa County, CA"
0.400937711,California,Ventura,Conventional,6111,Ventura County,CA,"Ventura County, CA"
0.418981573,California,San Joaquin,Conventional,6077,San Joaquin County,CA,"San Joaquin County, CA"
0.416168854,California,San Mateo,Conventional,6081,San Mateo County,CA,"San Mateo County, CA"
0.422802627,California,Stanislaus,Conventional,6099,Stanislaus County,CA,"Stanislaus County, CA"
0.416752626,California,Sonoma,Conventional,6097,Sonoma County,CA,"Sonoma County, CA"
0.417760959,California,Solano,Conventional,6095,Solano County,CA,"Solano County, CA"
0.402423676,California,Santa Barbara,Conventional,6083,Santa Barbara County,CA,"Santa Barbara County, CA"
0.412825432,California,Monterey,Conventional,6053,Monterey County,CA,"Monterey County, CA"
0.406934642,California,San Luis Obispo,Conventional,6079,San Luis Obispo County,CA,"San Luis Obispo County, CA"
0.41526666,California,Marin,Conventional,6041,Marin County,CA,"Marin County, CA"
0.420679819,California,Yolo,Conventional,6113,Yolo County,CA,"Yolo County, CA"
0.425403066,California,Butte,Conventional,6007,Butte County,CA,"Butte County, CA"
0.416964906,California,Napa,Conventional,6055,Napa County,CA,"Napa County, CA"
0.427313592,California,Humboldt,Conventional,6023,Humboldt County,CA,"Humboldt County, CA"
0.180079159,Florida,Palm Beach,Conventional,12099,Palm Beach County,FL,"Palm Beach County, FL"
0.181716891,Florida,Hillsborough,Conventional,12057,Hillsborough County,FL,"Hillsborough County, FL"
0.165901976,Florida,Duval,Conventional,12031,Duval County,FL,"Duval County, FL"
0.1807381,Florida,Lee,Conventional,12071,Lee County,FL,"Lee County, FL"
0.174333184,Florida,Brevard,Conventional,12009,Brevard County,FL,"Brevard County, FL"
0.168343205,Florida,Volusia,Conventional,12127,Volusia County,FL,"Volusia County, FL"
0.173366146,Florida,Seminole,Conventional,12117,Seminole County,FL,"Seminole County, FL"
0.174446276,Florida,Lake,Conventional,12069,Lake County,FL,"Lake County, FL"
0.173119521,Florida,Marion,Conventional,12083,Marion County,FL,"Marion County, FL"
0.193710753,Florida,Escambia,Conventional,12033,Escambia County,FL,"Escambia County, FL"
0.194029174,Florida,Okaloosa,Conventional,12091,Okaloosa County,FL,"Okaloosa County, FL"
0.190738822,Florida,Bay,Conventional,12005,Bay County,FL,"Bay County, FL"
0.178389976,Florida,Martin,Conventional,12085,Martin County,FL,"Martin County, FL"
0.170741532,Florida,Flagler,Conventional,12035,Flagler County,FL,"Flagler County, FL"
0.164362941,Florida,Nassau,Conventional,12089,Nassau County,FL,"Nassau County, FL"
0.169510749,Florida,Putnam,Conventional,12107,Putnam County,FL,"Putnam County, FL"
0.19010198,Florida,Gulf,Conventional,12045,Gulf County,FL,"Gulf County, FL"
0.354169918,Idaho,Nez Perce,Conventional,16069,Nez Perce County,ID,"Nez Perce County, ID"
0.080338324,Maine,Cumberland,Conventional,23005,Cumberland County,ME,"Cumberland County, ME"
0.078480867,Maine,York,Conventional,23031,York County,ME,"York County, ME"
0.08490236,Maine,Penobscot,Conventional,23019,Penobscot County,ME,"Penobscot County, ME"
0.082779552,Maine,Kennebec,Conventional,23011,Kennebec County,ME,"Kennebec County, ME"
0.089837887,Maine,Aroostook,Conventional,23003,Aroostook County,ME,"Aroostook County, ME"
0.084159377,Maine,Hancock,Conventional,23009,Hancock County,ME,"Hancock County, ME"
0.082567272,Maine,Knox,Conventional,23013,Knox County,ME,"Knox County, ME"
0.083522535,Maine,Waldo,Conventional,23027,Waldo County,ME,"Waldo County, ME"
0.081346657,Maine,Sagadahoc,Conventional,23023,Sagadahoc County,ME,"Sagadahoc County, ME"
0.080975166,Maine,Lincoln,Conventional,23015,Lincoln County,ME,"Lincoln County, ME"
0.088404992,Maine,Washington,Conventional,23029,Washington County,ME,"Washington County, ME"
0.086601344,Michigan,Wayne,Conventional,26163,Wayne County,MI,"Wayne County, MI"
0.09264325,Michigan,Oakland,Conventional,26125,Oakland County,MI,"Oakland County, MI"
0.088344565,Michigan,Macomb,Conventional,26099,Macomb County,MI,"Macomb County, MI"
0.093916935,Michigan,Ottawa,Conventional,26139,Ottawa County,MI,"Ottawa County, MI"
0.084470442,Michigan,Saginaw,Conventional,26145,Saginaw County,MI,"Saginaw County, MI"
0.093227022,Michigan,Muskegon,Conventional,26121,Muskegon County,MI,"Muskegon County, MI"
0.08527459,Michigan,Monroe,Conventional,26115,Monroe County,MI,"Monroe County, MI"
0.095986672,Michigan,Berrien,Conventional,26021,Berrien County,MI,"Berrien County, MI"
0.095296759,Michigan,Allegan,Conventional,26005,Allegan County,MI,"Allegan County, MI"
0.083780529,Michigan,Bay,Conventional,26017,Bay County,MI,"Bay County, MI"
0.086487109,Michigan,Grand Traverse,Conventional,26055,Grand Traverse County,MI,"Grand Traverse County, MI"
0.094712987,Michigan,Van Buren,Conventional,26159,Van Buren County,MI,"Van Buren County, MI"
0.090945004,Michigan,Marquette,Conventional,26103,Marquette County,MI,"Marquette County, MI"
